raw/disc/disc_entropy,raw/disc/disc_loss,raw/disc/n_expert,raw/disc/disc_acc,raw/disc/disc_acc_gen,raw/disc/disc_proportion_expert_true,raw/disc/disc_proportion_expert_pred,raw/disc/n_generated,raw/disc/global_step,raw/disc/disc_acc_expert
0.4297601878643036,0.998643159866333,256.0,0.5,0.0,0.5,1.0,256.0,1,1.0
0.4642358422279358,0.9359749555587769,256.0,0.5,0.0,0.5,1.0,256.0,2,1.0
0.5244802236557007,0.8689598441123962,256.0,0.5,0.0,0.5,1.0,256.0,3,1.0
0.5720773935317993,0.8039255142211914,256.0,0.498046875,0.0,0.5,0.998046875,256.0,4,0.99609375
0.6219193935394287,0.716780960559845,256.0,0.505859375,0.0625,0.5,0.943359375,256.0,5,0.94921875
0.6584106683731079,0.6977667212486267,256.0,0.505859375,0.17578125,0.5,0.830078125,256.0,6,0.8359375
0.6669819355010986,0.6438655257225037,256.0,0.599609375,0.5625,0.5,0.537109375,256.0,7,0.63671875
0.6555648446083069,0.6198790669441223,256.0,0.75390625,0.94921875,0.5,0.3046875,256.0,8,0.55859375
0.630782961845398,0.6156327128410339,256.0,0.599609375,0.96875,0.5,0.130859375,256.0,9,0.23046875
0.6370714902877808,0.5682016015052795,256.0,0.658203125,0.9765625,0.5,0.181640625,256.0,10,0.33984375
0.627157986164093,0.5578026175498962,256.0,0.6953125,0.8984375,0.5,0.296875,256.0,11,0.4921875
0.5865384936332703,0.49115219712257385,256.0,0.74609375,0.85546875,0.5,0.390625,256.0,12,0.63671875
0.5525175333023071,0.49409791827201843,256.0,0.73046875,0.8359375,0.5,0.39453125,256.0,13,0.625
0.5349022150039673,0.48760369420051575,256.0,0.734375,0.8125,0.5,0.421875,256.0,14,0.65625
0.504818856716156,0.4777538776397705,256.0,0.728515625,0.8125,0.5,0.416015625,256.0,15,0.64453125
0.4879562258720398,0.6347808837890625,256.0,0.65234375,0.66015625,0.5,0.4921875,256.0,16,0.64453125
0.47420382499694824,0.613545835018158,256.0,0.642578125,0.6796875,0.5,0.462890625,256.0,17,0.60546875
0.4640650451183319,0.5274609327316284,256.0,0.69921875,0.734375,0.5,0.46484375,256.0,18,0.6640625
0.48236462473869324,0.39226245880126953,256.0,0.763671875,0.89453125,0.5,0.369140625,256.0,19,0.6328125
0.5025017261505127,0.44562992453575134,256.0,0.701171875,0.92578125,0.5,0.275390625,256.0,20,0.4765625
0.5041989684104919,0.5161219835281372,256.0,0.775390625,0.74609375,0.5,0.529296875,256.0,21,0.8046875
0.49993929266929626,0.44177359342575073,256.0,0.849609375,0.859375,0.5,0.490234375,256.0,22,0.83984375
0.4788060784339905,0.3955235779285431,256.0,0.865234375,0.90625,0.5,0.458984375,256.0,23,0.82421875
0.502477765083313,0.5352956056594849,256.0,0.779296875,0.75,0.5,0.529296875,256.0,24,0.80859375
0.5016884803771973,0.5157506465911865,256.0,0.728515625,0.63671875,0.5,0.591796875,256.0,25,0.8203125
0.46486806869506836,0.3915666341781616,256.0,0.814453125,0.82421875,0.5,0.490234375,256.0,26,0.8046875
0.48513883352279663,0.4065013527870178,256.0,0.787109375,0.73046875,0.5,0.556640625,256.0,27,0.84375
0.47281014919281006,0.4384095370769501,256.0,0.765625,0.62890625,0.5,0.63671875,256.0,28,0.90234375
0.46108347177505493,0.490962415933609,256.0,0.73828125,0.55859375,0.5,0.6796875,256.0,29,0.91796875
0.4595525860786438,0.46801507472991943,256.0,0.734375,0.58984375,0.5,0.64453125,256.0,30,0.87890625
0.44281771779060364,0.4570608139038086,256.0,0.82421875,0.734375,0.5,0.58984375,256.0,31,0.9140625
0.45034658908843994,0.46801313757896423,256.0,0.806640625,0.69921875,0.5,0.607421875,256.0,32,0.9140625
0.42440301179885864,0.49540114402770996,256.0,0.81640625,0.73046875,0.5,0.5859375,256.0,33,0.90234375
0.429618775844574,0.49411770701408386,256.0,0.814453125,0.71484375,0.5,0.599609375,256.0,34,0.9140625
0.43802639842033386,0.5158929824829102,256.0,0.79296875,0.71875,0.5,0.57421875,256.0,35,0.8671875
0.4409634470939636,0.528784990310669,256.0,0.66796875,0.8125,0.5,0.35546875,256.0,36,0.5234375
0.41164112091064453,0.5125663876533508,256.0,0.697265625,0.8671875,0.5,0.330078125,256.0,37,0.52734375
0.46314162015914917,0.48485633730888367,256.0,0.791015625,0.703125,0.5,0.587890625,256.0,38,0.87890625
0.4702428877353668,0.5362904071807861,256.0,0.763671875,0.68359375,0.5,0.580078125,256.0,39,0.84375
0.48779886960983276,0.5081647634506226,256.0,0.767578125,0.69921875,0.5,0.568359375,256.0,40,0.8359375
