mean/gen/train/policy_gradient_loss,mean/gen/time/time_elapsed,mean/disc/disc_loss,mean/gen/train/approx_kl,mean/disc/disc_acc_expert,mean/disc/disc_proportion_expert_pred,mean/gen/train/explained_variance,mean/gen/train/n_updates,mean/gen/rollout/ep_len_mean,mean/gen/train/learning_rate,mean/disc/disc_entropy,mean/gen/time/iterations,mean/disc/global_step,mean/gen/train/entropy_loss,mean/gen/train/clip_range,mean/gen/train/loss,mean/gen/train/value_loss,mean/disc/n_expert,mean/disc/disc_acc_gen,mean/gen/time/total_timesteps,mean/disc/disc_proportion_expert_true,mean/gen/rollout/ep_rew_mean,mean/disc/n_generated,mean/gen/train/clip_fraction,mean/disc/disc_acc,mean/gen/time/fps,mean/gen/rollout/ep_rew_wrapped_mean
-0.013521990760636982,0.0,0.9819551110267639,0.0051168096251785755,1.0,1.0,-7.147263526916504,8.0,45.0,0.0001,0.44456374645233154,1.0,1.0,-1.6073766676709056,0.2,-0.038431160151958466,0.009478072945057647,256.0,0.0,512.0,0.5,-500.0,256.0,0.02099609375,0.5,1923.0,
-0.012065455855918117,0.0,0.9565615653991699,0.012389292009174824,1.0,1.0,-0.04892539978027344,16.0,45.0,0.0001,0.47145360708236694,1.0,2.0,-1.5988555336371064,0.2,-0.01265043392777443,0.15233929033274762,256.0,0.0,1024.0,0.5,-490.9090881347656,256.0,0.042236328125,0.5,2155.0,-0.484903799708594
-0.00956622196099488,0.0,0.9328330159187317,0.006636803038418293,1.0,1.0,0.4309728741645813,24.0,45.0,0.0001,0.4935306906700134,1.0,3.0,-1.5859431130811572,0.2,0.11203692108392715,0.6685014256509021,256.0,0.0,1536.0,0.5,-417.6470642089844,256.0,0.02587890625,0.5,2137.0,-2.438924308781597
-0.01111987608965137,0.0,0.8950067758560181,0.007527746260166168,1.0,1.0,0.5237510800361633,32.0,45.0,0.0001,0.5258437395095825,1.0,4.0,-1.5913700703531504,0.2,0.2823764681816101,1.7079874391201884,256.0,0.0,2048.0,0.5,-395.5555419921875,256.0,0.018798828125,0.5,1901.0,-4.630338757079752
-0.007393911444523837,0.0,0.8875092267990112,0.004187004640698433,1.0,1.0,0.6370329856872559,40.0,45.0,0.0001,0.5526375770568848,1.0,5.0,-1.5892958492040634,0.2,0.5392372012138367,2.501032081898302,256.0,0.0,2560.0,0.5,-469.6428527832031,256.0,0.0048828125,0.5,2178.0,-6.954715913327204
-0.006626633388805203,0.0,0.8623497486114502,0.00449708104133606,1.0,1.0,0.6339766383171082,48.0,45.0,0.0001,0.5711307525634766,1.0,6.0,-1.5728539740666747,0.2,1.00055730342865,4.74202576559037,256.0,0.0,3072.0,0.5,-422.058837890625,256.0,0.010498046875,0.5,2181.0,-8.97067409790387
-0.007955738627060782,0.0,0.8295994997024536,0.005535835865885019,0.98046875,0.978515625,0.626777172088623,56.0,45.0,0.0001,0.6021145582199097,1.0,7.0,-1.5518088601529598,0.2,2.6282689571380615,8.39791108481586,256.0,0.0234375,3584.0,0.5,-450.6329040527344,256.0,0.009765625,0.501953125,1657.0,-11.451258397140705
-0.003380733647645684,0.0,0.8229179382324219,0.0041491189040243626,0.83984375,0.884765625,0.5122319459915161,64.0,45.0,0.0001,0.6229211091995239,1.0,8.0,-1.5359917944297194,0.2,2.164485454559326,9.238815490156412,256.0,0.0703125,4096.0,0.5,-442.8571472167969,256.0,0.0,0.455078125,2720.0,-13.745339967664096
-0.0013034844523645006,0.0,0.7904683351516724,0.0005560313584282994,0.78125,0.833984375,0.44155919551849365,72.0,45.0,0.0001,0.6377582550048828,1.0,9.0,-1.523955444805324,0.2,3.2856547832489014,17.801853831857443,256.0,0.11328125,4608.0,0.5,-471.5,256.0,0.0,0.447265625,2650.0,-16.30571689176281
-0.0015847325994400308,0.0,0.7809476852416992,0.00035303225740790367,0.6875,0.79296875,0.2793331742286682,80.0,45.0,0.0001,0.6529574990272522,1.0,10.0,-1.5256879134103656,0.2,10.016157150268555,36.426502138376236,256.0,0.1015625,5120.0,0.5,-488.5,256.0,0.0,0.39453125,2475.0,-19.143682989859954
-0.0003796830351348035,0.0,0.7718455195426941,2.4954555556178093e-05,0.71484375,0.814453125,0.05955076217651367,88.0,45.0,0.0001,0.6596697568893433,1.0,11.0,-1.5340355252847075,0.2,14.969173431396484,56.473993837833405,256.0,0.0859375,5632.0,0.5,-488.5,256.0,0.0,0.400390625,2638.0,-24.200373814255
-0.0002489131220499985,0.0,0.7505558729171753,1.6088946722447872e-05,0.6875,0.8046875,0.020896077156066895,96.0,45.0,0.0001,0.6676409244537354,1.0,12.0,-1.5370723977684975,0.2,26.29201316833496,81.25272798538208,256.0,0.078125,6144.0,0.5,-504.0,256.0,0.0,0.3828125,2563.0,-29.74080456137657
-0.0007532554882345721,0.0,0.7120193243026733,6.525544449687004e-05,0.34765625,0.3984375,0.01599639654159546,104.0,45.0,0.0001,0.6709756851196289,1.0,13.0,-1.530025134794414,0.2,42.68259811401367,118.37994813919067,256.0,0.55078125,6656.0,0.5,-526.0,256.0,0.0,0.44921875,2434.0,-35.02852682381868
-0.0003877064991684165,0.0,0.7153434753417969,2.9990333132445812e-05,0.35546875,0.40234375,0.007158160209655762,112.0,45.0,0.0001,0.6677709817886353,1.0,14.0,-1.5172068979591131,0.2,45.696922302246094,137.19041007757187,256.0,0.55078125,7168.0,0.5,-538.5,256.0,0.0,0.453125,1937.0,-40.749236485362054
-0.00025392240786459297,0.0,0.6752352714538574,1.1291704140603542e-05,0.43359375,0.392578125,0.003975033760070801,120.0,45.0,0.0001,0.6609822511672974,1.0,15.0,-1.5347264939919114,0.2,74.66140747070312,175.4452207684517,256.0,0.6484375,7680.0,0.5,-551.5,256.0,0.0,0.541015625,2430.0,-47.094940256178376
-0.0003022356249857694,0.0,0.6397401094436646,1.1968309991061687e-05,0.484375,0.345703125,0.001934826374053955,128.0,45.0,0.0001,0.6512970924377441,1.0,16.0,-1.5308622773736715,0.2,80.15001678466797,198.99140071868896,256.0,0.79296875,8192.0,0.5,-567.5,256.0,0.0,0.638671875,2472.0,-53.05159466892481
