raw/disc/disc_entropy,raw/disc/n_expert,raw/disc/disc_acc_gen,raw/disc/disc_proportion_expert_pred,raw/disc/n_generated,raw/disc/disc_proportion_expert_true,raw/disc/global_step,raw/disc/disc_acc_expert,raw/disc/disc_loss,raw/disc/disc_acc
0.4517287611961365,256.0,0.0,1.0,256.0,0.5,1,1.0,1.0169739723205566,0.5
0.4500636160373688,256.0,0.0,1.0,256.0,0.5,1,1.0,1.0170806646347046,0.5
0.44878557324409485,256.0,0.0,1.0,256.0,0.5,2,1.0,1.017826795578003,0.5
0.4502633810043335,256.0,0.0,1.0,256.0,0.5,2,1.0,1.0105388164520264,0.5
0.4489293694496155,256.0,0.0,1.0,256.0,0.5,3,1.0,1.0004072189331055,0.5
0.45368432998657227,256.0,0.0,1.0,256.0,0.5,3,1.0,0.9893922805786133,0.5
0.4526251554489136,256.0,0.0,1.0,256.0,0.5,4,1.0,1.0016330480575562,0.5
0.4599265456199646,256.0,0.0,1.0,256.0,0.5,4,1.0,1.0010669231414795,0.5
0.448888897895813,256.0,0.0,1.0,256.0,0.5,5,1.0,0.9721130132675171,0.5
0.45912012457847595,256.0,0.0,1.0,256.0,0.5,5,1.0,0.9850963950157166,0.5
0.45737937092781067,256.0,0.0,1.0,256.0,0.5,6,1.0,0.9584584832191467,0.5
0.44880735874176025,256.0,0.0,1.0,256.0,0.5,6,1.0,0.975873589515686,0.5
0.4543282389640808,256.0,0.0,1.0,256.0,0.5,7,1.0,0.9661616683006287,0.5
0.45772576332092285,256.0,0.0,1.0,256.0,0.5,7,1.0,0.9785871505737305,0.5
0.47175025939941406,256.0,0.0,1.0,256.0,0.5,8,1.0,0.95723557472229,0.5
0.477913498878479,256.0,0.0,1.0,256.0,0.5,8,1.0,0.9304622411727905,0.5
0.4714837670326233,256.0,0.0,1.0,256.0,0.5,9,1.0,0.9591808915138245,0.5
0.47077471017837524,256.0,0.0,1.0,256.0,0.5,9,1.0,0.9221460819244385,0.5
0.4739581346511841,256.0,0.0,1.0,256.0,0.5,10,1.0,0.8726696968078613,0.5
0.4910445511341095,256.0,0.0,1.0,256.0,0.5,10,1.0,0.8976741433143616,0.5
0.4821888208389282,256.0,0.0,1.0,256.0,0.5,11,1.0,0.8714255094528198,0.5
0.4775165021419525,256.0,0.0,1.0,256.0,0.5,11,1.0,0.8922158479690552,0.5
0.47452640533447266,256.0,0.0,1.0,256.0,0.5,12,1.0,0.8669375777244568,0.5
0.4939507842063904,256.0,0.0,1.0,256.0,0.5,12,1.0,0.8247584104537964,0.5
0.47500449419021606,256.0,0.0,1.0,256.0,0.5,13,1.0,0.8407975435256958,0.5
0.48210984468460083,256.0,0.0,1.0,256.0,0.5,13,1.0,0.7920662760734558,0.5
0.48080456256866455,256.0,0.0,1.0,256.0,0.5,14,1.0,0.7870111465454102,0.5
0.4747695326805115,256.0,0.0,0.998046875,256.0,0.5,14,0.99609375,0.7895420789718628,0.498046875
0.4549705386161804,256.0,0.0,1.0,256.0,0.5,15,1.0,0.8719638586044312,0.5
0.48157355189323425,256.0,0.0,1.0,256.0,0.5,15,1.0,0.792624831199646,0.5
0.47202712297439575,256.0,0.00390625,0.998046875,256.0,0.5,16,1.0,0.8279625773429871,0.501953125
0.4907165765762329,256.0,0.01953125,0.98828125,256.0,0.5,16,0.99609375,0.7910898327827454,0.5078125
0.49022191762924194,256.0,0.01953125,0.986328125,256.0,0.5,17,0.9921875,0.78078693151474,0.505859375
0.48515865206718445,256.0,0.0234375,0.974609375,256.0,0.5,17,0.97265625,0.8022876977920532,0.498046875
0.4903615117073059,256.0,0.046875,0.953125,256.0,0.5,18,0.953125,0.7932587265968323,0.5
0.502752423286438,256.0,0.0546875,0.9453125,256.0,0.5,18,0.9453125,0.79122394323349,0.5
0.5082515478134155,256.0,0.03515625,0.955078125,256.0,0.5,19,0.9453125,0.7560839653015137,0.490234375
0.5081024169921875,256.0,0.0390625,0.953125,256.0,0.5,19,0.9453125,0.7685033082962036,0.4921875
0.5020449757575989,256.0,0.0390625,0.935546875,256.0,0.5,20,0.91015625,0.7707444429397583,0.474609375
0.4855253994464874,256.0,0.03515625,0.939453125,256.0,0.5,20,0.9140625,0.772608757019043,0.474609375
0.4864915609359741,256.0,0.03125,0.91796875,256.0,0.5,21,0.8671875,0.8248670101165771,0.44921875
0.4914740324020386,256.0,0.05078125,0.93359375,256.0,0.5,21,0.91796875,0.7637080550193787,0.484375
0.5118006467819214,256.0,0.63671875,0.638671875,256.0,0.5,22,0.9140625,0.7186048626899719,0.775390625
0.4942428469657898,256.0,0.62890625,0.6484375,256.0,0.5,22,0.92578125,0.7156544923782349,0.77734375
0.5101058483123779,256.0,0.72265625,0.5703125,256.0,0.5,23,0.86328125,0.6665078997612,0.79296875
0.503731369972229,256.0,0.73046875,0.58984375,256.0,0.5,23,0.91015625,0.6648681163787842,0.8203125
0.4984035789966583,256.0,0.70703125,0.568359375,256.0,0.5,24,0.84375,0.6811192631721497,0.775390625
0.5000615119934082,256.0,0.72265625,0.57421875,256.0,0.5,24,0.87109375,0.6530712842941284,0.796875
0.4950977563858032,256.0,0.69921875,0.583984375,256.0,0.5,25,0.8671875,0.6480637192726135,0.783203125
0.5132032632827759,256.0,0.67578125,0.583984375,256.0,0.5,25,0.84375,0.676210880279541,0.759765625
0.4987073242664337,256.0,0.7890625,0.5546875,256.0,0.5,26,0.8984375,0.6119264364242554,0.84375
0.5165870189666748,256.0,0.796875,0.546875,256.0,0.5,26,0.890625,0.6085870862007141,0.84375
0.5128093957901001,256.0,0.71484375,0.59375,256.0,0.5,27,0.90234375,0.6465373039245605,0.80859375
0.4969392716884613,256.0,0.6640625,0.62109375,256.0,0.5,27,0.90625,0.6682224273681641,0.78515625
0.520689070224762,256.0,0.68359375,0.615234375,256.0,0.5,28,0.9140625,0.6784654259681702,0.798828125
0.5174046158790588,256.0,0.703125,0.609375,256.0,0.5,28,0.921875,0.6223739385604858,0.8125
0.5445748567581177,256.0,0.71484375,0.607421875,256.0,0.5,29,0.9296875,0.6495965719223022,0.822265625
0.524225652217865,256.0,0.703125,0.625,256.0,0.5,29,0.953125,0.6366980075836182,0.828125
0.5365740060806274,256.0,0.5703125,0.703125,256.0,0.5,30,0.9765625,0.6743825674057007,0.7734375
0.5153629779815674,256.0,0.5703125,0.703125,256.0,0.5,30,0.9765625,0.6659727692604065,0.7734375
0.5326096415519714,256.0,0.6796875,0.654296875,256.0,0.5,31,0.98828125,0.5817294120788574,0.833984375
0.5331276655197144,256.0,0.6328125,0.666015625,256.0,0.5,31,0.96484375,0.6628468036651611,0.798828125
0.5541475415229797,256.0,0.71484375,0.6328125,256.0,0.5,32,0.98046875,0.5599961280822754,0.84765625
0.5433570146560669,256.0,0.7109375,0.638671875,256.0,0.5,32,0.98828125,0.5675908327102661,0.849609375
0.5466339588165283,256.0,0.58203125,0.697265625,256.0,0.5,33,0.9765625,0.636186957359314,0.779296875
0.5326966047286987,256.0,0.5625,0.71484375,256.0,0.5,33,0.9921875,0.6117321848869324,0.77734375
0.5504665970802307,256.0,0.57421875,0.7109375,256.0,0.5,34,0.99609375,0.6159424781799316,0.78515625
0.5544183850288391,256.0,0.59765625,0.697265625,256.0,0.5,34,0.9921875,0.5969582796096802,0.794921875
0.5520828366279602,256.0,0.66015625,0.658203125,256.0,0.5,35,0.9765625,0.5708039999008179,0.818359375
0.5427965521812439,256.0,0.625,0.681640625,256.0,0.5,35,0.98828125,0.5830003023147583,0.806640625
0.54720139503479,256.0,0.50390625,0.748046875,256.0,0.5,36,1.0,0.6280145049095154,0.751953125
0.5461503267288208,256.0,0.55859375,0.71484375,256.0,0.5,36,0.98828125,0.6059098243713379,0.7734375
0.5573155879974365,256.0,0.5546875,0.71484375,256.0,0.5,37,0.984375,0.5795125365257263,0.76953125
0.5535077452659607,256.0,0.5234375,0.7265625,256.0,0.5,37,0.9765625,0.5730559825897217,0.75
0.5574012398719788,256.0,0.5,0.744140625,256.0,0.5,38,0.98828125,0.6076681613922119,0.744140625
0.5508055686950684,256.0,0.5390625,0.720703125,256.0,0.5,38,0.98046875,0.574979841709137,0.759765625
0.5555636882781982,256.0,0.578125,0.705078125,256.0,0.5,39,0.98828125,0.5491191744804382,0.783203125
0.559911847114563,256.0,0.50390625,0.7421875,256.0,0.5,39,0.98828125,0.5706711411476135,0.74609375
0.5631638169288635,256.0,0.453125,0.765625,256.0,0.5,40,0.984375,0.5959004163742065,0.71875
0.5621781349182129,256.0,0.5390625,0.71875,256.0,0.5,40,0.9765625,0.5246518850326538,0.7578125
0.5671746730804443,256.0,0.4765625,0.755859375,256.0,0.5,41,0.98828125,0.5754300355911255,0.732421875
0.5612196326255798,256.0,0.44140625,0.7734375,256.0,0.5,41,0.98828125,0.5698265433311462,0.71484375
0.55448317527771,256.0,0.58984375,0.69140625,256.0,0.5,42,0.97265625,0.5075229406356812,0.78125
0.5557008981704712,256.0,0.51171875,0.728515625,256.0,0.5,42,0.96875,0.5103891491889954,0.740234375
0.5607837438583374,256.0,0.62109375,0.6796875,256.0,0.5,43,0.98046875,0.4632541835308075,0.80078125
0.5582065582275391,256.0,0.609375,0.681640625,256.0,0.5,43,0.97265625,0.45972251892089844,0.791015625
0.5589441061019897,256.0,0.609375,0.6796875,256.0,0.5,44,0.96875,0.45741188526153564,0.7890625
0.5640738010406494,256.0,0.53515625,0.69921875,256.0,0.5,44,0.93359375,0.50908362865448,0.734375
0.5672720670700073,256.0,0.51171875,0.71875,256.0,0.5,45,0.94921875,0.5320884585380554,0.73046875
0.5719705820083618,256.0,0.48828125,0.72265625,256.0,0.5,45,0.93359375,0.4989537298679352,0.7109375
0.5598667860031128,256.0,0.68359375,0.638671875,256.0,0.5,46,0.9609375,0.44737350940704346,0.822265625
0.574776828289032,256.0,0.703125,0.62109375,256.0,0.5,46,0.9453125,0.47248727083206177,0.82421875
0.5588881373405457,256.0,0.71484375,0.61328125,256.0,0.5,47,0.94140625,0.5017719864845276,0.828125
0.556477427482605,256.0,0.75390625,0.59765625,256.0,0.5,47,0.94921875,0.457246333360672,0.8515625
0.5510953068733215,256.0,0.8671875,0.52734375,256.0,0.5,48,0.921875,0.40316203236579895,0.89453125
0.5426406264305115,256.0,0.83984375,0.5546875,256.0,0.5,48,0.94921875,0.40529125928878784,0.89453125
0.5631895065307617,256.0,0.66015625,0.634765625,256.0,0.5,49,0.9296875,0.4967021346092224,0.794921875
0.5547459125518799,256.0,0.78125,0.583984375,256.0,0.5,49,0.94921875,0.4301493465900421,0.865234375
0.5574779510498047,256.0,0.765625,0.58984375,256.0,0.5,50,0.9453125,0.444466233253479,0.85546875
0.5559823513031006,256.0,0.7265625,0.60546875,256.0,0.5,50,0.9375,0.4474996328353882,0.83203125
0.5516942739486694,256.0,0.80078125,0.55078125,256.0,0.5,51,0.90234375,0.40704411268234253,0.8515625
0.5389540195465088,256.0,0.83984375,0.546875,256.0,0.5,51,0.93359375,0.3910311460494995,0.88671875
0.5438879728317261,256.0,0.734375,0.61328125,256.0,0.5,52,0.9609375,0.43029576539993286,0.84765625
0.5430595874786377,256.0,0.7109375,0.62109375,256.0,0.5,52,0.953125,0.4479682445526123,0.83203125
0.5305770635604858,256.0,0.73828125,0.6015625,256.0,0.5,53,0.94140625,0.4305326044559479,0.83984375
0.5317213535308838,256.0,0.73046875,0.611328125,256.0,0.5,53,0.953125,0.4309314489364624,0.841796875
0.5183031558990479,256.0,0.80859375,0.5703125,256.0,0.5,54,0.94921875,0.3915055990219116,0.87890625
0.5181240439414978,256.0,0.76171875,0.595703125,256.0,0.5,54,0.953125,0.391658753156662,0.857421875
0.5213664770126343,256.0,0.76953125,0.59375,256.0,0.5,55,0.95703125,0.39098525047302246,0.86328125
