raw/disc/global_step,raw/disc/disc_proportion_expert_pred,raw/disc/disc_loss,raw/disc/disc_acc_expert,raw/disc/disc_entropy,raw/disc/disc_proportion_expert_true,raw/disc/disc_acc_gen,raw/disc/n_generated,raw/disc/n_expert,raw/disc/disc_acc
1,1.0,0.2579571008682251,1.0,0.44954729080200195,0.5,0.0,128.0,128.0,0.5
1,1.0,0.22660985589027405,1.0,0.5304386615753174,0.5,0.0,128.0,128.0,0.5
1,0.7578125,0.2041534185409546,0.6640625,0.6347537040710449,0.5,0.1484375,128.0,128.0,0.40625
2,0.0,0.20474721491336823,0.0,0.6034880876541138,0.5,1.0,128.0,128.0,0.5
2,0.375,0.17526918649673462,0.4453125,0.680470883846283,0.5,0.6953125,128.0,128.0,0.5703125
2,1.0,0.17538553476333618,1.0,0.6699391007423401,0.5,0.0,128.0,128.0,0.5
3,1.0,0.1764451116323471,1.0,0.6488462686538696,0.5,0.0,128.0,128.0,0.5
3,1.0,0.16845913231372833,1.0,0.665067195892334,0.5,0.0,128.0,128.0,0.5
3,0.4296875,0.16394910216331482,0.5078125,0.6858245134353638,0.5,0.6484375,128.0,128.0,0.578125
4,0.13671875,0.1649348884820938,0.2265625,0.6594333648681641,0.5,0.953125,128.0,128.0,0.58984375
4,0.20703125,0.16312293708324432,0.359375,0.6482890844345093,0.5,0.9453125,128.0,128.0,0.65234375
4,0.46484375,0.15801212191581726,0.609375,0.6636384129524231,0.5,0.6796875,128.0,128.0,0.64453125
5,0.49609375,0.163504958152771,0.578125,0.6545130610466003,0.5,0.5859375,128.0,128.0,0.58203125
5,0.58984375,0.16073691844940186,0.6015625,0.6477768421173096,0.5,0.421875,128.0,128.0,0.51171875
5,0.41796875,0.16134443879127502,0.4921875,0.6569410562515259,0.5,0.65625,128.0,128.0,0.57421875
6,0.5234375,0.1682547777891159,0.546875,0.6570109128952026,0.5,0.5,128.0,128.0,0.5234375
6,0.453125,0.15802603960037231,0.578125,0.6535695791244507,0.5,0.671875,128.0,128.0,0.625
6,0.39453125,0.16847307980060577,0.4765625,0.6573153734207153,0.5,0.6875,128.0,128.0,0.58203125
7,0.4296875,0.15590938925743103,0.6171875,0.663791298866272,0.5,0.7578125,128.0,128.0,0.6875
7,0.37890625,0.16273394227027893,0.484375,0.6732515096664429,0.5,0.7265625,128.0,128.0,0.60546875
7,0.51953125,0.15947774052619934,0.53125,0.677544891834259,0.5,0.4921875,128.0,128.0,0.51171875
