raw/disc/global_step,raw/disc/disc_proportion_expert_pred,raw/disc/disc_loss,raw/disc/disc_acc_expert,raw/disc/disc_entropy,raw/disc/disc_proportion_expert_true,raw/disc/disc_acc_gen,raw/disc/n_generated,raw/disc/n_expert,raw/disc/disc_acc
20,0.34765625,0.15373766422271729,0.4921875,0.6333944797515869,0.5,0.796875,128.0,128.0,0.64453125
20,0.33984375,0.15028099715709686,0.484375,0.6312023997306824,0.5,0.8046875,128.0,128.0,0.64453125
20,0.30078125,0.14650368690490723,0.46875,0.626591682434082,0.5,0.8671875,128.0,128.0,0.66796875
21,0.35546875,0.15999001264572144,0.4921875,0.6291621923446655,0.5,0.78125,128.0,128.0,0.63671875
21,0.39453125,0.14852893352508545,0.578125,0.6291247010231018,0.5,0.7890625,128.0,128.0,0.68359375
21,0.32421875,0.15019738674163818,0.484375,0.6310864686965942,0.5,0.8359375,128.0,128.0,0.66015625
22,0.33203125,0.14477433264255524,0.546875,0.621809184551239,0.5,0.8828125,128.0,128.0,0.71484375
22,0.33203125,0.1490454226732254,0.5234375,0.6204005479812622,0.5,0.859375,128.0,128.0,0.69140625
22,0.3359375,0.15504705905914307,0.515625,0.6236035823822021,0.5,0.84375,128.0,128.0,0.6796875
23,0.375,0.15567933022975922,0.578125,0.6093095541000366,0.5,0.828125,128.0,128.0,0.703125
23,0.30859375,0.16767042875289917,0.4140625,0.6109154224395752,0.5,0.796875,128.0,128.0,0.60546875
23,0.265625,0.1569521427154541,0.4296875,0.6107257008552551,0.5,0.8984375,128.0,128.0,0.6640625
24,0.359375,0.16604246199131012,0.46875,0.6205284595489502,0.5,0.75,128.0,128.0,0.609375
24,0.38671875,0.1604081690311432,0.4765625,0.6364312171936035,0.5,0.703125,128.0,128.0,0.58984375
24,0.39453125,0.15810760855674744,0.453125,0.644632875919342,0.5,0.6640625,128.0,128.0,0.55859375
25,0.26171875,0.167083740234375,0.3984375,0.6193740367889404,0.5,0.875,128.0,128.0,0.63671875
25,0.30078125,0.16829541325569153,0.3984375,0.6219726800918579,0.5,0.796875,128.0,128.0,0.59765625
25,0.40625,0.1700017750263214,0.5078125,0.6150146722793579,0.5,0.6953125,128.0,128.0,0.6015625
26,0.40234375,0.17925989627838135,0.5234375,0.5932197570800781,0.5,0.71875,128.0,128.0,0.62109375
26,0.359375,0.1634649634361267,0.5234375,0.5877633094787598,0.5,0.8046875,128.0,128.0,0.6640625
26,0.3125,0.18394172191619873,0.390625,0.609334409236908,0.5,0.765625,128.0,128.0,0.578125
27,0.49609375,0.1834278702735901,0.515625,0.6039706468582153,0.5,0.5234375,128.0,128.0,0.51953125
27,0.5546875,0.18048225343227386,0.5390625,0.593737006187439,0.5,0.4296875,128.0,128.0,0.484375
27,0.4296875,0.17802794277668,0.421875,0.5911656022071838,0.5,0.5625,128.0,128.0,0.4921875
28,0.29296875,0.17640084028244019,0.3828125,0.5961978435516357,0.5,0.796875,128.0,128.0,0.58984375
28,0.421875,0.17816923558712006,0.421875,0.6098031997680664,0.5,0.578125,128.0,128.0,0.5
28,0.47265625,0.16854766011238098,0.53125,0.6083859205245972,0.5,0.5859375,128.0,128.0,0.55859375
29,0.4609375,0.15979278087615967,0.5703125,0.580828845500946,0.5,0.6484375,128.0,128.0,0.609375
29,0.390625,0.1815326064825058,0.4296875,0.5856293439865112,0.5,0.6484375,128.0,128.0,0.5390625
29,0.36328125,0.1811678409576416,0.3984375,0.5871479511260986,0.5,0.671875,128.0,128.0,0.53515625
30,0.37109375,0.18749970197677612,0.375,0.5849290490150452,0.5,0.6328125,128.0,128.0,0.50390625
30,0.4296875,0.18753698468208313,0.40625,0.5971167683601379,0.5,0.546875,128.0,128.0,0.4765625
30,0.40625,0.17135901749134064,0.4921875,0.6098712086677551,0.5,0.6796875,128.0,128.0,0.5859375
