raw/disc/disc_acc_gen,raw/disc/disc_proportion_expert_pred,raw/disc/disc_acc,raw/disc/global_step,raw/disc/disc_acc_expert,raw/disc/disc_proportion_expert_true,raw/disc/disc_entropy,raw/disc/n_generated,raw/disc/n_expert,raw/disc/disc_loss
0.0,1.0,0.5,1,1.0,0.5,0.4297601878643036,256.0,256.0,0.998643159866333
0.0,1.0,0.5,2,1.0,0.5,0.4641605317592621,256.0,256.0,0.9360092282295227
0.0,1.0,0.5,3,1.0,0.5,0.5222105383872986,256.0,256.0,0.8783622980117798
0.0,0.994140625,0.494140625,4,0.98828125,0.5,0.5669031739234924,256.0,256.0,0.8154807090759277
0.078125,0.9375,0.515625,5,0.953125,0.5,0.6188313961029053,256.0,256.0,0.7106670141220093
0.1640625,0.84375,0.5078125,6,0.8515625,0.5,0.6582616567611694,256.0,256.0,0.6806302070617676
0.71875,0.484375,0.703125,7,0.6875,0.5,0.6710448861122131,256.0,256.0,0.6395374536514282
0.90234375,0.353515625,0.755859375,8,0.609375,0.5,0.6587052345275879,256.0,256.0,0.6118240356445312
0.97265625,0.154296875,0.626953125,9,0.28125,0.5,0.6283393502235413,256.0,256.0,0.590605616569519
0.93359375,0.23828125,0.671875,10,0.41015625,0.5,0.6172418594360352,256.0,256.0,0.5448704957962036
0.890625,0.3125,0.703125,11,0.515625,0.5,0.5950782895088196,256.0,256.0,0.5226752161979675
0.84375,0.3984375,0.7421875,12,0.640625,0.5,0.560074508190155,256.0,256.0,0.48261675238609314
0.80859375,0.41015625,0.71875,13,0.62890625,0.5,0.5143653154373169,256.0,256.0,0.507713794708252
0.7734375,0.44140625,0.71484375,14,0.65625,0.5,0.49514061212539673,256.0,256.0,0.516677737236023
0.79296875,0.423828125,0.716796875,15,0.640625,0.5,0.4840325713157654,256.0,256.0,0.5081279277801514
0.7890625,0.42578125,0.71484375,16,0.640625,0.5,0.49166440963745117,256.0,256.0,0.5054864883422852
0.80859375,0.390625,0.69921875,17,0.58984375,0.5,0.4752348065376282,256.0,256.0,0.47957509756088257
0.7265625,0.607421875,0.833984375,18,0.94140625,0.5,0.47522804141044617,256.0,256.0,0.4624788761138916
0.8203125,0.541015625,0.861328125,19,0.90234375,0.5,0.47719234228134155,256.0,256.0,0.41098159551620483
0.8515625,0.48828125,0.83984375,20,0.828125,0.5,0.4905032813549042,256.0,256.0,0.4219083786010742
0.859375,0.47265625,0.83203125,21,0.8046875,0.5,0.48505112528800964,256.0,256.0,0.42747554183006287
0.83203125,0.51171875,0.84375,22,0.85546875,0.5,0.47430330514907837,256.0,256.0,0.42321059107780457
0.859375,0.490234375,0.849609375,23,0.83984375,0.5,0.4494212865829468,256.0,256.0,0.38321924209594727
0.6484375,0.607421875,0.755859375,24,0.86328125,0.5,0.4467981457710266,256.0,256.0,0.4679630398750305
0.640625,0.603515625,0.744140625,25,0.84765625,0.5,0.43637073040008545,256.0,256.0,0.49208083748817444
0.6875,0.587890625,0.775390625,26,0.86328125,0.5,0.4349285960197449,256.0,256.0,0.4696364402770996
0.6484375,0.60546875,0.75390625,27,0.859375,0.5,0.4417315125465393,256.0,256.0,0.4735090136528015
0.72265625,0.587890625,0.810546875,28,0.8984375,0.5,0.4083457887172699,256.0,256.0,0.36801284551620483
0.640625,0.6328125,0.7734375,29,0.90625,0.5,0.4134048521518707,256.0,256.0,0.45280343294143677
0.796875,0.517578125,0.814453125,30,0.83203125,0.5,0.41805046796798706,256.0,256.0,0.4533187747001648
0.77734375,0.5625,0.83984375,31,0.90234375,0.5,0.40610969066619873,256.0,256.0,0.4275728166103363
