raw/gen/rollout/ep_rew_mean,raw/gen/time/fps,raw/gen/time/time_elapsed,raw/gen/rollout/ep_len_mean,raw/gen/time/total_timesteps,raw/gen/time/iterations,raw/gen/train/approx_kl,raw/gen/train/loss,raw/gen/train/value_loss,raw/gen/train/explained_variance,raw/gen/train/learning_rate,raw/gen/train/policy_gradient_loss,raw/gen/train/clip_range,raw/gen/train/entropy_loss,raw/gen/train/clip_fraction,raw/gen/rollout/ep_rew_wrapped_mean,raw/gen/train/n_updates
-500.0,1923,0,45.0,512,1,,,,,,,,,,,
-490.9090881347656,2155,0,45.0,1024,1,0.0051168096,-0.038431160151958466,0.009478072945057647,-7.147263526916504,0.0001,-0.013521990760636982,0.2,-1.6073766676709056,0.02099609375,-0.484903799708594,8
-417.6470642089844,2137,0,45.0,1536,1,0.012389292,-0.01265043392777443,0.15233929033274762,-0.04892539978027344,0.0001,-0.012065455855918117,0.2,-1.5988555336371064,0.042236328125,-2.438924308781597,16
-395.5555419921875,1901,0,45.0,2048,1,0.006636803,0.11203692108392715,0.6685014256509021,0.4309728741645813,0.0001,-0.00956622196099488,0.2,-1.5859431130811572,0.02587890625,-4.630338757079752,24
-469.6428527832031,2178,0,45.0,2560,1,0.0075277463,0.2823764681816101,1.7079874391201884,0.5237510800361633,0.0001,-0.01111987608965137,0.2,-1.5913700703531504,0.018798828125,-6.954715913327204,32
-422.058837890625,2181,0,45.0,3072,1,0.0041870046,0.5392372012138367,2.501032081898302,0.6370329856872559,0.0001,-0.007393911444523837,0.2,-1.5892958492040634,0.0048828125,-8.97067409790387,40
-450.6329040527344,1657,0,45.0,3584,1,0.004497081,1.00055730342865,4.74202576559037,0.6339766383171082,0.0001,-0.006626633388805203,0.2,-1.5728539740666747,0.010498046875,-11.451258397140705,48
-442.8571472167969,2720,0,45.0,4096,1,0.005535836,2.6282689571380615,8.39791108481586,0.626777172088623,0.0001,-0.007955738627060782,0.2,-1.5518088601529598,0.009765625,-13.745339967664096,56
-471.5,2650,0,45.0,4608,1,0.004149119,2.164485454559326,9.238815490156412,0.5122319459915161,0.0001,-0.003380733647645684,0.2,-1.5359917944297194,0.0,-16.30571689176281,64
-488.5,2475,0,45.0,5120,1,0.00055603136,3.2856547832489014,17.801853831857443,0.44155919551849365,0.0001,-0.0013034844523645006,0.2,-1.523955444805324,0.0,-19.143682989859954,72
