raw/gen/time/total_timesteps,raw/gen/time/iterations,raw/gen/time/fps,raw/gen/rollout/ep_rew_mean,raw/gen/time/time_elapsed,raw/gen/rollout/ep_len_mean,raw/gen/train/clip_range,raw/gen/train/learning_rate,raw/gen/train/policy_gradient_loss,raw/gen/train/approx_kl,raw/gen/train/entropy_loss,raw/gen/train/n_updates,raw/gen/train/loss,raw/gen/rollout/ep_rew_wrapped_mean,raw/gen/train/explained_variance,raw/gen/train/value_loss,raw/gen/train/clip_fraction
512,1,1276,-544.4444580078125,0,28.444444444444443,,,,,,,,,,,
1024,1,1326,-458.6956481933594,0,22.108695652173914,0.2,0.0001,-0.010626236409734702,0.0028711474,-1.6085451170802116,8,-0.018412798643112183,-2.7557154993216195,-0.13795161247253418,0.18602615236886777,0.003173828125
1536,1,1333,-469.4444580078125,0,21.22222222222222,0.2,0.0001,-0.01884324509592261,0.008587718,-1.600120648741722,16,0.6129566431045532,-4.998571011035339,0.13836538791656494,2.459611650556326,0.0966796875
2048,1,1061,-533.5,0,15.55,0.2,0.0001,-0.015308178997656796,0.008605674,-1.5779775511473417,24,4.488471031188965,-7.5835014205012055,0.1868903636932373,11.915612548589706,0.07373046875
2560,1,979,-590.5,0,10.06,0.2,0.0001,-0.027018747241527308,0.01001829,-1.5180086055770516,32,6.857943534851074,-10.126838362514972,0.3012250065803528,15.635006692260504,0.14599609375
3072,1,1278,-535.5,0,9.11,0.2,0.0001,-0.030121852789307013,0.012684916,-1.4571365462616086,40,14.051162719726562,-11.811750952601432,0.33930420875549316,23.506120532751083,0.224853515625
3584,1,1219,-526.0,0,9.67,0.2,0.0001,-0.02427671958139399,0.013745016,-1.3897239621728659,48,22.843873977661133,-14.291623036265372,0.275307297706604,50.65584157407284,0.120849609375
4096,1,1196,-508.0,0,8.62,0.2,0.0001,-0.018068725084958714,0.010828076,-1.2813895037397742,56,20.28955078125,-17.779007612466813,0.31825315952301025,47.80336908996105,0.0732421875
4608,1,971,-570.5,0,7.12,0.2,0.0001,-0.01867980315728346,0.0100507755,-1.1880189897492528,64,13.427525520324707,-17.0900945520401,0.31597793102264404,36.79973801225424,0.092041015625
5120,1,1279,-469.5,0,7.45,0.2,0.0001,-0.02401359514624346,0.009206284,-1.106831411831081,72,19.425004959106445,-13.471497945189476,0.34358805418014526,37.51273921132088,0.107177734375
5632,1,1188,-448.5,0,7.14,0.2,0.0001,-0.015560755578917451,0.006587398,-1.0629320186562836,80,12.391578674316406,-12.173336794190108,0.23721474409103394,27.570603862404823,0.080322265625
6144,1,1248,-443.5,0,6.5,0.2,0.0001,-0.01786949692905182,0.007291364,-0.8704916290007532,88,7.2859110832214355,-9.844193433448673,0.3089691996574402,14.740423381328583,0.070068359375
6656,1,1195,-397.0,0,6.08,0.2,0.0001,-0.01778928412386449,0.0073025385,-0.7955571543425322,96,5.051028728485107,-7.366336263231933,0.4232233762741089,8.626499876379967,0.132080078125
7168,1,1168,-410.0,0,5.05,0.2,0.0001,-0.024925362267822493,0.011696109,-0.6801688128616661,104,4.104899883270264,-6.246814253740013,0.33098626136779785,6.5810174606740475,0.117919921875
7680,1,1003,-453.0,0,5.64,0.2,0.0001,-0.020876892682281323,0.0073794723,-0.5175952191930264,112,2.745837450027466,-5.217241156026721,0.30030590295791626,7.606514682993293,0.12646484375
8192,1,1195,-369.5,0,5.87,0.2,0.0001,-0.020014108682516962,0.006228761,-0.4654966779053211,120,4.775388717651367,-6.711125816237182,0.3768402934074402,7.464940706267953,0.095947265625
8704,1,1178,-458.5,0,5.17,0.2,0.0001,-0.02099557656038087,0.01260275,-0.3520254127215594,128,4.875723838806152,-6.819159379117191,0.3926471471786499,8.999748978763819,0.109619140625
9216,1,1154,-393.5,0,5.97,0.2,0.0001,-0.01314815351361176,0.004643895,-0.31266884633805603,136,4.9430155754089355,-7.033576079811901,0.4258744716644287,9.557668644934893,0.067626953125
9728,1,1131,-429.5,0,5.07,0.2,0.0001,-0.013359686767216772,0.00378739,-0.2710814996389672,144,9.703876495361328,-7.7235841859132055,0.2731720209121704,15.171190768480301,0.06201171875
10240,1,900,-435.5,0,5.15,0.2,0.0001,-0.010782300669234246,0.003839568,-0.2165047499584034,152,5.458284378051758,-7.690882248617709,0.2924261689186096,15.047164425253868,0.04736328125
10752,1,1133,-336.5,0,6.06,0.2,0.0001,-0.012108227012504358,0.018780602,-0.12676368717802688,160,6.209447383880615,-7.463781562838704,0.27912527322769165,10.965302463620901,0.05126953125
11264,1,1063,-290.0,0,6.74,0.2,0.0001,-0.004234900188748725,0.002653569,-0.11061736589181237,168,6.511765003204346,-6.634670754354447,0.3082505464553833,10.319386649876833,0.031005859375
11776,1,1225,-245.5,0,6.61,0.2,0.0001,-0.005163137971976539,0.001369677,-0.10156339779496193,176,6.47601318359375,-7.515623542983085,0.2921373248100281,14.378430124372244,0.022216796875
12288,1,1069,-391.5,0,5.76,0.2,0.0001,-0.0030103318640612997,0.0006174443,-0.08139596245018765,184,4.386472225189209,-8.64511724576354,0.33354485034942627,14.429441921412945,0.01611328125
12800,1,983,-337.0,0,5.58,0.2,0.0001,-0.001468025231588399,0.00051660626,-0.061314318067161366,192,3.2409441471099854,-9.296171816568823,0.48628753423690796,6.35869525372982,0.006103515625
13312,1,1155,-200.0,0,7.19,0.2,0.0001,-0.0023404500461765565,0.0036699462,-0.0715251231304137,200,6.441030979156494,-9.931915804557502,0.38826584815979004,12.941451210528612,0.013671875
