mean/gen/train/loss,mean/gen/rollout/ep_rew_mean,mean/gen/time/iterations,mean/disc/disc_acc_expert,mean/gen/train/clip_range,mean/disc/disc_acc_gen,mean/disc/disc_entropy,eval/std_reward,mean/gen/train/clip_fraction,mean/disc/disc_loss,mean/gen/train/learning_rate,mean/disc/disc_proportion_expert_pred,mean/gen/rollout/ep_len_mean,mean/disc/disc_acc,mean/gen/time/time_elapsed,mean/gen/train/value_loss,mean/disc/disc_proportion_expert_true,mean/disc/n_generated,mean/gen/train/policy_gradient_loss,mean/gen/train/explained_variance,eval/mean_reward,mean/gen/time/fps,mean/gen/time/total_timesteps,mean/disc/n_expert,mean/gen/train/approx_kl,mean/gen/train/n_updates,mean/gen/train/entropy_loss,mean/disc/global_step,mean/gen/rollout/ep_rew_wrapped_mean
-0.05263920873403549,-418.18182373046875,1.0,1.0,0.2,0.0,0.4508961886167526,797.8226619995198,0.020751953125,1.0170273184776306,0.0001,1.0,45.0,0.5,0.0,0.04807573899597628,0.5,256.0,-0.012023624789435416,-0.07944846153259277,-73.0,1811.0,512.0,256.0,0.006209118291735649,8.0,-1.6070509999990463,1.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.04373431205749512,-450.0,1.0,1.0,0.2,0.0,0.4495244771242142,107.4197374787334,0.0146484375,1.0141828060150146,0.0001,1.0,45.0,0.5,0.0,0.019664739997097058,0.5,256.0,-0.01298841844254639,-0.2540320158004761,19.0,2321.0,1024.0,256.0,0.007943843491375446,16.0,-1.6014298247173429,2.0,2.2843398202887992
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.07515672594308853,-402.941162109375,1.0,1.0,0.2,0.0,0.45130684971809387,640.1531066862052,0.11572265625,0.9948997497558594,0.0001,1.0,45.0,0.5,0.0,0.00915060640181764,0.5,256.0,-0.02804136987106176,-2.1004199981689453,-48.0,2194.0,1536.0,256.0,0.01346750371158123,24.0,-1.5803535878658295,3.0,1.9678204208612442
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.06606461107730865,-422.22222900390625,1.0,1.0,0.2,0.0,0.4562758505344391,597.7875876931538,0.066650390625,1.0013499855995178,0.0001,1.0,45.0,0.5,0.0,0.0029424025783555408,0.5,256.0,-0.024335024208994582,-1.2638843059539795,-320.0,2564.0,2048.0,256.0,0.009925327263772488,32.0,-1.5668020322918892,4.0,1.5650299011236604
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.06929492205381393,-461.6071472167969,1.0,1.0,0.2,0.0,0.45400451123714447,655.0763314301624,0.10888671875,0.9786047041416168,0.0001,1.0,45.0,0.5,0.0,0.006326021691165806,0.5,256.0,-0.027058729036070872,0.23488032817840576,-355.0,2197.0,2560.0,256.0,0.01108064316213131,40.0,-1.5510882074013352,5.0,1.2650696148475011
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.049415040761232376,-433.0882263183594,1.0,1.0,0.2,0.0,0.45309336483478546,603.0031094447191,0.10791015625,0.9671660363674164,0.0001,1.0,45.0,0.5,0.0,0.021703909904317698,0.5,256.0,-0.025600604916689917,0.543394535779953,-353.5,2369.0,3072.0,256.0,0.012740887701511383,48.0,-1.514464283362031,6.0,0.9535022609135402
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
