subject	block	block_type	trial	t_ss	t_ll	r_ss	r_ll	resp_ss	rt	lr	mean_k	mean_tau	sd_k	sd_tau	mean_log_k	mean_tau_2	sd_log_k	sd_tau_2
100	1	ado	1	0.0	260.0	450.0	800.0	0	0.09247941666399129	1	0.0005436461651697755	0.5050963759422302	0.003460273379459977	0.28859636187553406	-8.660735130310059	0.500044584274292	1.7153302431106567	0.29151439666748047
100	1	ado	2	0.0	520.0	720.0	800.0	0	0.34717791667208076	1	6.686247797915712e-05	0.5082381963729858	0.0001424984075129032	0.2868664264678955	-9.966625213623047	0.5035049319267273	1.0446202754974365	0.28967028856277466
100	1	ado	3	0.0	520.0	780.0	800.0	1	0.2384885416686302	-1	0.00010955338075291365	0.49672749638557434	0.0001941755326697603	0.2899168133735657	-9.236727714538574	0.49197807908058167	0.7477269172668457	0.2925487458705902
100	1	ado	4	0.0	520.0	760.0	800.0	0	0.1805698750031297	-1	6.89614680595696e-05	0.48961693048477173	3.0423909265664406e-05	0.2915942370891571	-9.63461971282959	0.48497912287712097	0.6772924065589905	0.2940598130226135
100	1	ado	5	0.0	520.0	770.0	800.0	1	0.006506666664790828	1	8.721934136701748e-05	0.495341956615448	3.3012980566127226e-05	0.29245612025260925	-9.356573104858398	0.4896124005317688	0.6327129006385803	0.2955446243286133
100	1	ado	6	0.0	260.0	780.0	800.0	0	0.04641350000019884	-1	8.243037154898047e-05	0.5319947004318237	2.3229515136335976e-05	0.2871951162815094	-9.413483619689941	0.5275464653968811	0.5540779232978821	0.29006537795066833
100	1	ado	7	0.0	260.0	790.0	800.0	0	0.09003454166668234	1	6.695058254990727e-05	0.20354929566383362	3.67866778105963e-05	0.17497357726097107	-9.602039337158203	0.1958334594964981	1.152988076210022	0.17597226798534393
100	1	ado	8	0.0	520.0	790.0	800.0	0	0.19511441666691098	-1	4.511205406743102e-05	0.07390858232975006	3.9102353184716776e-05	0.0557771697640419	-9.795348167419434	0.06621873378753662	1.8747535943984985	0.057416077703237534
100	1	ado	9	0.0	520.0	740.0	800.0	0	0.18964445833989885	1	4.170877218712121e-05	0.08017894625663757	3.113516140729189e-05	0.05644146725535393	-10.023245811462402	0.07517561316490173	1.527649164199829	0.05799122527241707
100	1	ado	10	0.0	520.0	750.0	800.0	0	0.5007352916654781	-1	3.9237278542714193e-05	0.08659214526414871	2.620739360281732e-05	0.057267650961875916	-10.173343658447266	0.08336391299962997	1.2523661851882935	0.05853576213121414
100	1	ado	11	0.0	260.0	760.0	800.0	1	0.2758681249979418	-1	4.4656255340669304e-05	0.04425201192498207	3.732091499841772e-05	0.028325919061899185	-9.668022155761719	0.03818824514746666	2.1063950061798096	0.030396997928619385
100	1	ado	12	0.0	520.0	710.0	800.0	0	0.3015652499962016	-1	4.2722087528090924e-05	0.04693197086453438	3.308540181024e-05	0.02840149961411953	-9.942463874816895	0.04311296343803406	1.7128030061721802	0.03009411320090294
100	1	ado	13	0.0	520.0	730.0	800.0	0	0.3474270000006072	1	4.08851592510473e-05	0.04997134208679199	2.9712062314501964e-05	0.028635995462536812	-10.116934776306152	0.04753824323415756	1.4055668115615845	0.02992922253906727
100	1	ado	14	0.0	260.0	730.0	800.0	1	0.2789835416697315	-1	4.536518463282846e-05	0.026659639552235603	4.003218055004254e-05	0.015125633217394352	-9.33692741394043	0.020985055714845657	2.515767812728882	0.01729649119079113
100	1	ado	15	0.0	520.0	690.0	800.0	0	0.21593850000499515	1	4.351031384430826e-05	0.028205757960677147	3.6617377190850675e-05	0.015286644920706749	-9.714984893798828	0.024413257837295532	2.1059892177581787	0.017171163111925125
100	1	ado	16	0.0	520.0	680.0	800.0	0	0.3681538333330536	1	4.2304760427214205e-05	0.02952221781015396	3.4320109989494085e-05	0.015323063358664513	-9.981278419494629	0.0271750558167696	1.7135803699493408	0.016730621457099915
100	1	ado	17	0.0	520.0	700.0	800.0	1	0.44771475000015926	-1	5.104757656226866e-05	0.019123690202832222	4.5714754378423095e-05	0.009829497896134853	-9.057604789733887	0.014153677970170975	2.691528797149658	0.011910202912986279
100	1	ado	18	0.0	520.0	660.0	800.0	1	0.199724124999193	1	6.145684164948761e-05	0.013210956007242203	5.934082582825795e-05	0.005705588031560183	-7.616288661956787	0.005669217556715012	3.37211012840271	0.007531637791544199
100	1	ado	19	0.0	520.0	640.0	800.0	1	0.20564608333370415	1	7.449084660038352e-05	0.01102941483259201	7.361251482507214e-05	0.003222501603886485	-6.592678546905518	0.0022038016468286514	3.4634995460510254	0.0046394867822527885
100	1	ado	20	0.0	520.0	650.0	800.0	0	0.32326712500071153	-1	6.97596842655912e-05	0.011199700646102428	6.816622772021219e-05	0.003459719941020012	-6.945852756500244	0.0031446933280676603	3.459643602371216	0.005356437526643276
