subject	block	block_type	trial	p_var	a_var	r_var	r_fix	resp_var	rt	color	lr	mean_alpha	mean_beta	mean_gamma	sd_alpha	sd_beta	sd_gamma
100	1	ado	1	0.5	0.75	65.0	55.0	1	0.21925620832917048	1	-1	1.0441652536392212	-1.3168879747390747	2.5079801082611084	0.5768669247627258	1.109468698501587	1.5098620653152466
100	1	ado	2	0.12999999523162842	0.0	65.0	21.0	0	65.66493766666827	1	-1	0.6580608487129211	-1.3394348621368408	2.6477913856506348	0.35668277740478516	1.1112384796142578	1.4852417707443237
100	1	ado	3	0.12999999523162842	0.0	65.0	11.0	1	2.089627291672514	0	1	0.8509788513183594	-1.338200569152832	2.501035451889038	0.3161231577396393	1.0950483083724976	1.4759081602096558
100	1	ado	4	0.12999999523162842	0.0	65.0	15.0	1	0.2880181666696444	1	1	0.9829869270324707	-1.3477634191513062	2.5221972465515137	0.2580409646034241	1.071508765220642	1.4806935787200928
100	1	ado	5	0.12999999523162842	0.0	65.0	18.0	1	0.615964750002604	0	1	1.0690782070159912	-1.351099967956543	2.5091195106506348	0.2243698388338089	1.0624934434890747	1.4918299913406372
100	1	ado	6	0.25	0.0	65.0	34.0	1	0.7689136249973672	1	1	1.1131857633590698	-1.3736698627471924	2.672116279602051	0.17834585905075073	1.0292949676513672	1.4714434146881104
100	1	ado	7	0.5	0.75	5.0	5.0	0	0.8781394999969052	1	-1	1.052355408668518	-0.2231927216053009	1.8788083791732788	0.3224327564239502	0.921352207660675	1.5849605798721313
100	1	ado	8	0.12999999523162842	0.0	65.0	13.0	0	0.4277303333292366	0	-1	0.738042414188385	-0.3403463065624237	0.3870347738265991	0.5330965518951416	1.5877007246017456	0.5445374250411987
100	1	ado	9	0.5	0.75	65.0	5.0	1	0.5022815416668891	1	1	0.7409564852714539	-0.6023592948913574	0.44437021017074585	0.4890036880970001	1.460499882698059	0.542255699634552
100	1	ado	10	0.5	0.75	65.0	6.0	0	2.4009792916622246	1	-1	0.7351250648498535	-0.0068746935576200485	0.26167088747024536	0.6061514616012573	1.666537880897522	0.504245936870575
100	1	ado	11	0.5	0.75	65.0	7.0	0	1.951548166667635	0	-1	0.7564494013786316	0.15994170308113098	0.23699603974819183	0.6146945357322693	1.6817867755889893	0.48770320415496826
100	1	ado	12	0.5	0.75	65.0	47.0	0	1.894582041662943	1	-1	0.7367948293685913	0.2998206317424774	0.26793041825294495	0.6104945540428162	1.6712961196899414	0.5216379761695862
100	1	ado	13	0.5	0.75	55.0	47.0	0	0.20688216666894732	1	-1	0.7008050084114075	0.44965749979019165	0.3217356204986572	0.6012387275695801	1.6512248516082764	0.5703082084655762
100	1	ado	14	0.5	0.75	65.0	40.0	1	1.0700938750014757	1	1	0.7606877684593201	0.22889769077301025	0.23055212199687958	0.6148808002471924	1.6643917560577393	0.4793208837509155
100	1	ado	15	0.5	0.75	55.0	40.0	1	0.8848434999963501	0	1	0.7903180718421936	0.10164748132228851	0.19032400846481323	0.6185595989227295	1.6681008338928223	0.43123292922973633
100	1	ado	16	0.5	0.75	65.0	8.0	0	2.091739958326798	1	-1	0.7917925715446472	0.18357418477535248	0.18953460454940796	0.6207840442657471	1.6792279481887817	0.43269941210746765
100	1	ado	17	0.5	0.75	65.0	34.0	0	15.311271916667465	0	-1	0.7722576856613159	0.2732650935649872	0.213448166847229	0.6195484399795532	1.6752108335494995	0.46071988344192505
100	1	ado	18	0.5	0.75	47.0	40.0	0	0.6413820833331556	0	-1	0.7405892014503479	0.37453609704971313	0.25222092866897583	0.6156161427497864	1.6627978086471558	0.5002326369285583
100	1	ado	19	0.5	0.75	55.0	34.0	1	4.093660333332082	1	1	0.7868552803993225	0.2344486564397812	0.19439034163951874	0.6204075813293457	1.672176480293274	0.43736541271209717
100	1	ado	20	0.12999999523162842	0.0	65.0	55.0	0	0.6602530833333731	1	-1	0.7500478625297546	0.27131378650665283	0.24408580362796783	0.6169055700302124	1.6408843994140625	0.5015590190887451
100	1	ado	21	0.12999999523162842	0.0	55.0	47.0	1	0.47218583332869457	0	1	0.7992208003997803	0.22346985340118408	0.17004171013832092	0.6213420629501343	1.6856417655944824	0.38800716400146484
100	1	ado	22	0.5	0.75	65.0	29.0	1	0.5459804583297228	0	1	0.8229765295982361	0.13445526361465454	0.14506718516349792	0.6212859153747559	1.6841659545898438	0.35607874393463135
100	1	ado	23	0.5	0.75	65.0	25.0	1	8.489813708329166	0	1	0.8343906402587891	0.06910257041454315	0.13338759541511536	0.6206038594245911	1.6808558702468872	0.3396521210670471
100	1	ado	24	0.12999999523162842	0.0	65.0	47.0	1	0.6049702083328157	1	1	0.8644444942474365	0.05637221783399582	0.09954363107681274	0.6191115379333496	1.704960584640503	0.2740839421749115
100	1	ado	25	0.5	0.75	65.0	9.5	1	0.8928850000011153	1	1	0.8631777167320251	0.01229937095195055	0.10016724467277527	0.6184514760971069	1.6980563402175903	0.2739697992801666
100	1	ado	26	0.5	0.75	55.0	5.0	1	1.5024998749941005	0	1	0.8550891876220703	-0.028639327734708786	0.1064557209610939	0.6181588172912598	1.6894745826721191	0.28205642104148865
100	1	ado	27	0.5	0.75	55.0	6.0	1	2.7923331250058254	0	1	0.8422948122024536	-0.07209112495183945	0.1165248304605484	0.6178991198539734	1.6799616813659668	0.2945851683616638
100	1	ado	28	0.5	0.75	65.0	11.0	0	34.721919000003254	0	-1	0.8605409860610962	-0.01935671642422676	0.10220654308795929	0.6180069446563721	1.6894025802612305	0.276630163192749
100	1	ado	29	0.5	0.75	55.0	7.0	0	43.59152275000088	0	-1	0.8717023730278015	0.021246561780571938	0.0936085432767868	0.6178010702133179	1.6969233751296997	0.2649308443069458
100	1	ado	30	0.12999999523162842	0.0	47.0	40.0	0	0.5495588749981835	0	-1	0.8511751294136047	0.026026809588074684	0.11296499520540237	0.619391918182373	1.6807998418807983	0.2991728186607361
