mean/gen/time/iterations,mean/disc/n_expert,mean/gen/train/n_updates,mean/gen/rollout/ep_rew_mean,mean/disc/global_step,mean/disc/disc_acc_gen,mean/gen/train/policy_gradient_loss,mean/disc/disc_proportion_expert_pred,mean/gen/train/value_loss,mean/gen/time/time_elapsed,mean/disc/disc_proportion_expert_true,mean/gen/train/clip_fraction,mean/gen/train/clip_range,mean/gen/time/total_timesteps,mean/gen/train/learning_rate,mean/disc/disc_loss,mean/gen/train/approx_kl,mean/gen/train/loss,mean/gen/rollout/ep_len_mean,mean/gen/train/entropy_loss,mean/gen/train/explained_variance,mean/disc/disc_entropy,mean/disc/disc_acc_expert,mean/disc/disc_acc,mean/disc/n_generated,mean/gen/time/fps,mean/gen/rollout/ep_rew_wrapped_mean
1.0,256.0,8.0,-500.0,1.0,0.0,-0.013521990760636982,1.0,0.009478072945057647,0.0,0.5,0.02099609375,0.2,512.0,0.0001,0.9670872390270233,0.0051168096251785755,-0.038431160151958466,45.0,-1.6073766676709056,-7.147263526916504,0.45594511926174164,1.0,0.5,256.0,1899.0,
1.0,256.0,16.0,-490.9090881347656,2.0,0.0,-0.007902353230747394,1.0,0.6812206642935053,0.0,0.5,0.019775390625,0.2,1024.0,0.0001,0.9163432121276855,0.008780389092862606,0.10000035166740417,45.0,-1.6002961192280054,-0.02401125431060791,0.49967795610427856,1.0,0.5,256.0,2059.0,-0.484903799708594
1.0,256.0,24.0,-423.5294189453125,3.0,0.0,-0.004578962027153466,1.0,3.6890677139163017,0.0,0.5,0.004638671875,0.2,1536.0,0.0001,0.8494833409786224,0.0028972593136131763,0.867619514465332,45.0,-1.5895528979599476,0.4277784824371338,0.554846853017807,1.0,0.5,256.0,2054.0,-4.4991330330852755
1.0,256.0,32.0,-400.0,4.0,0.0,-0.003286960127297789,1.0,14.53018656000495,0.0,0.5,0.0,0.2,2048.0,0.0001,0.7796293199062347,0.001159871113486588,2.0593173503875732,45.0,-1.5952506437897682,0.49045294523239136,0.6132798790931702,1.0,0.5,256.0,1755.0,-9.14995235922363
1.0,256.0,40.0,-455.3571472167969,5.0,0.064453125,-0.00039280643250094727,0.9462890625,37.7844775095582,0.0,0.5,0.0,0.2,2560.0,0.0001,0.7377970814704895,3.360770642757416e-05,7.078176498413086,45.0,-1.5987333990633488,0.5598913729190826,0.6585666537284851,0.95703125,0.5107421875,256.0,2023.0,-14.728445953917172
1.0,256.0,48.0,-408.8235168457031,6.0,0.287109375,-0.0002467595404596068,0.7021484375,94.09981682896614,0.0,0.5,0.0,0.2,3072.0,0.0001,0.7159342765808105,7.339869625866413e-06,31.10072898864746,45.0,-1.596959519200027,0.43273818492889404,0.6797380745410919,0.69140625,0.4892578125,256.0,1828.0,-20.50425480316127
1.0,256.0,56.0,-441.1392517089844,7.0,0.6015625,-0.00023874128964962438,0.400390625,217.56906300783157,0.0,0.5,0.0,0.2,3584.0,0.0001,0.6803472638130188,3.7371646612882614e-06,76.35115051269531,45.0,-1.5958947818726301,0.12458813190460205,0.676857054233551,0.40234375,0.501953125,256.0,1515.0,-27.433182558674805
1.0,256.0,64.0,-441.20880126953125,8.0,0.859375,-0.0002914080032496713,0.220703125,269.60527658462524,0.0,0.5,0.0,0.2,4096.0,0.0001,0.6543897688388824,4.37488779425621e-06,93.5169906616211,45.0,-1.5956747848540545,0.03830158710479736,0.6711803674697876,0.30078125,0.580078125,256.0,2269.0,-34.1882820748783
1.0,256.0,72.0,-451.5,9.0,0.947265625,-0.0002655055795912631,0.255859375,362.61860632896423,0.0,0.5,0.0,0.2,4608.0,0.0001,0.591783195734024,4.505855031311512e-06,142.57473754882812,45.0,-1.5945030087605119,0.014176607131958008,0.654457151889801,0.458984375,0.703125,256.0,1949.0,-40.92644778456907
1.0,256.0,80.0,-459.0,10.0,0.8671875,-0.00015592887575621717,0.3447265625,299.0440067052841,0.0,0.5,0.0,0.2,5120.0,0.0001,0.5838828384876251,1.5237601473927498e-06,144.0772247314453,45.0,-1.596026012673974,0.00873708724975586,0.6336667537689209,0.556640625,0.7119140625,256.0,1995.0,-47.6631926649157
1.0,256.0,88.0,-454.0,11.0,0.833984375,-0.0001159500316134654,0.404296875,314.30406665802,0.0,0.5,0.0,0.2,5632.0,0.0001,0.5368847548961639,1.089530996978283e-06,94.71428680419922,45.0,-1.5965438317507505,0.010310471057891846,0.6057628393173218,0.642578125,0.73828125,256.0,2274.0,-57.479667762219904
1.0,256.0,96.0,-452.0,12.0,0.80859375,-0.00021864396694581956,0.3935546875,305.85639095306396,0.0,0.5,0.0,0.2,6144.0,0.0001,0.5700753629207611,3.2176030799746513e-06,119.0875015258789,45.0,-1.595764179714024,-0.0008924007415771484,0.5746880173683167,0.595703125,0.7021484375,256.0,2256.0,-67.10334170088171
1.0,256.0,104.0,-467.5,13.0,0.880859375,-0.00026268231158610433,0.3837890625,383.53583693504333,0.0,0.5,0.0,0.2,6656.0,0.0001,0.4771738797426224,6.0282181948423386e-06,178.85670471191406,45.0,-1.5954583762213588,0.0011003613471984863,0.5420413017272949,0.6484375,0.7646484375,256.0,2223.0,-74.54604290919379
1.0,256.0,112.0,-490.5,14.0,0.833984375,-0.00028530322742881253,0.4013671875,390.76151609420776,0.0,0.5,0.0,0.2,7168.0,0.0001,0.47674591839313507,4.4549815356731415e-06,158.6338653564453,45.0,-1.597276546061039,0.0003364682197570801,0.5214551985263824,0.63671875,0.7353515625,256.0,2054.0,-81.98083249362186
1.0,256.0,120.0,-495.5,15.0,0.87109375,-0.0004272455698810518,0.3603515625,498.17232513427734,0.0,0.5,0.0,0.2,7680.0,0.0001,0.48617181181907654,7.907743565738201e-06,196.63381958007812,45.0,-1.5962275732308626,0.003122687339782715,0.4939371794462204,0.591796875,0.7314453125,256.0,2166.0,-88.47607945093885
1.0,256.0,128.0,-493.0,16.0,0.857421875,-0.00024225973538705148,0.369140625,489.3712737560272,0.0,0.5,0.0,0.2,8192.0,0.0001,0.48829732835292816,3.150315023958683e-06,166.44558715820312,45.0,-1.5954811433330178,0.00032526254653930664,0.4913853406906128,0.595703125,0.7265625,256.0,1941.0,-94.04604121519253
1.0,256.0,136.0,-489.0,17.0,0.869140625,-0.00048300959315383807,0.3583984375,556.4337170124054,0.0,0.5,0.0,0.2,8704.0,0.0001,0.505380243062973,7.922528311610222e-06,253.7224884033203,45.0,-1.5953156109899282,0.0002352595329284668,0.48960186541080475,0.5859375,0.7275390625,256.0,2038.0,-98.01751859773881
