raw/gen/time/iterations,raw/gen/time/total_timesteps,raw/gen/time/time_elapsed,raw/gen/rollout/ep_rew_mean,raw/gen/rollout/ep_len_mean,raw/gen/time/fps,raw/gen/train/explained_variance,raw/gen/train/policy_gradient_loss,raw/gen/train/clip_fraction,raw/gen/rollout/ep_rew_wrapped_mean,raw/gen/train/learning_rate,raw/gen/train/approx_kl,raw/gen/train/loss,raw/gen/train/clip_range,raw/gen/train/value_loss,raw/gen/train/entropy_loss,raw/gen/train/n_updates
1,512,0,-495.4545593261719,45.0,1992,,,,,,,,,,,
1,1024,0,-534.0908813476562,45.0,2115,0.12067681550979614,-0.015858577462495305,0.019775390625,2.1918891448188913,0.0001,0.006618077,-0.02938944846391678,0.2,0.04097889017430134,-1.6071301633492112,8
1,1536,0,-398.5294189453125,45.0,1931,-0.34173405170440674,-0.01803761399787618,0.047119140625,-2.0853987562216143,0.0001,0.01358504,0.035114139318466187,0.2,0.5593773740110919,-1.5981341106817126,16
1,2048,0,-405.5555419921875,45.0,2095,0.21505743265151978,-0.00640064429899212,0.00244140625,-6.932484118980081,0.0001,0.004980201,0.41506901383399963,0.2,3.3415452376939356,-1.5830882517620921,24
1,2560,0,-441.96429443359375,45.0,1909,0.3644270896911621,-0.002958001146907918,0.0,-12.167621155372924,0.0001,0.0016988048,2.0749120712280273,0.2,11.014385428279638,-1.5764983333647251,32
1,3072,0,-415.441162109375,45.0,1877,0.49795275926589966,-0.0011946755039389245,0.0,-18.060426951352774,0.0001,0.00021554285,7.621281147003174,0.2,32.621583573520184,-1.5641229273751378,40
1,3584,0,-423.417724609375,45.0,1374,0.3742099404335022,-0.0005810411530546844,0.0,-24.900532412917954,0.0001,2.4705892e-05,28.344430923461914,0.2,88.95635153353214,-1.5630094865337014,48
1,4096,0,-404.945068359375,45.0,1952,0.1103900671005249,-0.000495811014843639,0.0,-32.44317933565737,0.0001,1.0768883e-05,85.86334991455078,0.2,240.04943120479584,-1.5671336883679032,56
1,4608,0,-430.0,45.0,2130,0.04904729127883911,-0.00023542017152067274,0.0,-40.739016679514734,0.0001,7.274328e-06,140.86639404296875,0.2,387.8466204404831,-1.5638357186689973,64
1,5120,0,-435.5,45.0,1956,0.021016061305999756,-0.00010981896775774658,0.0,-48.79575292538851,0.0001,1.895125e-06,256.996826171875,0.2,488.6319205760956,-1.5683678006753325,72
1,5632,0,-447.0,45.0,2139,0.009817421436309814,-0.0002869034797186032,0.0,-60.717618142291904,0.0001,5.258131e-06,215.2699737548828,0.2,474.8368389606476,-1.5617421651259065,80
1,6144,0,-463.5,45.0,2205,-9.000301361083984e-05,-0.00027981850143987685,0.0,-71.94495633804705,0.0001,6.9926027e-06,174.24964904785156,0.2,441.21420180797577,-1.5685129258781672,88
1,6656,0,-468.5,45.0,1916,0.00028145313262939453,-0.00026199342391919345,0.0,-81.72823283736594,0.0001,6.9760717e-06,195.73472595214844,0.2,494.21346521377563,-1.5687901647761464,96
1,7168,0,-479.5,45.0,1921,-0.0023065805435180664,-0.00038518159271916375,0.0,-88.84961750055663,0.0001,1.0928954e-05,157.7596893310547,0.2,380.52396285533905,-1.5650261007249355,104
1,7680,0,-480.5,45.0,2110,-0.0015429258346557617,-0.0007335159898502752,0.0,-94.63562240467407,0.0001,4.0151877e-05,153.24497985839844,0.2,418.84363210201263,-1.5644217245280743,112
1,8192,0,-479.5,45.0,1202,-0.0008130073547363281,-0.0003713725382112898,0.0,-99.49740635057911,0.0001,7.6016877e-06,179.25450134277344,0.2,450.65132570266724,-1.5743586802855134,120
1,8704,0,-481.5,45.0,1893,-0.0010569095611572266,-0.001452587624953594,0.0,-100.5924039214477,0.0001,8.7814406e-05,250.49024963378906,0.2,438.48106265068054,-1.5636364668607712,128
1,9216,0,-456.5,45.0,1309,-0.0010803937911987305,-0.002727903542108834,0.0,-99.81241093333345,0.0001,0.00030304864,176.585205078125,0.2,379.93548130989075,-1.561567240394652,136
1,9728,0,-449.5,45.0,2149,0.00030219554901123047,-0.00166805100889178,0.0,-100.9923961212067,0.0001,6.7608315e-05,194.47531127929688,0.2,520.3673610687256,-1.5604224484413862,144
1,10240,0,-452.5,45.0,2241,0.0004717707633972168,-0.00033216361043741927,0.0,-104.24351591182408,0.0001,6.5827044e-06,255.3600311279297,0.2,641.4532468318939,-1.5691944705322385,152
1,10752,0,-435.0,45.0,2019,0.0005407333374023438,-0.000325290544424206,0.0,-107.37191428145394,0.0001,6.9320668e-06,268.753173828125,0.2,690.5069694519043,-1.5730475075542927,160
1,11264,0,-435.0,45.0,2049,0.00018477439880371094,-0.00037265268838382326,0.0,-110.66072866501753,0.0001,1.8787105e-05,241.28428649902344,0.2,587.7751960754395,-1.5612724665552378,168
1,11776,0,-433.0,45.0,1999,0.0004153251647949219,-0.0006627392358495854,0.0,-115.77701095920521,0.0001,2.3645349e-05,274.8573303222656,0.2,676.0968894958496,-1.5657493639737368,176
1,12288,0,-424.0,45.0,1754,0.00046008825302124023,-0.0008433848706772551,0.0,-120.15141293499153,0.0001,3.087381e-05,334.1356201171875,0.2,660.8272883892059,-1.5698785511776805,184
1,12800,0,-432.0,45.0,1691,-4.7326087951660156e-05,-0.0017423657554900274,0.0,-121.11061642883811,0.0001,8.602603e-05,152.43592834472656,0.2,377.61208844184875,-1.5661336472257972,192
1,13312,0,-436.0,45.0,2028,0.00014168024063110352,-0.004503626681980677,0.0,-121.24738748208154,0.0001,0.0009066105,142.2997589111328,0.2,280.9603443145752,-1.5632411716505885,200
1,13824,0,-476.0,45.0,2112,0.00047016143798828125,-0.0017813036174629815,0.0,-125.39280624304898,0.0001,0.0001847482,280.0744323730469,0.2,500.23747062683105,-1.5660870987921953,208
1,14336,0,-477.5,45.0,2407,0.00043326616287231445,-0.0012087246232113102,0.0,-125.27448261389509,0.0001,9.674649e-05,152.17010498046875,0.2,406.51516556739807,-1.5773794706910849,216
1,14848,0,-482.0,45.0,2270,-6.449222564697266e-05,-0.001957176864380017,0.0,-123.7432920726575,0.0001,0.00017174229,123.93338775634766,0.2,347.4280934333801,-1.578127732500434,224
1,15360,0,-484.5,45.0,1518,0.00015032291412353516,-0.0024574117596785072,0.0,-121.43476296954323,0.0001,0.00020446058,162.40406799316406,0.2,391.87392687797546,-1.577836205251515,232
1,15872,0,-485.5,45.0,2134,-0.00011861324310302734,-0.0023250454833032563,0.0,-120.57904169017915,0.0001,0.00024958618,245.746337890625,0.2,517.3634583950043,-1.576018608175218,240
1,16384,0,-477.0,45.0,2164,-8.535385131835938e-05,-0.0009733108126965817,0.0,-120.46772426255512,0.0001,6.357045e-05,238.7584686279297,0.2,522.4264185428619,-1.572851768694818,248
1,16896,0,-485.0,45.0,2076,-0.00012362003326416016,-0.0018977476320287678,0.0,-120.10619137443602,0.0001,0.00014386105,251.91464233398438,0.2,505.2801971435547,-1.5738920755684376,256
1,17408,0,-498.0,45.0,2353,-4.5180320739746094e-05,-0.0024259351193904877,0.0,-123.9058052555984,0.0001,0.0002857874,362.62518310546875,0.2,678.1938843727112,-1.5724441818892956,264
1,17920,0,-488.0,45.0,1954,2.0325183868408203e-05,-0.0010007149321609177,0.0,-127.65323746885639,0.0001,8.117943e-05,359.7625732421875,0.2,722.9001491069794,-1.5799284260720015,272
1,18432,0,-473.5,45.0,2318,-4.8160552978515625e-05,-0.002166697297070641,0.0,-129.38705806488636,0.0001,0.0003260083,253.75494384765625,0.2,644.1258010864258,-1.5559883201494813,280
1,18944,0,-478.0,45.0,2223,-0.00012063980102539062,-0.0016728650662116706,0.0,-131.5486666100053,0.0001,0.00015126739,293.36181640625,0.2,672.3126595020294,-1.5709113981574774,288
1,19456,0,-483.0,45.0,2333,-5.602836608886719e-06,-0.0007846873850212432,0.0,-134.1770578933088,0.0001,5.2223564e-05,335.9042663574219,0.2,700.6707110404968,-1.57282804697752,296
1,19968,0,-489.0,45.0,2377,-6.783008575439453e-05,-0.0021605424626613967,0.0,-136.1967539289035,0.0001,0.000264619,261.59326171875,0.2,545.4545366764069,-1.566849404014647,304
1,20480,0,-476.5,45.0,2086,-3.3020973205566406e-05,-0.0010590437159407884,0.0,-137.41062623515725,0.0001,0.00010397518,207.6584014892578,0.2,454.7169098854065,-1.570518464781344,312
1,20992,0,-491.0,45.0,2062,-4.7326087951660156e-05,-0.004229930495057488,0.0,-136.38528376692906,0.0001,0.0014204568,160.85337829589844,0.2,340.04253816604614,-1.5339826857671142,320
1,21504,0,-496.5,45.0,1664,-8.26120376586914e-05,-0.005486725822265726,0.0009765625,-136.10443573315627,0.0001,0.002657562,79.78491973876953,0.2,254.43766421079636,-1.5309341261163354,328
1,22016,0,-480.5,45.0,1998,-7.104873657226562e-05,-0.006521490257000551,0.015380859375,-131.36330190190114,0.0001,0.007753351,102.90299224853516,0.2,231.59074783325195,-1.5124370707198977,336
1,22528,0,-499.5,45.0,2371,-8.654594421386719e-05,-0.01466849449207075,0.14208984375,-123.82178634536453,0.0001,0.013780128,61.16590881347656,0.2,134.9974615573883,-1.33023386541754,344
1,23040,0,-497.5,45.0,2067,-5.841255187988281e-05,-0.016930816636886448,0.05078125,-117.92631133101881,0.0001,0.011724103,97.16157531738281,0.2,178.13004791736603,-1.3900614911690354,352
1,23552,0,-485.5,45.0,2305,-6.890296936035156e-05,-0.015559922110696789,0.175537109375,-109.9879301904887,0.0001,0.015367512,73.4764633178711,0.2,158.50315922498703,-1.1794815929606557,360
1,24064,0,-471.0,45.0,2112,-5.507469177246094e-05,-0.009301012134528719,0.12158203125,-103.6506412563473,0.0001,0.024376003,93.73487091064453,0.2,121.69449704885483,-1.240617754869163,368
1,24576,0,-460.5,45.0,2193,-2.9206275939941406e-05,-0.007409080928482581,0.0546875,-98.23808644213713,0.0001,0.012916008,27.656105041503906,0.2,53.42951665818691,-1.0562533787451684,376
1,25088,0,-448.5,45.0,1986,2.2470951080322266e-05,-0.018234968090837356,0.18408203125,-92.32270503555425,0.0001,0.016249783,9.986141204833984,0.2,29.582468025386333,-0.9842249914072454,384
1,25600,0,-442.0,45.0,2150,1.6987323760986328e-05,-0.014056801155675203,0.1474609375,-88.76368932326324,0.0001,0.02085692,13.069679260253906,0.2,19.582816153764725,-0.8056998900137842,392
1,26112,0,-424.0,45.0,2159,9.655952453613281e-06,-0.008229425155150238,0.040283203125,-83.23931938544847,0.0001,0.005747968,11.98847770690918,0.2,28.387310810387135,-0.7837167726829648,400
1,26624,0,-429.0,45.0,2082,8.14199447631836e-05,-0.014502198551781476,0.08203125,-80.29300628657452,0.0001,0.007063125,4.57527494430542,0.2,16.650750499218702,-0.8032370782457292,408
1,27136,0,-397.0,45.0,2256,7.051229476928711e-05,-0.004588584590237588,0.04052734375,-77.09588504746556,0.0001,0.0075529832,10.251144409179688,0.2,25.138146795332432,-0.758607171010226,416
1,27648,0,-382.0,45.0,2260,0.0001004338264465332,-0.005668345741014491,0.028564453125,-73.8367704792507,0.0001,0.00395834,15.076913833618164,0.2,37.74740286171436,-0.6571457432582974,424
1,28160,0,-397.5,45.0,2430,0.00012004375457763672,-0.005110363577841781,0.002685546875,-71.4336672318168,0.0001,0.0014252851,14.666875839233398,0.2,41.18064869940281,-0.6670013414695859,432
1,28672,0,-419.0,45.0,2299,5.835294723510742e-05,-0.007046673832519446,0.019775390625,-67.1308566680923,0.0001,0.003134464,20.190486907958984,0.2,62.96077635884285,-0.7061421656981111,440
1,29184,0,-401.0,45.0,2079,4.076957702636719e-05,-0.0017395856739312876,0.0,-60.860162843121216,0.0001,0.0017520573,18.29339027404785,0.2,63.14857757091522,-0.7455688542686403,448
1,29696,0,-381.5,45.0,2268,3.2186508178710938e-06,-0.0013081473953207023,0.0,-54.763960399506615,0.0001,0.00039536983,19.2902889251709,0.2,62.02952443063259,-0.7172403512522578,456
1,30208,0,-375.0,45.0,2264,8.285045623779297e-06,-0.001489940877945628,0.0,-49.50120703811757,0.0001,0.0014503371,27.59152603149414,0.2,57.70286716520786,-0.7274057324975729,464
1,30720,0,-359.5,45.0,2369,7.367134094238281e-05,-0.0062814161501592025,0.01806640625,-45.521870558494705,0.0001,0.006585176,16.989702224731445,0.2,40.23156103491783,-0.7521512727253139,472
1,31232,0,-337.0,45.0,2677,0.00016647577285766602,-0.008152752532623708,0.046142578125,-42.883400333602914,0.0001,0.009112175,7.1185526847839355,0.2,22.53341780602932,-0.8068598369136453,480
1,31744,0,-374.5,45.0,2791,4.649162292480469e-06,-0.00832454145711381,0.051513671875,-40.45286833809223,0.0001,0.011824547,2.510108232498169,0.2,14.772773250937462,-0.8191840359941125,488
1,32256,0,-349.0,45.0,2472,0.0005589723587036133,-0.016425585527031217,0.07861328125,-38.783075938387775,0.0001,0.011722811,1.5378073453903198,0.2,8.235630135983229,-0.8020038288086653,496
1,32768,0,-338.5,45.0,2525,-0.0008604526519775391,-0.009730287125421455,0.135498046875,-38.652316919802686,0.0001,0.0050918115,4.59100866317749,0.2,8.316546926274896,-0.7669680737890303,504
1,33280,0,-331.0,45.0,2469,0.2786850929260254,-0.03298655358230462,0.414794921875,-40.5209984733467,0.0001,0.029055277,1.8564494848251343,0.2,2.23227349226363,-0.7050750856287777,512
1,33792,0,-340.5,45.0,2674,0.23630547523498535,-0.01589595282348455,0.052001953125,-42.248654625632334,0.0001,0.009586243,4.0948357582092285,0.2,10.366745857521892,-0.6818131022155285,520
1,34304,0,-347.5,45.0,2622,0.4518301486968994,-0.010254701737721916,0.103759765625,-45.39288488979684,0.0001,0.012131348,0.7096039652824402,0.2,6.584787053056061,-0.5953781409189105,528
1,34816,0,-359.0,45.0,2661,0.1338043212890625,-0.008776651673542801,0.025146484375,-48.80414937965805,0.0001,0.0023425291,1.615691900253296,0.2,13.699327951297164,-0.556341590359807,536
1,35328,0,-370.0,45.0,2631,0.4095277190208435,-0.007270213740412146,0.004150390625,-52.21342545786872,0.0001,0.0038666076,5.760296821594238,0.2,25.377540223300457,-0.5305290166288614,544
1,35840,0,-369.0,45.0,2604,0.36042559146881104,-0.005226848894380964,0.008544921875,-56.015215360545554,0.0001,0.0023324187,10.421979904174805,0.2,46.93785001337528,-0.5110627089161426,552
1,36352,0,-352.0,45.0,2573,0.44160228967666626,-0.007149061370000709,0.015625,-60.10405444274773,0.0001,0.0028251424,35.648441314697266,0.2,89.54461467266083,-0.5393890722189099,560
1,36864,0,-360.5,45.0,2449,0.2176840901374817,-0.004478683356865076,0.003662109375,-63.82009482553345,0.0001,0.0017221418,29.715375900268555,0.2,75.07902774214745,-0.5513673755340278,568
1,37376,0,-367.5,45.0,2559,0.4782106280326843,-0.0014732602721778676,0.0,-67.04068861415726,0.0001,0.0005713294,23.894489288330078,0.2,81.28303381800652,-0.5647697616368532,576
1,37888,0,-360.0,45.0,2377,0.44060975313186646,-0.00519368308596313,0.00634765625,-70.31634451378486,0.0001,0.0020889277,32.2120246887207,0.2,88.16223418712616,-0.5488818357698619,584
1,38400,0,-332.0,45.0,2306,0.4956898093223572,-0.008021796158573125,0.019775390625,-72.40068534409977,0.0001,0.0031662097,35.885467529296875,0.2,92.91444164514542,-0.5622670189477503,592
1,38912,0,-338.0,45.0,2507,0.5209461152553558,-0.0026259653677698225,0.00048828125,-73.16402618045802,0.0001,0.000799897,26.600418090820312,0.2,109.89081239700317,-0.5771745787933469,600
1,39424,0,-334.5,45.0,2223,0.6236761808395386,-0.006098049823776819,0.0078125,-74.32406872524996,0.0001,0.004165698,31.687244415283203,0.2,93.549226552248,-0.586108532268554,608
1,39936,0,-322.5,45.0,2482,0.45432692766189575,-0.00811100209466531,0.027587890625,-74.24535024466343,0.0001,0.0062041436,18.71608543395996,0.2,76.69126737117767,-0.5972502734512091,616
1,40448,0,-342.0,45.0,2246,0.6924928724765778,-0.007820289843948558,0.015625,-73.40875442164368,0.0001,0.0061574713,6.164281368255615,0.2,33.95609896630049,-0.6299490290693939,624
1,40960,0,-335.0,45.0,1591,0.2167191505432129,-0.0095653975768073,0.090087890625,-72.78601949096425,0.0001,0.008900336,20.010807037353516,0.2,32.89323674142361,-0.5959516349248588,632
