raw/gen/time/fps,raw/gen/time/total_timesteps,raw/gen/time/iterations,raw/gen/time/time_elapsed,raw/gen/rollout/ep_len_mean,raw/gen/rollout/ep_rew_mean,raw/gen/train/loss,raw/gen/train/explained_variance,raw/gen/train/n_updates,raw/gen/train/value_loss,raw/gen/train/entropy_loss,raw/gen/train/learning_rate,raw/gen/train/clip_range,raw/gen/train/policy_gradient_loss,raw/gen/train/clip_fraction,raw/gen/train/approx_kl,raw/gen/rollout/ep_rew_wrapped_mean
1811,512,1,0,45.0,-418.18182373046875,,,,,,,,,,,
2321,1024,1,0,45.0,-450.0,-0.05263920873403549,-0.07944846153259277,8,0.04807573899597628,-1.6070509999990463,0.0001,0.2,-0.012023624789435416,0.020751953125,0.0062091183,2.2843398202887992
2194,1536,1,0,45.0,-402.941162109375,-0.04373431205749512,-0.2540320158004761,16,0.019664739997097058,-1.6014298247173429,0.0001,0.2,-0.01298841844254639,0.0146484375,0.0079438435,1.9678204208612442
2564,2048,1,0,45.0,-422.22222900390625,-0.07515672594308853,-2.1004199981689453,24,0.00915060640181764,-1.5803535878658295,0.0001,0.2,-0.02804136987106176,0.11572265625,0.013467504,1.5650299011236604
2197,2560,1,0,45.0,-461.6071472167969,-0.06606461107730865,-1.2638843059539795,32,0.0029424025783555408,-1.5668020322918892,0.0001,0.2,-0.024335024208994582,0.066650390625,0.009925327,1.2650696148475011
2369,3072,1,0,45.0,-433.0882263183594,-0.06929492205381393,0.23488032817840576,40,0.006326021691165806,-1.5510882074013352,0.0001,0.2,-0.027058729036070872,0.10888671875,0.011080643,0.9535022609135402
2891,3584,1,0,45.0,-472.7848205566406,-0.049415040761232376,0.543394535779953,48,0.021703909904317698,-1.514464283362031,0.0001,0.2,-0.025600604916689917,0.10791015625,0.012740888,0.6160088649074382
2912,4096,1,0,45.0,-470.8791198730469,-0.035142235457897186,0.589203804731369,56,0.020841923040279653,-1.4321496104821563,0.0001,0.2,-0.02083459109417163,0.1328125,0.013233706,0.33735925390656235
1792,4608,1,0,45.0,-485.5,0.0010912567377090454,0.5637216567993164,64,0.0389431001531193,-1.3955647991970181,0.0001,0.2,-0.01052983445697464,0.0693359375,0.009970372,0.021857858338690066
2986,5120,1,0,45.0,-515.5,-0.01851879432797432,0.6019847393035889,72,0.06403395447705407,-1.3115330561995506,0.0001,0.2,-0.02509515928250039,0.184326171875,0.0113767,-0.35172213284298776
2979,5632,1,0,45.0,-524.5,0.001913607120513916,0.5082847774028778,80,0.0777014607010642,-1.2693772036582232,0.0001,0.2,-0.006794747205276508,0.025146484375,0.0038591449,-0.9670032804459333
2789,6144,1,0,45.0,-518.0,-0.03441162034869194,0.2741047739982605,88,0.11706015348318033,-1.234726620838046,0.0001,0.2,-0.016768350265920162,0.137939453125,0.014445691,-1.6082443024031818
2844,6656,1,0,45.0,-491.0,0.029157740995287895,0.3993033766746521,96,0.1306911009014584,-1.2211933052167296,0.0001,0.2,-0.007666134981263895,0.034912109375,0.008046327,-2.2350041325204075
2748,7168,1,0,45.0,-508.0,-0.019667595624923706,0.42820245027542114,104,0.14778482675319538,-1.1720170062035322,0.0001,0.2,-0.018332924977585208,0.116455078125,0.008850347,-2.8669601386785506
2900,7680,1,0,45.0,-509.0,0.00903567299246788,0.48391664028167725,112,0.18269571362179704,-1.1594943860545754,0.0001,0.2,-0.008475404152704868,0.03759765625,0.0077985,-3.557575080431998
2654,8192,1,0,45.0,-503.0,0.08915536850690842,0.38734084367752075,120,0.23771287087583914,-1.1812509279698133,0.0001,0.2,-0.01296152109716786,0.086181640625,0.00773783,-4.217330245114863
2811,8704,1,0,45.0,-508.5,0.058011069893836975,0.5486674904823303,128,0.2410954260849394,-1.1526705557480454,0.0001,0.2,-0.01073221272235969,0.078125,0.012492263,-4.9767402839288115
3205,9216,1,0,45.0,-521.5,0.12265105545520782,0.4552905559539795,136,0.3870173756731674,-1.0757394218817353,0.0001,0.2,-0.017503859184216708,0.083984375,0.01008832,-5.762260212861001
3015,9728,1,0,45.0,-514.0,0.08610985428094864,0.2770099639892578,144,0.40124127408489585,-1.1082377033308148,0.0001,0.2,-0.003970167215811671,0.0263671875,0.0040589417,-6.498260918818414
3129,10240,1,0,45.0,-516.0,0.15309789776802063,0.29247570037841797,152,0.45053492730949074,-1.1094599850475788,0.0001,0.2,-0.004682314400270116,0.01318359375,0.0035262813,-7.374874400869012
2917,10752,1,0,45.0,-523.0,0.17467625439167023,0.2043488621711731,160,0.5456598663004115,-1.1064977077767253,0.0001,0.2,-0.010582233764580451,0.093505859375,0.010720795,-8.233088885396718
2933,11264,1,0,45.0,-536.5,0.09838304668664932,0.3989608883857727,168,0.6068751530256122,-0.9805068555288017,0.0001,0.2,-0.011768114920414519,0.111328125,0.010623516,-9.105338285341858
2874,11776,1,0,45.0,-526.0,0.1769900918006897,0.22475910186767578,176,0.7660846600774676,-0.9042187030427158,0.0001,0.2,-0.005970567995973397,0.032470703125,0.005103875,-10.097107230052352
2988,12288,1,0,45.0,-537.5,0.20888593792915344,0.20625394582748413,184,0.8527646500151604,-0.8351767589338124,0.0001,0.2,-0.004545807423710357,0.024169921875,0.0063740294,-11.056823970228434
2850,12800,1,0,45.0,-525.0,0.22889329493045807,0.1310286521911621,192,1.3277841405943036,-0.821215636562556,0.0001,0.2,-0.0031755994059494697,0.018310546875,0.003502714,-12.164806480184197
3142,13312,1,0,45.0,-518.0,0.2567821443080902,0.053827524185180664,200,1.4386793763842434,-0.804354409687221,0.0001,0.2,-0.004564423652482219,0.0322265625,0.0033954917,-13.20213549658656
2949,13824,1,0,45.0,-515.0,0.358198881149292,0.07657384872436523,208,2.062843788648024,-0.7675763815641403,0.0001,0.2,-0.0010615900973789394,0.013427734375,0.0028795388,-14.311234581619502
2839,14336,1,0,45.0,-514.0,0.4060288667678833,0.04855823516845703,216,2.6012714114040136,-0.817482310347259,0.0001,0.2,-0.0013683068245882168,0.0068359375,0.003258356,-15.620583351179958
2927,14848,1,0,45.0,-510.0,0.603509783744812,0.026963651180267334,224,3.0819532116875052,-0.8650238169357181,0.0001,0.2,-0.0019236022744735237,0.007568359375,0.0019806246,-16.871929213255644
2691,15360,1,0,45.0,-512.0,0.572374165058136,0.005880892276763916,232,3.7235571164637804,-0.8505160300992429,0.0001,0.2,-0.002458575436321553,0.01025390625,0.0035535337,-18.21997107103467
2924,15872,1,0,45.0,-502.0,0.9140625596046448,-0.009958028793334961,240,4.254814359359443,-0.9156858515925705,0.0001,0.2,-0.003037547125131823,0.00927734375,0.003414064,-19.60183263771236
1901,16384,1,0,45.0,-509.5,0.6733413934707642,0.001041412353515625,248,5.7767381481826305,-0.9145477381534874,0.0001,0.2,-0.001343531439488288,0.0,0.0014711131,-21.104840173348784
2516,16896,1,0,45.0,-499.0,0.9530045986175537,0.0032872557640075684,256,7.8720081225037575,-0.9295604727230966,0.0001,0.2,-0.0006218941634870134,0.0009765625,0.0008948123,-23.030892842411994
2827,17408,1,0,45.0,-496.0,1.570456624031067,-0.005040168762207031,264,7.3228361662477255,-1.0107861733995378,0.0001,0.2,-0.004186621954431757,0.00634765625,0.003321773,-24.59508542597294
2055,17920,1,0,45.0,-508.0,2.9834952354431152,-0.003248929977416992,272,10.227783726528287,-1.0404381640255451,0.0001,0.2,-0.0014278693706728518,0.0,0.00066943304,-26.42407752898522
2909,18432,1,0,45.0,-512.5,2.5561938285827637,-0.0007597208023071289,280,13.474399626255035,-1.0286934589967132,0.0001,0.2,-0.0011701639305101708,0.0,0.00042548392,-28.62718118329998
2672,18944,1,0,45.0,-499.5,3.3893895149230957,0.00022351741790771484,288,15.312143366783857,-1.0709970584139228,0.0001,0.2,-0.002056081259070197,0.0,0.0005280074,-30.74923418188002
2732,19456,1,0,45.0,-491.5,4.576180458068848,-0.0009139776229858398,296,18.90586655586958,-1.0935797719284892,0.0001,0.2,-0.003984923205280211,0.00048828125,0.00063787645,-32.92100649862783
2564,19968,1,0,45.0,-493.0,6.164572715759277,-0.0011823177337646484,304,23.71859910339117,-1.0609665531665087,0.0001,0.2,-0.0025459201133344322,0.0,0.0005377731,-35.46987365348032
2478,20480,1,0,45.0,-452.5,13.258562088012695,-0.0009505748748779297,312,32.13450177758932,-1.0743801081553102,0.0001,0.2,-0.004207895246508997,0.000732421875,0.0014310733,-37.80726682362845
2506,20992,1,0,45.0,-444.0,8.62602710723877,-0.0008178949356079102,320,31.453397303819656,-1.1190675431862473,0.0001,0.2,-0.0024792573476588586,0.0,0.0006184828,-40.198877606734165
2536,21504,1,0,45.0,-450.0,10.287389755249023,-0.00034880638122558594,328,41.48635822534561,-1.13444987218827,0.0001,0.2,-0.001183605992991943,0.0,0.000256571,-42.88911831867648
2311,22016,1,0,45.0,-445.5,13.809280395507812,-0.00032150745391845703,336,51.84131017327309,-1.1224187184125185,0.0001,0.2,-0.0016928850709518883,0.0,0.00031022506,-45.80843735335162
2418,22528,1,0,45.0,-417.5,29.82099151611328,-0.00015425682067871094,344,69.09911960363388,-1.101252257823944,0.0001,0.2,-0.0009206970062223263,0.0,0.000118609634,-49.58564183216309
2380,23040,1,0,45.0,-395.0,29.88899040222168,-0.0003170967102050781,352,81.18267276883125,-1.1189837325364351,0.0001,0.2,-0.0024991923273773864,0.0,0.00048458262,-52.41694263836602
2584,23552,1,0,45.0,-376.0,36.066123962402344,-0.0002955198287963867,360,82.8172367811203,-1.1631131209433079,0.0001,0.2,-0.00422415736829862,0.0,0.0013902899,-55.91327459994005
2621,24064,1,0,45.0,-380.5,53.40382766723633,-0.0002467632293701172,368,112.06087672710419,-1.172088760882616,0.0001,0.2,-0.003530810361553449,0.0,0.0007049673,-59.36414737745654
2725,24576,1,0,45.0,-397.5,49.69472885131836,-7.724761962890625e-05,376,126.7732002735138,-1.1638267589733005,0.0001,0.2,-0.0014268954691942781,0.0,0.0001478506,-63.19962361877784
2511,25088,1,0,45.0,-415.5,68.74920654296875,6.884336471557617e-05,384,168.43608838319778,-1.1660032887011766,0.0001,0.2,-0.0012682341402978636,0.0,0.00017474405,-68.34254115576856
2466,25600,1,0,45.0,-405.5,65.23632049560547,-0.00010371208190917969,392,154.13501125574112,-1.1848367024213076,0.0001,0.2,-0.0010730518260970712,0.0,0.000116647105,-72.41141490464099
2649,26112,1,0,45.0,-408.0,68.26486206054688,-3.039836883544922e-05,400,167.16195660829544,-1.2070001531392336,0.0001,0.2,-0.0013230980839580297,0.0,0.00011611264,-77.01085518145003
2663,26624,1,0,45.0,-400.5,117.51173400878906,4.351139068603516e-06,408,233.2720605134964,-1.178147315979004,0.0001,0.2,-0.0007475934544345364,0.0,0.00011425442,-81.44144884566776
2625,27136,1,0,45.0,-431.5,117.52610778808594,-7.331371307373047e-05,416,219.3632590174675,-1.1809655260294676,0.0001,0.2,-0.0017780709749786183,0.0,0.0002726314,-84.99492322747595
2656,27648,1,0,45.0,-449.0,98.40352630615234,-8.094310760498047e-05,424,235.94899451732635,-1.1761983903124928,0.0001,0.2,-0.001159578390797833,0.0,0.00021749933,-89.32772927977145
2610,28160,1,0,45.0,-461.5,112.17152404785156,-7.104873657226562e-05,432,270.86701464653015,-1.2007752386853099,0.0001,0.2,-0.0010490626082173549,0.0,0.00024654833,-93.63823538393713
2555,28672,1,0,45.0,-460.0,138.6028594970703,-2.8014183044433594e-05,440,269.64917027950287,-1.2216125912964344,0.0001,0.2,-0.002088612505758647,0.0,0.00043861696,-97.09839177196845
2630,29184,1,0,45.0,-455.5,120.6624755859375,-4.291534423828125e-05,448,278.52145659923553,-1.2235211879014969,0.0001,0.2,-0.002136744762538001,0.0,0.0005561941,-100.43771730979904
2035,29696,1,0,45.0,-437.5,109.94402313232422,-3.7670135498046875e-05,456,294.65192806720734,-1.2322359448298812,0.0001,0.2,-0.0022632375694229268,0.0,0.0005370871,-102.91892551450991
2660,30208,1,0,45.0,-447.5,76.50382995605469,-8.0108642578125e-05,464,164.33847451210022,-1.2669505393132567,0.0001,0.2,-0.008916881968616508,0.019775390625,0.0055199373,-102.59215134536848
2529,30720,1,0,45.0,-437.0,174.9620819091797,2.3066997528076172e-05,472,348.9677537679672,-1.2223294246941805,0.0001,0.2,-0.001680854315054603,0.0,0.00028010516,-106.37331369293854
2341,31232,1,0,45.0,-433.5,148.89732360839844,-4.410743713378906e-05,480,304.00705885887146,-1.2028729263693094,0.0001,0.2,-0.002720375341596082,0.0,0.0006686308,-108.1401037089713
2167,31744,1,0,45.0,-414.0,125.4767074584961,-6.270408630371094e-05,488,272.8815014362335,-1.210661580786109,0.0001,0.2,-0.0077253676354303025,0.0107421875,0.0027969703,-108.60934965159744
2168,32256,1,0,45.0,-400.0,164.0403594970703,-5.078315734863281e-05,496,319.72209072113037,-1.1932755671441555,0.0001,0.2,-0.006471916152804624,0.002685546875,0.0026083481,-110.24309818482027
2530,32768,1,0,45.0,-404.0,100.08760833740234,-4.220008850097656e-05,504,224.97410607337952,-1.2396084386855364,0.0001,0.2,-0.00485383457998978,0.0,0.0007024186,-110.556828708034
2320,33280,1,0,45.0,-412.5,134.4337921142578,-1.6689300537109375e-05,512,338.9668961763382,-1.2128789396956563,0.0001,0.2,-0.004862672882154584,0.00048828125,0.0021176483,-112.47563410498202
2633,33792,1,0,45.0,-398.5,136.9654083251953,-2.1219253540039062e-05,520,280.13270831108093,-1.2268374664708972,0.0001,0.2,-0.0015053310853545554,0.0,0.0006464273,-114.10119386620819
2390,34304,1,0,45.0,-409.0,168.76927185058594,2.8014183044433594e-06,528,325.72806441783905,-1.2284171087667346,0.0001,0.2,-0.002992746976815397,0.0,0.00080793235,-115.55894667534157
2439,34816,1,0,45.0,-398.0,121.55472564697266,-3.993511199951172e-05,536,258.2636624574661,-1.225421098060906,0.0001,0.2,-0.0034110151027562097,0.0,0.0010416781,-119.91200676985085
2228,35328,1,0,45.0,-380.5,117.10449981689453,-3.707408905029297e-05,544,251.7342278957367,-1.2436928795650601,0.0001,0.2,-0.008677249068568926,0.00537109375,0.0039497227,-118.86852140588685
2412,35840,1,0,45.0,-384.5,116.71208190917969,-4.029273986816406e-05,552,222.50363266468048,-1.22173538710922,0.0001,0.2,-0.005955914348305669,0.000732421875,0.0045763194,-118.70161314126103
1989,36352,1,0,45.0,-348.0,96.11886596679688,-3.743171691894531e-05,560,229.42021083831787,-1.2209544805809855,0.0001,0.2,-0.0084206270694267,0.0205078125,0.0060954597,-120.49798496430739
2087,36864,1,0,45.0,-307.0,87.95475769042969,-3.3974647521972656e-05,568,175.3776175379753,-1.1738236472010612,0.0001,0.2,-0.008421584367169999,0.030517578125,0.0058114217,-117.94896750006825
1881,37376,1,0,45.0,-279.5,72.36566162109375,-3.1948089599609375e-05,576,165.681147813797,-1.0974993063136935,0.0001,0.2,-0.012235956812219229,0.046875,0.01483636,-116.30029248487205
1866,37888,1,0,45.0,-282.5,112.99081420898438,-2.4199485778808594e-05,584,242.7731512784958,-1.044313333928585,0.0001,0.2,-0.01675888241516077,0.195068359375,0.016194452,-113.72857022941112
1632,38400,1,0,45.0,-218.5,80.5157241821289,-1.7523765563964844e-05,592,132.70498955249786,-1.0221801782026887,0.0001,0.2,-0.0013317017946974374,0.22314453125,0.020205207,-109.39702099388465
