raw/gen/time/total_timesteps,raw/gen/rollout/ep_len_mean,raw/gen/time/fps,raw/gen/rollout/ep_rew_mean,raw/gen/time/iterations,raw/gen/time/time_elapsed,raw/gen/rollout/ep_rew_wrapped_mean,raw/gen/train/learning_rate,raw/gen/train/explained_variance,raw/gen/train/approx_kl,raw/gen/train/clip_range,raw/gen/train/clip_fraction,raw/gen/train/loss,raw/gen/train/entropy_loss,raw/gen/train/n_updates,raw/gen/train/value_loss,raw/gen/train/policy_gradient_loss
5632,45.0,2924,-521.0,1,0,0.7339205983653665,0.0001,0.6246460974216461,0.01891928,0.2,0.29931640625,0.002050246112048626,-1.1310983058065176,80,0.005909511854952143,-0.028124632386607118
6144,45.0,2794,-514.5,1,0,0.46032645979896186,0.0001,0.6296281516551971,0.00916528,0.2,0.130859375,-0.0037190979346632957,-1.1183321736752987,88,0.007580805855468498,-0.024534975775168277
6656,45.0,2742,-522.5,1,0,0.1828794415295124,0.0001,0.7404086589813232,0.009070145,0.2,0.069091796875,-0.036795567721128464,-1.1071523036807775,96,0.012422270177921746,-0.013947313302196562
7168,45.0,2634,-516.5,1,0,-0.10193335011601448,0.0001,0.6451300978660583,0.0071723307,0.2,0.052978515625,-0.047779642045497894,-1.0304597322829068,104,0.01884473047539359,-0.016645581141347066
7680,45.0,2951,-516.5,1,0,-0.4033221374638379,0.0001,0.6943713426589966,0.0103723705,0.2,0.121337890625,-0.026030145585536957,-0.9324642666615546,112,0.025784435245441273,-0.021646809786034282
8192,45.0,2826,-492.0,1,0,-0.6555383094400168,0.0001,0.5850212275981903,0.0068991478,0.2,0.06982421875,-0.04053310304880142,-0.8036587885580957,120,0.025065000547328964,-0.013360000877582934
8704,45.0,3095,-496.5,1,0,-0.963248434998095,0.0001,0.6277101635932922,0.009320471,0.2,0.10400390625,-0.03857932984828949,-0.7190577988512814,128,0.0348714041247149,-0.018132398385205306
9216,45.0,3219,-504.5,1,0,-1.2409137771651149,0.0001,0.527667909860611,0.004110183,0.2,0.0205078125,-0.029196418821811676,-0.6294478327035904,136,0.03421210877422709,-0.006075330500607379
9728,45.0,3125,-508.5,1,0,-1.49861707855016,0.0001,0.3900398015975952,0.0042086015,0.2,0.04541015625,0.009587307460606098,-0.54912577313371,144,0.038997559480776545,-0.007951532072183909
10240,45.0,3063,-512.0,1,0,-1.7998585934937,0.0001,0.3136640787124634,0.0038773674,0.2,0.0234375,-0.0313110426068306,-0.5456250412389636,152,0.04432259163877461,-0.005723766276787501
10752,45.0,2712,-518.5,1,0,-2.094432865716517,0.0001,0.25669950246810913,0.0035488284,0.2,0.038330078125,-0.0006468668580055237,-0.5584283790085465,160,0.0517059040867025,-0.013354568531212863
11264,45.0,2701,-507.0,1,0,-2.384241506867111,0.0001,0.5429559051990509,0.016725892,0.2,0.072021484375,-0.015612931922078133,-0.568929664324969,168,0.05280551078612916,-0.017914692747581284
11776,45.0,2704,-506.0,1,0,-2.711791579686105,0.0001,0.5948870480060577,0.0057080826,0.2,0.061279296875,0.005592305213212967,-0.49657384934835136,176,0.0592021560005378,-0.01853515895709279
12288,45.0,2021,-511.5,1,0,-3.0140329180657863,0.0001,0.5481022596359253,0.004841266,0.2,0.05517578125,-0.007847905158996582,-0.48013873235322535,184,0.07295669207815081,-0.017727182945236564
12800,45.0,2960,-523.5,1,0,-3.3446892529726027,0.0001,0.4021143913269043,0.0040166606,0.2,0.04052734375,0.013642644509673119,-0.44369846396148205,192,0.07171687412483152,-0.010794018431624863
