mean/gen/time/total_timesteps,mean/disc/disc_acc,mean/gen/train/clip_fraction,mean/disc/disc_acc_gen,mean/gen/train/loss,mean/gen/train/n_updates,mean/gen/train/policy_gradient_loss,mean/disc/disc_entropy,mean/gen/train/learning_rate,mean/disc/disc_proportion_expert_pred,mean/disc/disc_acc_expert,mean/disc/n_generated,mean/gen/train/approx_kl,mean/disc/global_step,mean/gen/rollout/ep_len_mean,mean/gen/time/fps,mean/gen/time/time_elapsed,mean/gen/time/iterations,mean/disc/disc_loss,mean/disc/n_expert,mean/gen/train/value_loss,mean/disc/disc_proportion_expert_true,mean/gen/rollout/ep_rew_mean,mean/gen/train/clip_range,mean/gen/train/explained_variance,mean/gen/train/entropy_loss,mean/gen/rollout/ep_rew_wrapped_mean
512.0,0.5,0.019775390625,0.0,-0.02938944846391678,8.0,-0.015858577462495305,0.4297601878643036,0.0001,1.0,1.0,256.0,0.0066180769354105,1.0,45.0,1992.0,0.0,1.0,0.998643159866333,256.0,0.04097889017430134,0.5,-495.4545593261719,0.2,0.12067681550979614,-1.6071301633492112,
1024.0,0.5,0.047119140625,0.0,0.035114139318466187,16.0,-0.01803761399787618,0.4641605317592621,0.0001,1.0,1.0,256.0,0.013585040345788002,2.0,45.0,2115.0,0.0,1.0,0.9360092282295227,256.0,0.5593773740110919,0.5,-534.0908813476562,0.2,-0.34173405170440674,-1.5981341106817126,2.1918891448188913
1536.0,0.5,0.00244140625,0.0,0.41506901383399963,24.0,-0.00640064429899212,0.5222105383872986,0.0001,1.0,1.0,256.0,0.004980200901627541,3.0,45.0,1931.0,0.0,1.0,0.8783622980117798,256.0,3.3415452376939356,0.5,-398.5294189453125,0.2,0.21505743265151978,-1.5830882517620921,-2.0853987562216143
2048.0,0.494140625,0.0,0.0,2.0749120712280273,32.0,-0.002958001146907918,0.5669031739234924,0.0001,0.994140625,0.98828125,256.0,0.0016988047864288092,4.0,45.0,2095.0,0.0,1.0,0.8154807090759277,256.0,11.014385428279638,0.5,-405.5555419921875,0.2,0.3644270896911621,-1.5764983333647251,-6.932484118980081
2560.0,0.515625,0.0,0.078125,7.621281147003174,40.0,-0.0011946755039389245,0.6188313961029053,0.0001,0.9375,0.953125,256.0,0.00021554285194724798,5.0,45.0,1909.0,0.0,1.0,0.7106670141220093,256.0,32.621583573520184,0.5,-441.96429443359375,0.2,0.49795275926589966,-1.5641229273751378,-12.167621155372924
3072.0,0.5078125,0.0,0.1640625,28.344430923461914,48.0,-0.0005810411530546844,0.6582616567611694,0.0001,0.84375,0.8515625,256.0,2.470589242875576e-05,6.0,45.0,1877.0,0.0,1.0,0.6806302070617676,256.0,88.95635153353214,0.5,-415.441162109375,0.2,0.3742099404335022,-1.5630094865337014,-18.060426951352774
3584.0,0.703125,0.0,0.71875,85.86334991455078,56.0,-0.000495811014843639,0.6710448861122131,0.0001,0.484375,0.6875,256.0,1.0768882930278778e-05,7.0,45.0,1374.0,0.0,1.0,0.6395374536514282,256.0,240.04943120479584,0.5,-423.417724609375,0.2,0.1103900671005249,-1.5671336883679032,-24.900532412917954
4096.0,0.755859375,0.0,0.90234375,140.86639404296875,64.0,-0.00023542017152067274,0.6587052345275879,0.0001,0.353515625,0.609375,256.0,7.274327799677849e-06,8.0,45.0,1952.0,0.0,1.0,0.6118240356445312,256.0,387.8466204404831,0.5,-404.945068359375,0.2,0.04904729127883911,-1.5638357186689973,-32.44317933565737
4608.0,0.626953125,0.0,0.97265625,256.996826171875,72.0,-0.00010981896775774658,0.6283393502235413,0.0001,0.154296875,0.28125,256.0,1.8951250240206718e-06,9.0,45.0,2130.0,0.0,1.0,0.590605616569519,256.0,488.6319205760956,0.5,-430.0,0.2,0.021016061305999756,-1.5683678006753325,-40.739016679514734
5120.0,0.671875,0.0,0.93359375,215.2699737548828,80.0,-0.0002869034797186032,0.6172418594360352,0.0001,0.23828125,0.41015625,256.0,5.258130840957165e-06,10.0,45.0,1956.0,0.0,1.0,0.5448704957962036,256.0,474.8368389606476,0.5,-435.5,0.2,0.009817421436309814,-1.5617421651259065,-48.79575292538851
