mean/gen/train/n_updates,mean/disc/disc_proportion_expert_true,mean/disc/disc_acc_expert,mean/gen/train/policy_gradient_loss,mean/gen/train/approx_kl,mean/gen/train/value_loss,mean/gen/time/total_timesteps,mean/gen/train/learning_rate,mean/disc/disc_acc,mean/gen/train/explained_variance,mean/gen/train/clip_fraction,mean/disc/disc_acc_gen,mean/gen/time/iterations,mean/disc/disc_proportion_expert_pred,mean/disc/n_generated,mean/disc/global_step,mean/gen/train/loss,mean/gen/train/clip_range,mean/disc/disc_loss,mean/gen/time/time_elapsed,mean/gen/train/entropy_loss,mean/gen/rollout/ep_rew_mean,mean/gen/time/fps,mean/gen/rollout/ep_len_mean,mean/disc/n_expert,mean/disc/disc_entropy,mean/gen/rollout/ep_rew_wrapped_mean
88.0,0.5,1.0,-0.006703070263029076,0.006748737767338753,1.238958789035678,5632.0,0.0001,0.5078125,0.5056931972503662,0.022705078125,0.015625,1.0,0.9921875,256.0,11.0,0.3882097601890564,0.2,0.902942419052124,0.0,-1.4674861123785377,-485.5,2570.0,45.0,256.0,0.5583601593971252,-6.768737147189677
96.0,0.5,0.99609375,-0.011876454373123124,0.014074922539293766,1.5923830994870514,6144.0,0.0001,0.509765625,0.5811746716499329,0.123291015625,0.0234375,1.0,0.986328125,256.0,12.0,0.26865923404693604,0.2,0.8951715230941772,0.0,-1.4259969228878617,-492.5,2651.0,45.0,256.0,0.5691512823104858,-8.31647917661816
104.0,0.5,0.97265625,-0.010427511495436192,0.00919483881443739,2.7020853562280536,6656.0,0.0001,0.4921875,0.6677272021770477,0.0478515625,0.01171875,1.0,0.98046875,256.0,13.0,0.41446205973625183,0.2,0.8455939888954163,0.0,-1.4177603032439947,-518.0,2450.0,45.0,256.0,0.5857532024383545,-9.908860873878002
112.0,0.5,0.9453125,-0.007534116077295039,0.004178213886916637,3.6044577546417713,7168.0,0.0001,0.4921875,0.6833465099334717,0.02685546875,0.0390625,1.0,0.953125,256.0,14.0,0.8326489329338074,0.2,0.8622337579727173,0.0,-1.4243127824738622,-519.5,2342.0,45.0,256.0,0.5836118459701538,-11.768652663230895
120.0,0.5,0.83203125,-0.006928632989001926,0.013166405260562897,3.601608575321734,7680.0,0.0001,0.4296875,0.3929922580718994,0.023193359375,0.02734375,1.0,0.90234375,256.0,15.0,1.0560563802719116,0.2,0.8764881491661072,0.0,-1.401381392031908,-530.5,2794.0,45.0,256.0,0.5785710215568542,-14.078983264416456
128.0,0.5,0.84765625,-0.00841111294721486,0.006887646391987801,7.710328351706266,8192.0,0.0001,0.45703125,0.5565594136714935,0.016845703125,0.06640625,1.0,0.890625,256.0,16.0,1.580819010734558,0.2,0.8173538446426392,0.0,-1.365048224106431,-542.0,2528.0,45.0,256.0,0.5959196090698242,-16.304458605498077
136.0,0.5,0.765625,-0.003940993097785395,0.003806009655818343,9.541126180440187,8704.0,0.0001,0.43359375,0.4407147765159607,0.005615234375,0.1015625,1.0,0.83203125,256.0,17.0,2.479581594467163,0.2,0.7966834306716919,0.0,-1.3404622236266732,-554.0,2761.0,45.0,256.0,0.6031821370124817,-19.086047291755676
144.0,0.5,0.5390625,-0.0020465476482058875,0.0015824857400730252,13.643750913441181,9216.0,0.0001,0.486328125,0.28823375701904297,0.00048828125,0.43359375,1.0,0.552734375,256.0,18.0,2.2060627937316895,0.2,0.8178949356079102,0.0,-1.3187536913901567,-554.0,2833.0,45.0,256.0,0.5953624248504639,-21.91248376503587
152.0,0.5,0.4140625,-0.0004801886389032006,0.0002611391246318817,27.09214400500059,9728.0,0.0001,0.44140625,0.07726889848709106,0.0,0.46875,1.0,0.47265625,256.0,19.0,7.3274617195129395,0.2,0.7976983785629272,0.0,-1.3005201388150454,-564.0,2815.0,45.0,256.0,0.6061808466911316,-24.93948939025402
160.0,0.5,0.38671875,-0.0011315799565636553,0.00019129423890262842,34.859314039349556,10240.0,0.0001,0.427734375,0.02799159288406372,0.0,0.46875,1.0,0.458984375,256.0,20.0,9.118356704711914,0.2,0.7691903114318848,0.0,-1.3294850587844849,-564.0,2864.0,45.0,256.0,0.6226861476898193,-28.635446804463864
