raw/disc/disc_loss,raw/disc/n_expert,raw/disc/n_generated,raw/disc/disc_acc_expert,raw/disc/disc_acc_gen,raw/disc/disc_entropy,raw/disc/global_step,raw/disc/disc_proportion_expert_true,raw/disc/disc_proportion_expert_pred,raw/disc/disc_acc
1.0169739723205566,256.0,256.0,1.0,0.0,0.4517287611961365,1,0.5,1.0,0.5
1.0150532722473145,256.0,256.0,1.0,0.0,0.44549667835235596,2,0.5,1.0,0.5
1.0204683542251587,256.0,256.0,1.0,0.0,0.4523094594478607,3,0.5,1.0,0.5
1.0071897506713867,256.0,256.0,1.0,0.0,0.45312780141830444,4,0.5,1.0,0.5
0.9987311363220215,256.0,256.0,1.0,0.0,0.45964643359184265,5,0.5,1.0,0.5
1.0213068723678589,256.0,256.0,1.0,0.0,0.45419859886169434,6,0.5,1.0,0.5
0.9923509359359741,256.0,256.0,1.0,0.0,0.45481765270233154,7,0.5,1.0,0.5
0.9915352463722229,256.0,256.0,1.0,0.0,0.454214483499527,8,0.5,1.0,0.5
0.9545831680297852,256.0,256.0,1.0,0.0,0.4389970898628235,9,0.5,1.0,0.5
0.8922632932662964,256.0,256.0,1.0,0.0,0.47102320194244385,10,0.5,1.0,0.5
0.8017481565475464,256.0,256.0,1.0,0.0,0.47720780968666077,11,0.5,1.0,0.5
0.8059413433074951,256.0,256.0,1.0,0.0,0.47053951025009155,12,0.5,1.0,0.5
0.895786702632904,256.0,256.0,1.0,0.0,0.44212672114372253,13,0.5,1.0,0.5
0.7679246664047241,256.0,256.0,1.0,0.0,0.4810546040534973,14,0.5,1.0,0.5
0.7550413012504578,256.0,256.0,1.0,0.0,0.4949091672897339,15,0.5,1.0,0.5
0.7324614524841309,256.0,256.0,1.0,0.0,0.479335755109787,16,0.5,1.0,0.5
0.7060776352882385,256.0,256.0,1.0,0.0,0.4881178140640259,17,0.5,1.0,0.5
0.6392391920089722,256.0,256.0,1.0,0.00390625,0.4799085259437561,18,0.5,0.998046875,0.501953125
0.6565406322479248,256.0,256.0,1.0,0.0,0.4796617031097412,19,0.5,1.0,0.5
0.712544322013855,256.0,256.0,1.0,0.0,0.4955648183822632,20,0.5,1.0,0.5
0.7421789765357971,256.0,256.0,1.0,0.65234375,0.4792028069496155,21,0.5,0.673828125,0.826171875
0.6499553918838501,256.0,256.0,0.99609375,0.69140625,0.4821145236492157,22,0.5,0.65234375,0.84375
0.5917033553123474,256.0,256.0,0.98828125,0.77734375,0.4782639443874359,23,0.5,0.60546875,0.8828125
0.5805246233940125,256.0,256.0,0.98046875,0.7734375,0.5011621713638306,24,0.5,0.603515625,0.876953125
0.5839372277259827,256.0,256.0,0.95703125,0.8125,0.5047999620437622,25,0.5,0.572265625,0.884765625
0.557842493057251,256.0,256.0,0.94921875,0.87890625,0.5185906887054443,26,0.5,0.53515625,0.9140625
0.5861620306968689,256.0,256.0,0.9453125,0.875,0.5021241903305054,27,0.5,0.53515625,0.91015625
0.6022264957427979,256.0,256.0,0.95703125,0.77734375,0.5156303644180298,28,0.5,0.58984375,0.8671875
0.5960526466369629,256.0,256.0,0.95703125,0.82421875,0.5073363780975342,29,0.5,0.56640625,0.890625
0.6358709335327148,256.0,256.0,0.92578125,0.74609375,0.4803864359855652,30,0.5,0.58984375,0.8359375
0.6120416522026062,256.0,256.0,0.97265625,0.828125,0.49627095460891724,31,0.5,0.572265625,0.900390625
0.5502272844314575,256.0,256.0,0.93359375,0.86328125,0.5033066272735596,32,0.5,0.53515625,0.8984375
0.5410988330841064,256.0,256.0,0.921875,0.8203125,0.4872581958770752,33,0.5,0.55078125,0.87109375
0.5272836089134216,256.0,256.0,0.94921875,0.8671875,0.5051019191741943,34,0.5,0.541015625,0.908203125
0.5797444581985474,256.0,256.0,0.91015625,0.84375,0.4948270320892334,35,0.5,0.533203125,0.876953125
0.5584723949432373,256.0,256.0,0.890625,0.890625,0.5059843063354492,36,0.5,0.5,0.890625
0.576038122177124,256.0,256.0,0.86328125,0.87109375,0.4935532212257385,37,0.5,0.49609375,0.8671875
0.5801541209220886,256.0,256.0,0.8359375,0.87890625,0.4950246214866638,38,0.5,0.478515625,0.857421875
0.5643876791000366,256.0,256.0,0.859375,0.82421875,0.5151516795158386,39,0.5,0.517578125,0.841796875
0.5612399578094482,256.0,256.0,0.8984375,0.859375,0.49999088048934937,40,0.5,0.51953125,0.87890625
0.5607848167419434,256.0,256.0,0.921875,0.859375,0.4825793504714966,41,0.5,0.53125,0.890625
0.5895607471466064,256.0,256.0,0.8203125,0.84375,0.5107458829879761,42,0.5,0.48828125,0.83203125
0.5413459539413452,256.0,256.0,0.87890625,0.90234375,0.505474328994751,43,0.5,0.48828125,0.890625
0.5193567872047424,256.0,256.0,0.88671875,0.890625,0.5075995922088623,44,0.5,0.498046875,0.888671875
0.568949282169342,256.0,256.0,0.875,0.8828125,0.5123283267021179,45,0.5,0.49609375,0.87890625
0.5547096133232117,256.0,256.0,0.92578125,0.890625,0.5124309062957764,46,0.5,0.517578125,0.908203125
0.5645322203636169,256.0,256.0,0.9453125,0.80859375,0.5071502923965454,47,0.5,0.568359375,0.876953125
0.5581122040748596,256.0,256.0,0.95703125,0.79296875,0.512633204460144,48,0.5,0.58203125,0.875
0.5889873504638672,256.0,256.0,0.9609375,0.81640625,0.4951664209365845,49,0.5,0.572265625,0.888671875
0.571628212928772,256.0,256.0,0.984375,0.8125,0.4919859766960144,50,0.5,0.5859375,0.8984375
0.6540096998214722,256.0,256.0,0.9765625,0.69140625,0.4922601282596588,51,0.5,0.642578125,0.833984375
0.5907256007194519,256.0,256.0,0.96875,0.80078125,0.5032281875610352,52,0.5,0.583984375,0.884765625
0.5704318284988403,256.0,256.0,0.96484375,0.77734375,0.5050390958786011,53,0.5,0.59375,0.87109375
0.5579703450202942,256.0,256.0,0.96875,0.7890625,0.5038858652114868,54,0.5,0.58984375,0.87890625
0.5485556125640869,256.0,256.0,0.96875,0.7890625,0.5142123699188232,55,0.5,0.58984375,0.87890625
0.6243746280670166,256.0,256.0,0.96484375,0.69140625,0.5267097353935242,56,0.5,0.63671875,0.828125
0.529431939125061,256.0,256.0,0.9921875,0.74609375,0.5171797275543213,57,0.5,0.623046875,0.869140625
0.5576739311218262,256.0,256.0,0.96875,0.640625,0.5047779083251953,58,0.5,0.6640625,0.8046875
0.6068339943885803,256.0,256.0,0.984375,0.6015625,0.51268470287323,59,0.5,0.69140625,0.79296875
0.5527701377868652,256.0,256.0,0.9609375,0.66796875,0.49540430307388306,60,0.5,0.646484375,0.814453125
0.60994553565979,256.0,256.0,0.9921875,0.64453125,0.5119285583496094,61,0.5,0.673828125,0.818359375
0.6062373518943787,256.0,256.0,0.97265625,0.6015625,0.5203592777252197,62,0.5,0.685546875,0.787109375
0.6243557929992676,256.0,256.0,0.98046875,0.48046875,0.5104951858520508,63,0.5,0.75,0.73046875
0.6724557876586914,256.0,256.0,0.984375,0.48828125,0.48270469903945923,64,0.5,0.748046875,0.736328125
0.5547062754631042,256.0,256.0,0.96875,0.578125,0.5113876461982727,65,0.5,0.6953125,0.7734375
0.6739547252655029,256.0,256.0,0.953125,0.375,0.4992169141769409,66,0.5,0.7890625,0.6640625
0.6437214612960815,256.0,256.0,0.97265625,0.39453125,0.49599266052246094,67,0.5,0.7890625,0.68359375
0.6159351468086243,256.0,256.0,0.9375,0.5234375,0.49863994121551514,68,0.5,0.70703125,0.73046875
0.5750634074211121,256.0,256.0,0.93359375,0.5390625,0.5103456377983093,69,0.5,0.697265625,0.736328125
0.623737633228302,256.0,256.0,0.88671875,0.53515625,0.5231119990348816,70,0.5,0.67578125,0.7109375
0.5638766288757324,256.0,256.0,0.8984375,0.53515625,0.537936806678772,71,0.5,0.681640625,0.716796875
0.6269748210906982,256.0,256.0,0.859375,0.57421875,0.521766185760498,72,0.5,0.642578125,0.716796875
0.475610613822937,256.0,256.0,0.85546875,0.74609375,0.5261175632476807,73,0.5,0.5546875,0.80078125
0.6065541505813599,256.0,256.0,0.77734375,0.55078125,0.5241251587867737,74,0.5,0.61328125,0.6640625
0.561071515083313,256.0,256.0,0.7734375,0.65234375,0.5335524082183838,75,0.5,0.560546875,0.712890625
0.5963594913482666,256.0,256.0,0.7421875,0.625,0.5421018004417419,76,0.5,0.55859375,0.68359375
0.5306223630905151,256.0,256.0,0.734375,0.71875,0.5207650661468506,77,0.5,0.5078125,0.7265625
0.4779472351074219,256.0,256.0,0.73828125,0.78515625,0.5200586318969727,78,0.5,0.4765625,0.76171875
0.5390887260437012,256.0,256.0,0.7265625,0.7421875,0.53957200050354,79,0.5,0.4921875,0.734375
0.5242923498153687,256.0,256.0,0.69921875,0.7265625,0.5274803638458252,80,0.5,0.486328125,0.712890625
0.5309233665466309,256.0,256.0,0.70703125,0.765625,0.5259702205657959,81,0.5,0.470703125,0.736328125
0.495678186416626,256.0,256.0,0.68359375,0.796875,0.5403303503990173,82,0.5,0.443359375,0.740234375
0.5640133619308472,256.0,256.0,0.66015625,0.75,0.5404541492462158,83,0.5,0.455078125,0.705078125
0.5380324125289917,256.0,256.0,0.69921875,0.72265625,0.5395336151123047,84,0.5,0.48828125,0.7109375
0.5435731410980225,256.0,256.0,0.60546875,0.8203125,0.540702223777771,85,0.5,0.392578125,0.712890625
0.5262104868888855,256.0,256.0,0.65625,0.79296875,0.5363106727600098,86,0.5,0.431640625,0.724609375
0.5492183566093445,256.0,256.0,0.625,0.78125,0.5372734069824219,87,0.5,0.421875,0.703125
0.5674316883087158,256.0,256.0,0.640625,0.7109375,0.5389331579208374,88,0.5,0.46484375,0.67578125
0.5629807710647583,256.0,256.0,0.5625,0.80078125,0.5270758271217346,89,0.5,0.380859375,0.681640625
0.5233250856399536,256.0,256.0,0.64453125,0.796875,0.5370203256607056,90,0.5,0.423828125,0.720703125
0.5873622894287109,256.0,256.0,0.6484375,0.609375,0.5472920536994934,91,0.5,0.51953125,0.62890625
0.5590437054634094,256.0,256.0,0.6484375,0.8046875,0.545343816280365,92,0.5,0.421875,0.7265625
0.49369901418685913,256.0,256.0,0.7109375,0.86328125,0.5522412657737732,93,0.5,0.423828125,0.787109375
0.515722393989563,256.0,256.0,0.70703125,0.8515625,0.5259959697723389,94,0.5,0.427734375,0.779296875
0.5222379565238953,256.0,256.0,0.734375,0.84375,0.5379592180252075,95,0.5,0.4453125,0.7890625
0.5005152821540833,256.0,256.0,0.7578125,0.74609375,0.5083696842193604,96,0.5,0.505859375,0.751953125
0.45036590099334717,256.0,256.0,0.7890625,0.86328125,0.48791879415512085,97,0.5,0.462890625,0.826171875
