subject	block	block_type	trial	p_var	a_var	r_var	r_fix	resp_var	rt	color	lr	mean_alpha	mean_beta	mean_gamma	sd_alpha	sd_beta	sd_gamma
901	1	ado	1	0.5	0.75	65.0	55.0	0	0.5437554999998611	1	-1	1.0032544136047363	1.4969295263290405	2.4908292293548584	0.5767427086830139	1.0579955577850342	1.5182654857635498
901	1	ado	2	0.5	0.5	65.0	11.0	1	0.17348429999992732	0	-1	1.1029341220855713	0.858513355255127	2.425706386566162	0.5566810369491577	0.7977173328399658	1.5254030227661133
901	1	ado	3	0.5	0.75	65.0	21.0	1	0.12190419999978985	0	-1	1.1304898262023926	0.4747423231601715	2.4126133918762207	0.5511251091957092	0.7004553079605103	1.5302189588546753
901	1	ado	4	0.12999999523162842	0.0	65.0	25.0	0	0.6896513000001505	0	-1	0.8476220965385437	0.3844018280506134	2.5139615535736084	0.39684081077575684	0.6840543746948242	1.5045288801193237
901	1	ado	5	0.5	0.75	65.0	40.0	1	0.31274549999989176	1	-1	0.8401828408241272	0.14958056807518005	2.46635365486145	0.41658028960227966	0.7079847455024719	1.507711410522461
901	1	ado	6	0.12999999523162842	0.0	65.0	18.0	0	0.573764399999618	1	1	0.631519615650177	0.05146130919456482	2.579845905303955	0.32829388976097107	0.7219933867454529	1.4887163639068604
901	1	ado	7	0.5	0.75	55.0	47.0	1	0.648224499999742	0	1	0.4601888954639435	-0.3462789058685303	2.243067502975464	0.3261684477329254	0.8923785090446472	1.49801766872406
901	1	ado	8	0.25	0.0	65.0	5.0	1	0.21538939999982176	1	-1	0.5307207107543945	-0.2112070620059967	2.2652182579040527	0.29868778586387634	0.7838701605796814	1.470462679862976
901	1	ado	9	0.25	0.0	65.0	7.0	1	0.11918869999999515	0	-1	0.5924504995346069	-0.09709113836288452	2.322383165359497	0.26543787121772766	0.6577109098434448	1.4503921270370483
901	1	ado	10	0.12999999523162842	0.0	65.0	6.0	1	0.7375189999997929	0	1	0.6823369264602661	-0.010196596384048462	2.212310791015625	0.24330052733421326	0.5801554918289185	1.420833945274353
901	1	ado	11	0.12999999523162842	0.0	65.0	8.0	1	1.4452840999997534	0	-1	0.7582021951675415	0.05509801208972931	2.1659293174743652	0.2150309830904007	0.49732449650764465	1.4098354578018188
901	1	ado	12	0.12999999523162842	0.0	65.0	9.5	0	1.9335983000000851	1	1	0.6482126712799072	-0.030490171164274216	2.1783950328826904	0.22199824452400208	0.6133589148521423	1.414932370185852
901	1	ado	13	0.25	0.0	65.0	11.0	1	1.8646444999999403	0	1	0.6758120059967041	0.03438304737210274	2.3194315433502197	0.18396320939064026	0.48334455490112305	1.4108648300170898
901	1	ado	14	0.5	0.75	65.0	47.0	1	0.08694950000017343	0	1	0.6792585849761963	0.0031500717159360647	2.4320645332336426	0.1695791333913803	0.4542889893054962	1.4139299392700195
901	1	ado	15	0.25	0.0	65.0	18.0	1	1.8747364000000744	1	1	0.7078890800476074	0.05179493874311447	2.5257694721221924	0.14559924602508545	0.3636917471885681	1.4167380332946777
901	1	ado	16	0.25	0.0	65.0	21.0	1	0.5676942999998573	1	1	0.7349353432655334	0.08261783421039581	2.555352210998535	0.13004755973815918	0.30018743872642517	1.4201875925064087
901	1	ado	17	0.12999999523162842	0.0	65.0	15.0	0	2.394804500000191	1	1	0.7195267081260681	0.0924234688282013	2.819110870361328	0.11066364496946335	0.257632851600647	1.3592565059661865
901	1	ado	18	0.12999999523162842	0.0	65.0	7.0	1	0.7365190000000439	1	-1	0.7357708811759949	0.11116709560155869	2.8845818042755127	0.09760677814483643	0.2057792842388153	1.350454330444336
901	1	ado	19	0.12999999523162842	0.0	65.0	11.0	0	0.8075303000000531	0	1	0.7093421816825867	0.10758858174085617	3.140885829925537	0.08614766597747803	0.202615424990654	1.3019005060195923
901	1	ado	20	0.5	0.75	47.0	40.0	1	0.4433063999999831	0	1	0.7085373997688293	0.06908974796533585	3.0304088592529297	0.09081875532865524	0.23645932972431183	1.3191287517547607
901	1	ado	21	0.5	0.75	40.0	34.0	1	0.37241119999998773	1	-1	0.7065515518188477	0.03133675456047058	2.912099838256836	0.09497381001710892	0.26773369312286377	1.3238918781280518
