subject	block	block_type	trial	t_ss	t_ll	r_ss	r_ll	resp_ss	rt	lr	mean_k	mean_tau	sd_k	sd_tau	mean_log_k	mean_tau_2	sd_log_k	sd_tau_2
901	1	ado	1	0.0	260.0	450.0	800.0	0	0.9268901000000369	-1	0.0005436565261334181	0.5050967335700989	0.0034602696541696787	0.28859636187553406	-8.660781860351562	0.500045657157898	1.7153304815292358	0.29151472449302673
901	1	ado	2	0.0	520.0	720.0	800.0	1	2.0493748000003507	1	0.001097487867809832	0.5014479160308838	0.005028621293604374	0.2905500829219818	-7.146063804626465	0.4960334599018097	0.9037066698074341	0.2935880720615387
901	1	ado	3	0.0	520.0	560.0	800.0	1	1.723692100000335	1	0.0017996844835579395	0.5023940801620483	0.007178483065217733	0.2892990708351135	-6.444807529449463	0.49674126505851746	0.5476077795028687	0.2925069034099579
901	1	ado	4	0.0	520.0	450.0	800.0	1	1.8554736999999477	-1	0.0023622922599315643	0.5044521689414978	0.009661699645221233	0.28886085748672485	-6.148419380187988	0.49920812249183655	0.42905133962631226	0.29187527298927307
901	1	ado	5	0.0	520.0	380.0	800.0	1	1.8018271000000823	1	0.0029251014348119497	0.5041433572769165	0.0134909488260746	0.2895253300666809	-5.969492435455322	0.498897910118103	0.40628162026405334	0.29252320528030396
901	1	ado	6	0.0	520.0	340.0	800.0	0	2.693478099999993	-1	0.002393500180914998	0.5226444005966187	0.0030850698240101337	0.2834319472312927	-6.0447845458984375	0.5183352828025818	0.3214588165283203	0.2861905097961426
901	1	ado	7	0.0	520.0	360.0	800.0	1	2.1591910000001917	-1	0.002557727973908186	0.5252218842506409	0.004313722252845764	0.2826201319694519	-5.98407506942749	0.5208526253700256	0.3193801939487457	0.28545671701431274
901	1	ado	8	0.0	260.0	490.0	800.0	1	2.3030218000003515	-1	0.0025764149613678455	0.567054808139801	0.004579563159495592	0.26905637979507446	-5.978842735290527	0.5643640756607056	0.24655887484550476	0.271231472492218
901	1	ado	9	0.0	260.0	470.0	800.0	1	2.7413274000000456	-1	0.003990135155618191	0.11345721781253815	0.022254982963204384	0.09026786684989929	-5.831396579742432	0.10732759535312653	0.8554292321205139	0.0914655476808548
901	1	ado	10	0.0	520.0	330.0	800.0	0	2.6137050999996063	-1	0.0027729927096515894	0.1279032826423645	0.005953812040388584	0.09301070868968964	-5.918931484222412	0.12121926993131638	0.7854729294776917	0.0949164479970932
901	1	ado	11	0.0	156.0	560.0	800.0	0	1.9086826999996447	1	0.002580884378403425	0.14610035717487335	0.0005553299561142921	0.09770628809928894	-5.956746578216553	0.14040248095989227	0.6706117987632751	0.09987092018127441
901	1	ado	12	0.0	260.0	460.0	800.0	1	1.9031619000002138	-1	0.0028218573424965143	0.073719322681427	0.0013269024202600121	0.05395972728729248	-5.871137619018555	0.06497293710708618	1.1668373346328735	0.05598640441894531
901	1	ado	13	0.0	260.0	430.0	800.0	0	2.204268299999967	1	0.0027292503509670496	0.08175115287303925	0.0003984919167123735	0.05421297624707222	-5.8996734619140625	0.07570531964302063	0.9206907153129578	0.05638613924384117
901	1	ado	14	0.0	260.0	480.0	800.0	1	2.3649658999997882	1	0.002797085791826248	0.0888080969452858	0.0004163963603787124	0.0576266348361969	-5.8782958984375	0.08365543931722641	0.8160028457641602	0.059659067541360855
901	1	ado	15	0.0	520.0	350.0	800.0	0	3.0416941999997107	1	0.00268163182772696	0.059682730585336685	0.0004032556607853621	0.03876221925020218	-5.908099174499512	0.05204463005065918	1.2083122730255127	0.041324812918901443
901	1	ado	16	0.0	260.0	420.0	800.0	1	2.0399144000002707	1	0.002995270537212491	0.026389580219984055	0.0007605693535879254	0.01791037619113922	-5.804813385009766	0.016318581998348236	2.0804953575134277	0.019044863060116768
901	1	ado	17	0.0	260.0	380.0	800.0	0	1.2630546000000322	-1	0.002880597487092018	0.02905869670212269	0.0005703086499124765	0.018526535481214523	-5.836221218109131	0.02104172110557556	1.7703319787979126	0.02042619325220585
901	1	ado	18	0.0	260.0	390.0	800.0	1	1.6354347999999845	1	0.00322624109685421	0.017230555415153503	0.0008312674472108483	0.009673797525465488	-5.760486125946045	0.008293011225759983	2.422828435897827	0.010916047729551792
901	1	ado	19	0.0	260.0	350.0	800.0	0	1.7251772999998138	-1	0.003102329559624195	0.018538428470492363	0.0007009285618551075	0.010202180594205856	-5.781373500823975	0.010985559783875942	2.1487085819244385	0.01202709786593914
901	1	ado	20	0.0	260.0	360.0	800.0	0	1.8182655000000523	1	0.003008678089827299	0.019864903762936592	0.0006064519984647632	0.010644541122019291	-5.804374694824219	0.013852405361831188	1.8539283275604248	0.012739680707454681
