mean/disc/disc_loss,mean/disc/n_expert,mean/gen/time/time_elapsed,mean/disc/disc_acc_expert,mean/disc/n_generated,mean/gen/train/clip_fraction,mean/gen/train/learning_rate,mean/gen/rollout/ep_rew_mean,mean/gen/train/entropy_loss,mean/gen/train/loss,mean/gen/time/total_timesteps,mean/gen/train/n_updates,mean/gen/rollout/ep_len_mean,mean/disc/disc_proportion_expert_pred,mean/disc/disc_entropy,mean/disc/disc_proportion_expert_true,mean/disc/disc_acc_gen,mean/gen/train/explained_variance,mean/gen/train/approx_kl,mean/gen/train/clip_range,mean/disc/global_step,mean/gen/train/policy_gradient_loss,mean/gen/time/fps,mean/gen/train/value_loss,mean/disc/disc_acc,mean/gen/time/iterations,mean/gen/rollout/ep_rew_wrapped_mean
0.954674482345581,256.0,0.0,1.0,256.0,0.02880859375,0.0001,-585.2941284179688,-1.6058938894420862,-0.00498523935675621,512.0,8.0,27.470588235294116,1.0,0.48108232021331787,0.5,0.0,-0.3892335891723633,0.010180639103055,0.2,1.0,-0.01573975796054583,1430.0,0.1950264751794748,0.5,1.0,
0.8844164609909058,256.0,0.0,1.0,256.0,0.09619140625,0.0001,-490.8163146972656,-1.5898785702884197,0.7588716745376587,1024.0,16.0,20.857142857142858,1.0,0.5462127923965454,0.5,0.0,0.017536401748657227,0.008174687623977661,0.2,2.0,-0.020671549420512747,1376.0,3.132829314097762,0.5,1.0,-2.6488344697829556
0.8293140530586243,256.0,0.0,1.0,256.0,0.058837890625,0.0001,-528.2051391601562,-1.5679229507222772,4.668942451477051,1536.0,24.0,19.666666666666668,1.0,0.59797203540802,0.5,0.0,0.18570560216903687,0.008488278836011887,0.2,3.0,-0.016960303611995187,1489.0,11.800182532519102,0.5,1.0,-4.823655310410018
0.793545126914978,256.0,0.0,0.80078125,256.0,0.13232421875,0.0001,-544.5,-1.5184185756370425,13.601702690124512,2048.0,32.0,16.67,0.837890625,0.6445155143737793,0.5,0.125,0.17912214994430542,0.012408830225467682,0.2,4.0,-0.024079431910649873,1093.0,29.421013794839382,0.462890625,1.0,-7.340348011837938
0.7484667301177979,256.0,0.0,0.5859375,256.0,0.125,0.0001,-543.5,-1.465758005157113,13.940634727478027,2560.0,40.0,12.67,0.615234375,0.6563739776611328,0.5,0.35546875,0.18727314472198486,0.010813725180923939,0.2,5.0,-0.022163843335874844,1119.0,30.979299873113632,0.470703125,1.0,-10.684973365217447
0.7981334924697876,256.0,0.0,0.33984375,256.0,0.229736328125,0.0001,-567.5,-1.3529798779636621,12.560845375061035,3072.0,48.0,9.36,0.41015625,0.6262991428375244,0.5,0.51953125,0.3086431622505188,0.01462407037615776,0.2,6.0,-0.0356981920049293,1256.0,35.89579173922539,0.4296875,1.0,-13.908305298388004
0.8179969191551208,256.0,0.0,0.33203125,256.0,0.113037109375,0.0001,-547.5,-1.2729385094717145,14.999460220336914,3584.0,56.0,8.16,0.376953125,0.6023056507110596,0.5,0.578125,0.26681357622146606,0.012892902828752995,0.2,7.0,-0.025114996780757792,1330.0,53.34769155085087,0.455078125,1.0,-15.051122347712516
0.7937740087509155,256.0,0.0,0.43359375,256.0,0.15576171875,0.0001,-536.0,-1.1135945017449558,13.271684646606445,4096.0,64.0,7.01,0.43359375,0.5806472301483154,0.5,0.56640625,0.34173446893692017,0.01621508225798607,0.2,8.0,-0.029713687486946583,1292.0,29.264947578310966,0.5,1.0,-15.78282881617546
0.7370122671127319,256.0,0.0,0.4921875,256.0,0.101806640625,0.0001,-510.5,-1.0248128664679825,5.752554893493652,4608.0,72.0,6.44,0.44921875,0.5595219731330872,0.5,0.59375,0.2967541813850403,0.011164856143295765,0.2,9.0,-0.025394116593815852,931.0,21.171796716749668,0.54296875,1.0,-14.019231860637666
0.7758733034133911,256.0,0.0,0.4921875,256.0,0.09521484375,0.0001,-497.0,-0.9027569466270506,7.101994514465332,5120.0,80.0,6.6,0.4765625,0.5496081709861755,0.5,0.5390625,0.26605403423309326,0.009235046803951263,0.2,10.0,-0.02016167998954188,1277.0,22.32832044363022,0.515625,1.0,-11.898633130788802
0.6530251502990723,256.0,0.0,0.62109375,256.0,0.072021484375,0.0001,-529.5,-0.7841811589896679,1.5003248453140259,5632.0,88.0,5.5,0.5078125,0.5390396118164062,0.5,0.60546875,0.14185255765914917,0.008615463972091675,0.2,11.0,-0.014891202590661123,1214.0,7.8862364906817675,0.61328125,1.0,-10.381306261718272
0.6874315142631531,256.0,0.0,0.66015625,256.0,0.128662109375,0.0001,-532.5,-0.7560957977548242,4.41456937789917,6144.0,96.0,5.87,0.529296875,0.514389157295227,0.5,0.6015625,0.32597559690475464,0.009971534833312035,0.2,12.0,-0.020115489154704846,1290.0,7.008398907259107,0.630859375,1.0,-7.321666625663638
0.5627032518386841,256.0,0.0,0.74609375,256.0,0.138671875,0.0001,-527.0,-0.5641980906948447,1.4668669700622559,6656.0,104.0,5.21,0.568359375,0.5174204111099243,0.5,0.609375,0.3295309543609619,0.0105345593765378,0.2,13.0,-0.02041954874584917,1252.0,4.0657891016453505,0.677734375,1.0,-6.620171045847237
