subject	block	block_type	trial	p_var	a_var	r_var	r_fix	resp_var	rt	color	lr	mean_alpha	mean_beta	mean_gamma	sd_alpha	sd_beta	sd_gamma
900	1	ado	1	0.5	0.75	65.0	55.0	0	1.115812998265028	0	-1	1.0032544136047363	1.4969295263290405	2.4908292293548584	0.5767427086830139	1.0579955577850342	1.5182654857635498
900	1	ado	2	0.5	0.5	65.0	11.0	1	1.2268743999302387	1	1	1.1029341220855713	0.858513355255127	2.425706386566162	0.5566810369491577	0.7977173328399658	1.5254030227661133
900	1	ado	3	0.5	0.75	65.0	21.0	1	2.892636999487877	1	1	1.1304898262023926	0.4747423231601715	2.4126133918762207	0.5511251091957092	0.7004553079605103	1.5302189588546753
900	1	ado	4	0.12999999523162842	0.0	65.0	25.0	0	5.396274998784065	1	-1	0.8476220965385437	0.3844018280506134	2.5139615535736084	0.39684081077575684	0.6840543746948242	1.5045288801193237
900	1	ado	5	0.5	0.75	65.0	40.0	0	3.6383697986602783	0	1	0.8544669151306152	0.6002316474914551	2.557708501815796	0.37765997648239136	0.5831366181373596	1.5002658367156982
900	1	ado	6	0.12999999523162842	0.0	65.0	18.0	1	1.655418999493122	0	1	1.0957598686218262	0.700765073299408	2.3503546714782715	0.3372017741203308	0.5923246741294861	1.5192384719848633
900	1	ado	7	0.5	0.75	65.0	29.0	1	3.201749600470066	1	1	1.1110599040985107	0.6090479493141174	2.415069103240967	0.31344708800315857	0.5566096305847168	1.5140962600708008
900	1	ado	8	0.5	0.75	65.0	34.0	1	7.1406642980873585	0	1	1.1257938146591187	0.5513718128204346	2.42695951461792	0.31294357776641846	0.5532644391059875	1.502380609512329
900	1	ado	9	0.12999999523162842	0.0	65.0	21.0	0	2.1367570012807846	0	1	0.9858470559120178	0.45817577838897705	2.4021878242492676	0.3097892999649048	0.5896772742271423	1.4929523468017578
900	1	ado	10	0.12999999523162842	0.0	65.0	15.0	1	1.5718709006905556	1	1	1.068708062171936	0.5390725135803223	2.639835834503174	0.21298322081565857	0.437510222196579	1.4588788747787476
900	1	ado	11	0.25	0.0	65.0	34.0	0	4.588700298219919	0	1	0.9636615514755249	0.4692627191543579	2.2471542358398438	0.26990750432014465	0.585732638835907	1.4512126445770264
900	1	ado	12	0.5	0.75	55.0	34.0	1	2.635714802891016	0	1	0.767451286315918	0.09120212495326996	0.9635522961616516	0.4113219678401947	0.9829320311546326	0.8401219248771667
900	1	ado	13	0.5	0.75	55.0	47.0	0	1.7267960011959076	1	1	0.8682337999343872	0.3206692337989807	1.008439064025879	0.3475397229194641	0.7522940039634705	0.7914338707923889
900	1	ado	14	0.25	0.0	65.0	18.0	1	0.7016944028437138	1	-1	0.9338753819465637	0.40277722477912903	1.0385658740997314	0.2775576710700989	0.588965117931366	0.7393265962600708
900	1	ado	15	0.5	0.75	65.0	47.0	0	6.260801997035742	0	1	0.9721694588661194	0.47698500752449036	1.1164451837539673	0.22755326330661774	0.43985360860824585	0.7373336553573608
900	1	ado	16	0.25	0.0	65.0	29.0	1	2.263486798852682	0	-1	1.0171993970870972	0.5080766081809998	1.1393547058105469	0.18184985220432281	0.352981299161911	0.7279931902885437
900	1	ado	17	0.5	0.75	47.0	29.0	1	1.218537800014019	1	-1	0.998547375202179	0.4544895589351654	1.1279510259628296	0.19039379060268402	0.37917083501815796	0.7633596062660217
900	1	ado	18	0.12999999523162842	0.0	65.0	13.0	1	3.3110430985689163	0	1	1.0248818397521973	0.4763967990875244	1.1674855947494507	0.1521061807870865	0.29286685585975647	0.7716739773750305
900	1	ado	19	0.5	0.75	40.0	25.0	1	1.9285808987915516	1	-1	1.0158535242080688	0.4503498375415802	1.2655640840530396	0.14408457279205322	0.2791477143764496	0.824627697467804
900	1	ado	20	0.25	0.0	55.0	29.0	0	1.62552759796381	0	-1	0.9916203618049622	0.44251522421836853	1.4625129699707031	0.1279309093952179	0.24966587126255035	0.8712291121482849
900	1	ado	21	0.5	0.75	55.0	40.0	1	4.729367598891258	1	-1	0.9618785381317139	0.349601149559021	0.8496847748756409	0.22557306289672852	0.5044804215431213	0.5307626128196716
900	1	ado	22	0.25	0.0	65.0	21.0	1	3.186200298368931	1	-1	0.9870287179946899	0.38835224509239197	0.879227876663208	0.17559392750263214	0.3741730749607086	0.518117368221283
900	1	ado	23	0.5	0.75	47.0	40.0	0	1.8184669986367226	1	1	1.000535011291504	0.4171336591243744	0.9179838299751282	0.14090724289417267	0.2650512456893921	0.5142760276794434
900	1	ado	24	0.5	0.5	65.0	55.0	1	0.30952509865164757	1	-1	0.970514714717865	0.3448052704334259	0.6989288330078125	0.2035401165485382	0.43382537364959717	0.42701485753059387
900	1	ado	25	0.25	0.0	65.0	15.0	1	0.9205917008221149	0	-1	0.9854633808135986	0.36833900213241577	0.7146078944206238	0.16535066068172455	0.32027626037597656	0.41658294200897217
900	1	ado	26	0.25	0.0	65.0	25.0	1	5.175709702074528	0	-1	1.0034161806106567	0.3846387267112732	0.7189082503318787	0.13967980444431305	0.24741704761981964	0.40720224380493164
900	1	ado	27	0.5	0.75	47.0	34.0	1	4.039843201637268	0	-1	0.99418705701828	0.3468879461288452	0.7032788395881653	0.15059363842010498	0.2767561674118042	0.4178306460380554
900	1	ado	28	0.12999999523162842	0.0	65.0	11.0	0	0.7813738025724888	1	-1	0.918472409248352	0.2839105427265167	0.7002233266830444	0.2035321295261383	0.4560965597629547	0.4491710662841797
900	1	ado	29	0.25	0.0	65.0	8.0	1	0.30785370245575905	1	1	0.9302514791488647	0.3093264698982239	0.7183054685592651	0.16717423498630524	0.33760499954223633	0.44175955653190613
900	1	ado	30	0.25	0.0	65.0	13.0	1	1.1735914014279842	0	-1	0.9389115571975708	0.32430964708328247	0.7311369776725769	0.1430041491985321	0.25179892778396606	0.43854421377182007
