mean/gen/time/iterations,mean/gen/train/value_loss,mean/gen/train/n_updates,mean/disc/n_expert,mean/disc/disc_acc_gen,mean/disc/disc_acc,mean/disc/disc_entropy,mean/disc/global_step,mean/gen/train/explained_variance,mean/gen/train/policy_gradient_loss,mean/gen/time/total_timesteps,mean/gen/time/time_elapsed,mean/gen/train/clip_range,mean/gen/train/entropy_loss,mean/gen/rollout/ep_len_mean,mean/disc/disc_proportion_expert_true,mean/gen/time/fps,mean/disc/disc_loss,mean/gen/train/approx_kl,mean/gen/train/clip_fraction,mean/disc/n_generated,mean/disc/disc_acc_expert,mean/gen/train/loss,mean/gen/train/learning_rate,mean/disc/disc_proportion_expert_pred,mean/gen/rollout/ep_rew_mean,mean/gen/rollout/ep_rew_wrapped_mean
1.0,409.79577898979187,88.0,256.0,0.8984375,0.6953125,0.627157986164093,11.0,0.0034216642379760742,-0.00021149772146600299,5632.0,0.0,0.2,-1.580649352632463,45.0,0.5,2247.0,0.5578026175498962,4.38210554420948e-06,0.0,256.0,0.4921875,178.59329223632812,0.0001,0.296875,-451.5,-60.21170316599309
1.0,403.2354391813278,96.0,256.0,0.85546875,0.74609375,0.5865384936332703,12.0,0.0006895065307617188,-0.0002964733212138526,6144.0,0.0,0.2,-1.5745856426656246,45.0,0.5,2120.0,0.49115219712257385,8.291797712445259e-06,0.0,256.0,0.63671875,173.87493896484375,0.0001,0.390625,-467.0,-71.24607844769955
1.0,314.2057526111603,104.0,256.0,0.8359375,0.73046875,0.5525175333023071,13.0,-0.0016429424285888672,-0.0006628659684793092,6656.0,0.0,0.2,-1.572045967914164,45.0,0.5,1968.0,0.49409791827201843,2.4222303181886673e-05,0.0,256.0,0.625,107.71708679199219,0.0001,0.39453125,-468.0,-80.3018366949074
1.0,363.99214029312134,112.0,256.0,0.8125,0.734375,0.5349022150039673,14.0,-0.0017497539520263672,-0.0005890840257052332,7168.0,0.0,0.2,-1.5737713929265738,45.0,0.5,1961.0,0.48760369420051575,2.7929781936109066e-05,0.0,256.0,0.65625,147.83677673339844,0.0001,0.421875,-479.0,-86.99782273283228
1.0,378.2892361879349,120.0,256.0,0.8125,0.728515625,0.504818856716156,15.0,-0.0010080337524414062,-0.0003556033843779005,7680.0,0.0,0.2,-1.5801260201260448,45.0,0.5,2204.0,0.4777538776397705,7.866066880524158e-06,0.0,256.0,0.64453125,194.1563720703125,0.0001,0.416015625,-480.0,-92.47883878483437
1.0,383.1662836074829,128.0,256.0,0.66015625,0.65234375,0.4879562258720398,16.0,-0.0012350082397460938,-0.001562023717269767,8192.0,0.0,0.2,-1.5717085199430585,45.0,0.5,1901.0,0.6347808837890625,0.00011610111687332392,0.0,256.0,0.64453125,171.97523498535156,0.0001,0.4921875,-479.0,-96.69641465935857
1.0,336.475035071373,136.0,256.0,0.6796875,0.642578125,0.47420382499694824,17.0,-0.0012331008911132812,-0.002893082710215822,8704.0,0.0,0.2,-1.5684218984097242,45.0,0.5,1858.0,0.613545835018158,0.0003421683795750141,0.0,256.0,0.60546875,90.94999694824219,0.0001,0.462890625,-481.0,-96.73328173458576
1.0,459.1362156867981,144.0,256.0,0.734375,0.69921875,0.4640650451183319,18.0,-9.417533874511719e-05,-0.0019126184342894703,9216.0,0.0,0.2,-1.56402594037354,45.0,0.5,1329.0,0.5274609327316284,0.00011381832882761955,0.0,256.0,0.6640625,186.38853454589844,0.0001,0.46484375,-448.0,-95.02634806171059
1.0,618.4956250190735,152.0,256.0,0.89453125,0.763671875,0.48236462473869324,19.0,0.00023090839385986328,-0.00032831254065968096,9728.0,0.0,0.2,-1.5758982729166746,45.0,0.5,2188.0,0.39226245880126953,6.612972356379032e-06,0.0,256.0,0.6328125,241.49061584472656,0.0001,0.369140625,-441.5,-94.95486906183417
1.0,693.7415006160736,160.0,256.0,0.92578125,0.701171875,0.5025017261505127,20.0,0.0004610419273376465,-0.00022472631826531142,10240.0,0.0,0.2,-1.5794640136882663,45.0,0.5,2238.0,0.44562992453575134,4.614121280610561e-06,0.0,256.0,0.4765625,314.1999816894531,0.0001,0.275390625,-444.5,-98.02492563297507
