mean/disc/n_generated,mean/gen/time/iterations,mean/disc/disc_proportion_expert_true,mean/disc/disc_proportion_expert_pred,mean/disc/disc_acc_gen,mean/gen/train/value_loss,mean/gen/time/total_timesteps,mean/gen/train/loss,mean/gen/train/clip_range,mean/gen/train/explained_variance,mean/gen/time/fps,mean/gen/rollout/ep_rew_wrapped_mean,mean/gen/time/time_elapsed,mean/gen/train/learning_rate,mean/disc/disc_loss,mean/disc/n_expert,mean/disc/disc_acc,mean/disc/disc_entropy,mean/gen/train/policy_gradient_loss,mean/gen/train/entropy_loss,mean/disc/global_step,mean/disc/disc_acc_expert,mean/gen/train/clip_fraction,mean/gen/train/n_updates,mean/gen/train/approx_kl
256.0,10.5,0.5,1.0,0.0,0.010017939939862117,43008.0,-0.01852432964369655,0.1,0.7193729825317859,490.8000000000001,-1.821155607027651,99.75,0.00014750000000000006,0.2113744854927063,256.0,0.5,0.4042665243148804,-0.0037551124728634035,-1.4412021462619304,1.0,1.0,0.07249267578125002,52.5,0.002227118238806725
256.0,10.5,0.5,0.916796875,0.16484375,3.5960460193455215,124928.0,0.6519126206636432,0.1,0.5732596784830093,447.24999999999994,-18.92004670514538,107.05,0.00012375,0.16947652995586396,256.0,0.5816406249999999,0.48854473829269407,-0.0004455034487182275,-1.2941128198802472,2.0,0.9984375,0.017106933593750002,152.5,0.0007787306363752579
256.0,10.5,0.5,0.802734375,0.284375,67.88287177085873,206848.0,16.63234920501709,0.1,0.01500436067581177,462.0,-51.74542111616583,102.85000000000001,0.00011583333333333333,0.16410818696022034,256.0,0.587109375,0.6303649067878723,6.079128652345388e-05,-1.4410549189150335,3.0,0.88984375,0.017541503906250006,252.5,0.0007502166234189643
256.0,10.5,0.5,0.37734375,0.68671875,319.46324594497685,288768.0,78.4876558303833,0.1,3.591179847717285e-06,497.34999999999997,-101.97846005442736,98.20000000000002,0.00011187500000000001,0.18456398248672484,256.0,0.5640625,0.6467044115066529,-0.00035794141091173516,-1.5676045466959476,4.0,0.44140625,0.0020874023437499997,352.5,0.00038588052702834844
256.0,10.5,0.5,0.442578125,0.57109375,372.79170494079597,370688.0,92.94241218566896,0.1,9.208917617797854e-07,510.5,-115.82454984754325,96.14999999999998,0.00010949999999999999,0.18570804297924043,256.0,0.513671875,0.6609869599342346,-0.00034637489865417596,-1.5974065154790877,5.0,0.45625000000000004,0.00527587890625,452.5,0.000509096998575842
256.0,10.5,0.5,0.699609375,0.22109375000000003,201.32175098419185,452608.0,49.56331863403321,0.1,3.4570693969726567e-07,497.74999999999994,-96.26420787584784,98.0,0.0001079166666666667,0.18235126733779908,256.0,0.420703125,0.6735766172409058,-0.000415356361772865,-1.5927450028061865,6.0,0.6203125,0.007114257812500001,552.5,0.000649183842324419
256.0,10.5,0.5,0.715234375,0.290625,141.8738920688629,534528.0,34.43085842132568,0.1,3.576278686523436e-08,510.55,-86.65386074346301,96.2,0.0001067857142857143,0.17667791545391082,256.0,0.505859375,0.6741417884826659,-0.0004698708462819922,-1.5748989164829252,7.0,0.72109375,0.0076611328125000015,652.5,0.00091145900223637
256.0,10.5,0.5,0.6007812499999999,0.5328124999999999,171.32363517761237,616448.0,41.785463714599615,0.1,5.006790161132812e-07,492.80000000000007,-93.18249003010988,99.94999999999996,0.00010593749999999998,0.1614174723625183,256.0,0.6335937500000001,0.6712974667549134,-0.0011213292683532928,-1.5788737450540062,8.0,0.734375,0.029106445312500007,752.5,0.0013810382370138539
256.0,10.5,0.5,0.43515625,0.65,226.26708032608033,698368.0,55.58156623840332,0.1,2.1576881408691404e-06,458.0500000000001,-104.46422851932049,104.80000000000003,0.0001052777777777778,0.16025492548942566,256.0,0.5851562499999999,0.6338761687278748,-0.001019675666175317,-1.4954676835238934,9.0,0.5203125,0.019323730468749998,852.5,0.0008790512627456337
256.0,10.5,0.5,0.403515625,0.6851562499999999,250.0974493980407,780288.0,61.83900928497313,0.1,1.731514930725098e-06,464.8,-112.26049636697769,103.55000000000003,0.00010475000000000001,0.15665917694568632,256.0,0.588671875,0.6270309925079345,-0.0007446436656755397,-1.4763095122575758,10.0,0.4921875,0.026591796875000004,952.5,0.0009013427858008072
