mean/gen/train/clip_range,mean/gen/time/iterations,mean/gen/time/fps,mean/gen/train/clip_fraction,mean/gen/train/value_loss,mean/disc/disc_entropy,mean/gen/rollout/ep_rew_mean,mean/disc/disc_acc,mean/gen/train/learning_rate,mean/gen/train/entropy_loss,mean/disc/disc_loss,mean/gen/train/approx_kl,mean/gen/rollout/ep_len_mean,mean/gen/train/policy_gradient_loss,mean/disc/disc_acc_gen,mean/disc/n_generated,mean/gen/train/loss,mean/gen/train/n_updates,mean/disc/disc_proportion_expert_pred,mean/disc/n_expert,mean/disc/global_step,mean/gen/time/time_elapsed,mean/gen/time/total_timesteps,mean/disc/disc_acc_expert,mean/gen/train/explained_variance,mean/disc/disc_proportion_expert_true,mean/gen/rollout/ep_rew_wrapped_mean
0.2,1.0,1276.0,0.003173828125,0.18602615236886777,0.47525522112846375,-544.4444580078125,0.5,0.0001,-1.6085451170802116,0.9625335335731506,0.002871147356927395,28.444444444444443,-0.010626236409734702,0.0,256.0,-0.018412798643112183,8.0,1.0,256.0,1.0,0.0,512.0,1.0,-0.13795161247253418,0.5,
0.2,1.0,1326.0,0.0966796875,2.459611650556326,0.5411264300346375,-458.6956481933594,0.5,0.0001,-1.600120648741722,0.8839937448501587,0.00858771800994873,22.108695652173914,-0.01884324509592261,0.0,256.0,0.6129566431045532,16.0,1.0,256.0,2.0,0.0,1024.0,1.0,0.13836538791656494,0.5,-2.7557154993216195
0.2,1.0,1333.0,0.07373046875,11.915612548589706,0.5947213172912598,-469.4444580078125,0.5,0.0001,-1.5779775511473417,0.8360415697097778,0.008605673909187317,21.22222222222222,-0.015308178997656796,0.0,256.0,4.488471031188965,24.0,1.0,256.0,3.0,0.0,1536.0,1.0,0.1868903636932373,0.5,-4.998571011035339
0.2,1.0,1061.0,0.14599609375,15.635006692260504,0.6388903856277466,-533.5,0.5,0.0001,-1.5180086055770516,0.7847710251808167,0.010018290020525455,15.55,-0.027018747241527308,0.15625,256.0,6.857943534851074,32.0,0.84375,256.0,4.0,0.0,2048.0,0.84375,0.3012250065803528,0.5,-7.5835014205012055
0.2,1.0,979.0,0.224853515625,23.506120532751083,0.6529983282089233,-590.5,0.455078125,0.0001,-1.4571365462616086,0.7491791248321533,0.012684916146099567,10.06,-0.030121852789307013,0.3125,256.0,14.051162719726562,40.0,0.642578125,256.0,5.0,0.0,2560.0,0.59765625,0.33930420875549316,0.5,-10.126838362514972
0.2,1.0,1278.0,0.120849609375,50.65584157407284,0.6273840069770813,-535.5,0.41796875,0.0001,-1.3897239621728659,0.7853038311004639,0.013745016418397427,9.11,-0.02427671958139399,0.41015625,256.0,22.843873977661133,48.0,0.5078125,256.0,6.0,0.0,3072.0,0.42578125,0.275307297706604,0.5,-11.811750952601432
0.2,1.0,1219.0,0.0732421875,47.80336908996105,0.5967017412185669,-526.0,0.525390625,0.0001,-1.2813895037397742,0.7586150169372559,0.010828075930476189,9.67,-0.018068725084958714,0.62890625,256.0,20.28955078125,56.0,0.396484375,256.0,7.0,0.0,3584.0,0.421875,0.31825315952301025,0.5,-14.291623036265372
0.2,1.0,1196.0,0.092041015625,36.79973801225424,0.582953929901123,-508.0,0.53125,0.0001,-1.1880189897492528,0.7659025192260742,0.010050775483250618,8.62,-0.01867980315728346,0.59375,256.0,13.427525520324707,64.0,0.4375,256.0,8.0,0.0,4096.0,0.46875,0.31597793102264404,0.5,-17.779007612466813
0.2,1.0,971.0,0.107177734375,37.51273921132088,0.566110372543335,-570.5,0.5625,0.0001,-1.106831411831081,0.7059840559959412,0.009206283837556839,7.12,-0.02401359514624346,0.58203125,256.0,19.425004959106445,72.0,0.48046875,256.0,9.0,0.0,4608.0,0.54296875,0.34358805418014526,0.5,-17.0900945520401
0.2,1.0,1279.0,0.080322265625,27.570603862404823,0.5673449039459229,-469.5,0.51953125,0.0001,-1.0629320186562836,0.7369394898414612,0.006587397772818804,7.45,-0.015560755578917451,0.51171875,256.0,12.391578674316406,80.0,0.5078125,256.0,10.0,0.0,5120.0,0.52734375,0.23721474409103394,0.5,-13.471497945189476
0.2,1.0,1188.0,0.070068359375,14.740423381328583,0.5530369281768799,-448.5,0.59765625,0.0001,-0.8704916290007532,0.6390164494514465,0.0072913640178740025,7.14,-0.01786949692905182,0.56640625,256.0,7.2859110832214355,88.0,0.53125,256.0,11.0,0.0,5632.0,0.62890625,0.3089691996574402,0.5,-12.173336794190108
