mean/disc/disc_acc_gen,mean/disc/n_expert,mean/gen/time/total_timesteps,mean/gen/train/clip_range,mean/gen/train/loss,mean/disc/disc_proportion_expert_true,mean/gen/time/time_elapsed,mean/gen/train/n_updates,mean/disc/global_step,mean/disc/disc_acc_expert,mean/gen/train/policy_gradient_loss,mean/disc/disc_entropy,mean/gen/time/iterations,mean/disc/n_generated,mean/disc/disc_loss,mean/gen/train/approx_kl,mean/gen/train/value_loss,mean/gen/train/learning_rate,mean/gen/train/clip_fraction,mean/gen/train/explained_variance,mean/gen/rollout/ep_rew_wrapped_mean,mean/disc/disc_proportion_expert_pred,mean/disc/disc_acc,mean/gen/train/entropy_loss,mean/gen/time/fps
0.049479166666666664,128.0,18432.0,0.1,-0.05327227292582393,0.5,60.375,45.0,1.0,0.8880208333333333,-0.0033940134038857647,0.5382465521494548,4.5,128.0,0.22957345843315125,0.0017484996751591098,0.0022470815876658888,6.0625000000000023e-05,0.026263427734375004,0.21092938631772995,0.2575048715413764,0.9192708333333333,0.46875,-1.589565009996295,466.5
0.5651041666666666,128.0,51200.0,0.1,201.00063705444336,0.5,60.375,125.0,2.0,0.4817708333333333,0.0028349588246783237,0.6512993574142456,4.5,128.0,0.18513397872447968,0.003694498203913099,833.6363595962524,4.531250000000001e-05,0.05672607421875,-0.0013112649321556093,-121.9041541615309,0.4583333333333333,0.5234375,-1.5962075419723987,466.625
0.21614583333333334,128.0,83968.0,0.1,46.29297494888306,0.5,61.0,205.0,3.0,0.8359375,-6.164748447190503e-05,0.6665793259938558,4.5,128.0,0.1696177820364634,1.7490961909061298e-05,186.54483413696286,4.020833333333333e-05,0.0,0.0001101866364479065,-83.04903683327139,0.8098958333333333,0.5260416666666666,-1.6006561189889907,453.62500000000006
0.859375,128.0,116736.0,0.1,195.14885711669922,0.5,61.125,285.0,4.0,0.3984375,-8.392145537072793e-05,0.6571202874183655,4.5,128.0,0.1620233158270518,1.3974235116620548e-05,781.3380006790163,3.765625000000001e-05,0.0,2.818554639816284e-05,-124.60956018410623,0.26953125,0.62890625,-1.600033725425601,447.75
0.5546875,128.0,149504.0,0.1,102.81949138641357,0.5,61.125,365.0,5.0,0.5572916666666667,-0.00012055133884132374,0.6530769864718119,4.5,128.0,0.1618621051311493,2.536089414206799e-05,413.1364085197448,3.6125000000000004e-05,0.0,1.039355993270874e-05,-103.01680038370189,0.5013020833333334,0.5559895833333333,-1.5962368559092281,447.37500000000006
0.6197916666666666,128.0,182272.0,0.1,118.15670967102051,0.5,61.5,445.0,6.0,0.5338541666666666,-9.855003445409241e-05,0.6559652884801228,4.5,128.0,0.1649179657300313,1.2511924069258384e-05,476.03010177612305,3.510416666666667e-05,0.0,9.059906005859375e-06,-103.4365726621449,0.45703125,0.5768229166666666,-1.5908541604876518,448.25
0.6588541666666667,128.0,215040.0,0.1,162.37631797790527,0.5,61.125,525.0,7.0,0.5442708333333334,-1.7315364675596357e-05,0.671529233455658,4.5,128.0,0.15937369068463644,8.656661520944908e-07,651.6422897338869,3.437500000000001e-05,0.0,9.000301361083984e-06,-121.63746367260813,0.44270833333333337,0.6015625,-1.5881426945328714,452.375
0.5078125,128.0,247808.0,0.1,96.5054817199707,0.5,61.125,605.0,8.0,0.8255208333333333,-2.7418753597885372e-05,0.6791417002677917,4.5,128.0,0.15627571443716687,2.591144948382862e-06,389.063434791565,3.3828125000000004e-05,0.0,1.1526048183441162e-05,-104.59421564787625,0.6588541666666666,0.6666666666666666,-1.5893293738365173,450.875
0.8776041666666667,128.0,280576.0,0.1,133.93899154663086,0.5,61.375,685.0,9.0,0.46614583333333337,-4.2359170038253076e-05,0.6797827482223511,4.5,128.0,0.1571669379870097,9.660134310252033e-06,536.106313419342,3.340277777777778e-05,0.0,5.848705768585205e-06,-114.81201685570181,0.2942708333333333,0.671875,-1.591290234774351,442.0
0.734375,128.0,313344.0,0.1,116.26125049591064,0.5,64.625,765.0,10.0,0.5078125,-4.9627589396550315e-05,0.6727923154830933,4.5,128.0,0.15691252052783966,1.596100992173888e-05,467.53691139221195,3.3062500000000004e-05,0.0,3.4868717193603516e-06,-111.85506633974613,0.38671875,0.62109375,-1.5979214139282703,422.875
