mean/disc/disc_proportion_expert_pred,mean/gen/time/total_timesteps,mean/disc/disc_acc_expert,mean/gen/train/policy_gradient_loss,eval/mean_reward,mean/gen/time/iterations,mean/gen/rollout/ep_rew_wrapped_mean,mean/gen/train/explained_variance,mean/disc/disc_loss,mean/disc/disc_acc_gen,mean/gen/train/loss,mean/gen/train/clip_range,mean/gen/train/value_loss,mean/disc/disc_proportion_expert_true,mean/gen/time/fps,mean/disc/n_expert,mean/disc/disc_acc,mean/gen/train/clip_fraction,mean/disc/n_generated,mean/gen/train/entropy_loss,mean/gen/train/n_updates,eval/std_reward,mean/gen/time/time_elapsed,mean/disc/disc_entropy,mean/gen/train/learning_rate,mean/disc/global_step,mean/gen/train/approx_kl
1.0,6144.0,1.0,-0.0016406977828592063,0.0,3.0,-1.887508003855376,0.27068604826927184,0.24130743741989136,0.0,-0.01539549957960844,0.1,0.02034319606609642,0.5,1062.6,256.0,0.5,0.01884765625,256.0,-1.599757772684097,15.0,0.0,8.8,0.44403085112571716,0.00014000000000000001,1.0,0.001360281801316887
,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,16384.0,1.0,-0.0006561213673558085,0.0,3.0,-5.128296295672655,0.3886458158493042,0.2318907231092453,0.0,0.03557972051203251,0.1,0.5192138276994228,0.5,1035.4,256.0,0.5,0.0046484375,256.0,-1.5841728389263152,40.0,0.0,8.8,0.47566166520118713,0.00012,2.0,0.000601899070898071
,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,26624.0,1.0,-0.000320141373667866,0.0,3.0,-11.125597746521233,0.008315742015838623,0.2248336374759674,0.0,0.7230147957801818,0.1,3.41132276058197,0.5,1117.0,256.0,0.5,0.0,256.0,-1.6039340174198151,65.0,0.0,8.6,0.5070993304252625,0.00011333333333333336,3.0,0.00012755313655361534
,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,36864.0,1.0,-0.0001301608653739095,0.0,3.0,-18.552862092465162,0.0007679581642150878,0.21755824238061905,0.0,2.6988126277923583,0.1,11.304173746109008,0.5,1071.8,256.0,0.5,0.0,256.0,-1.6071186399459838,90.0,0.0,8.6,0.5397327244281769,0.00011,4.0,2.7343188412487508e-05
,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,47104.0,1.0,-5.262048915028573e-05,0.0,3.0,-28.397004067480566,0.0002040266990661621,0.2056140974164009,0.0,7.349585342407226,0.1,30.52994947433472,0.5,1064.0,256.0,0.5,0.0,256.0,-1.6070460402965545,115.0,0.0,8.6,0.5788417160511017,0.00010800000000000001,5.0,8.15262901596725e-06
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9951171875,57344.0,0.998046875,-5.466035567224025e-05,0.0,3.0,-42.09268166291714,6.465911865234375e-05,0.1927424594759941,0.0078125,18.580476379394533,0.1,74.7216389465332,0.5,1056.2,256.0,0.5029296875,0.0,256.0,-1.6065002608299257,140.0,0.0,8.8,0.6257742047309875,0.00010666666666666668,6.0,8.957023965194821e-06
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.802734375,67584.0,0.751953125,-7.156917941756546e-05,-375.0,3.0,-59.534912861227994,2.3031234741210936e-05,0.18861206620931625,0.146484375,38.11920013427734,0.1,153.1802459716797,0.5,1126.8,256.0,0.44921875,0.0,256.0,-1.60654673576355,165.0,420.267771783657,8.6,0.6590892374515533,0.00010571428571428572,7.0,8.246477227658033e-06
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.60546875,77824.0,0.529296875,-3.5228095948696134e-05,-215.0,3.0,-79.55316682088376,1.0383129119873048e-05,0.18544165045022964,0.318359375,68.72020034790039,0.1,274.4573881530761,0.5,1087.3999999999999,256.0,0.423828125,0.0,256.0,-1.6061982309818266,190.0,355.7035282366482,8.6,0.6681658923625946,0.000105,8.0,5.045696161687375e-06
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4453125,88064.0,0.41796875,-3.104179166257382e-05,-365.0,3.0,-99.24877243161203,6.318092346191406e-06,0.18709778785705566,0.52734375,98.62655487060547,0.1,405.6552981567383,0.5,1155.8000000000002,256.0,0.47265625,0.0,256.0,-1.606010630130768,215.0,428.39817926783957,8.4,0.6645148396492004,0.00010444444444444444,9.0,1.966120908036828e-06
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3525390625,98304.0,0.34375,-9.797743987292052e-05,-270.0,3.0,-111.07676227116583,4.148483276367187e-06,0.18760211765766144,0.638671875,114.27523956298828,0.1,462.1850378417969,0.5,1108.0,256.0,0.4912109375,0.0,256.0,-1.6059076797962186,240.0,419.6427051671457,8.8,0.6640743613243103,0.00010400000000000001,10.0,1.8543261103332042e-05
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3525390625,108544.0,0.337890625,-2.868814393877983e-05,-700.0,3.0,-114.06661589336395,3.0994415283203125e-06,0.1836252361536026,0.6328125,115.80278167724609,0.1,462.1627453613281,0.5,1088.8,256.0,0.4853515625,0.0,256.0,-1.6059457290172576,265.0,382.099463490856,8.6,0.6727076470851898,0.00010363636363636364,11.0,4.241196438670158e-06
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4599609375,118784.0,0.45703125,-0.00013321508653461932,-200.0,3.0,-109.07030155324935,2.5033950805664062e-06,0.17790039628744125,0.537109375,97.68724822998047,0.1,395.4204388427735,0.5,1102.6,256.0,0.4970703125,0.0,256.0,-1.6052802872657774,290.0,464.2197755374064,8.6,0.6812146306037903,0.00010333333333333334,12.0,3.15221433993429e-05
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6142578125,129024.0,0.576171875,-4.033676348626613e-05,-115.0,3.0,-101.70800787448883,1.7404556274414062e-06,0.1771884560585022,0.34765625,85.84122314453124,0.1,339.8474371337891,0.5,1068.0,256.0,0.4619140625,0.0,256.0,-1.604418797492981,315.0,389.90383429763807,8.6,0.6848689913749695,0.00010307692307692306,13.0,8.912186603993178e-06
,,,,,,,,,,,,,,,,,,,,,,,,,,
