raw/gen/rollout/ep_rew_mean,raw/gen/time/fps,raw/gen/time/total_timesteps,raw/gen/rollout/ep_len_mean,raw/gen/time/time_elapsed,raw/gen/time/iterations,raw/gen/train/learning_rate,raw/gen/train/entropy_loss,raw/gen/train/loss,raw/gen/train/approx_kl,raw/gen/train/n_updates,raw/gen/train/policy_gradient_loss,raw/gen/train/clip_range,raw/gen/train/value_loss,raw/gen/rollout/ep_rew_wrapped_mean,raw/gen/train/explained_variance,raw/gen/train/clip_fraction
-495.5,2101,21504,45.0,0,1,0.0001,-1.4247552650049329,81.27833557128906,0.013219636,328,-0.014729429058206733,0.2,198.10032826662064,-121.74368763267063,-2.2172927856445312e-05,0.03515625
-515.5,2499,22016,45.0,0,1,0.0001,-1.275412417948246,52.53837203979492,0.016027525,336,-0.023170139684225433,0.2,125.4949956536293,-114.96079903652426,-8.928775787353516e-05,0.2890625
-508.0,2317,22528,45.0,0,1,0.0001,-1.1197529090568423,14.873498916625977,0.01948874,344,-0.034026484441710636,0.2,33.906448259949684,-108.63273078253027,-4.76837158203125e-06,0.215087890625
-506.5,2277,23040,45.0,0,1,0.0001,-0.9164221924729645,17.7354793548584,0.01887228,352,-0.030040282785193995,0.2,90.26822151243687,-102.83470298201777,-4.947185516357422e-05,0.217041015625
-508.0,2167,23552,45.0,0,1,0.0001,-0.8404755759984255,26.798934936523438,0.023795728,360,-0.014212996888090856,0.2,64.37480939924717,-96.30614050379023,-1.3947486877441406e-05,0.112548828125
-501.5,2122,24064,45.0,0,1,0.0001,-0.6664616256020963,36.62928009033203,0.0066694506,368,-0.010237243841402233,0.2,67.68801763653755,-87.83793200382031,-8.821487426757812e-05,0.0517578125
-458.5,2032,24576,45.0,0,1,0.0001,-0.5576003142632544,11.069886207580566,0.018475618,376,-0.012396452635584865,0.2,28.50403343886137,-81.06847740455531,1.2755393981933594e-05,0.11572265625
-446.0,2189,25088,45.0,0,1,0.0001,-0.5571679470594972,15.315399169921875,0.00502983,384,-0.010266827950545121,0.2,39.479850709438324,-71.85102873459924,4.26173210144043e-05,0.038818359375
-443.0,1931,25600,45.0,0,1,0.0001,-0.49834901513531804,15.356450080871582,0.008770645,392,-0.010799636540468782,0.2,28.72951290011406,-66.62534535666462,0.00021076202392578125,0.08447265625
-438.0,2303,26112,45.0,0,1,0.0001,-0.6168243936263025,11.320344924926758,0.023616515,400,-0.020531070069409907,0.2,23.528300568461418,-61.00186682146974,-0.0021588802337646484,0.15478515625
-433.5,2459,26624,45.0,0,1,0.0001,-0.42593693151138723,10.696821212768555,0.0006750411,408,-0.0028571847869898193,0.2,35.92458526790142,-56.98452071535401,0.0017111897468566895,0.010498046875
-447.5,2834,27136,45.0,0,1,0.0001,-0.4411576697602868,5.823800563812256,0.004814295,416,-0.005505683173396392,0.2,21.116668339818716,-52.12607600181364,0.2908737063407898,0.03662109375
-451.5,2569,27648,45.0,0,1,0.0001,-0.3411349526140839,5.312562465667725,0.002138354,424,-0.003627349989983486,0.2,18.563995838165283,-48.03470154420938,-0.1384342908859253,0.01318359375
-447.5,2255,28160,45.0,0,1,0.0001,-0.42652860353700817,2.891124963760376,0.0031328253,432,-0.006088567926781252,0.2,10.398823946714401,-44.89787098232191,-0.0066680908203125,0.032470703125
-452.0,2530,28672,45.0,0,1,0.0001,-0.4457381914835423,1.2938971519470215,0.006250224,440,-0.012642781381146051,0.2,6.210856346413493,-43.529351541898215,0.17014610767364502,0.059814453125
-459.0,2360,29184,45.0,0,1,0.0001,-0.4485963862389326,0.6501255631446838,0.011146669,448,-0.009066386734048137,0.2,3.2179675209335983,-41.05545575251803,0.013911068439483643,0.067138671875
-444.5,2266,29696,45.0,0,1,0.0001,-0.644220364978537,0.4921010434627533,0.070916966,456,-0.030050710345676634,0.2,2.511681995820254,-39.85117297039833,-0.35431623458862305,0.214111328125
-447.5,2667,30208,45.0,0,1,0.0001,-0.720044051297009,2.3107717037200928,0.01229735,464,-0.02426638454926433,0.2,4.680362262763083,-38.56723255731631,0.0031934380531311035,0.205078125
-450.0,2713,30720,45.0,0,1,0.0001,-0.739077115431428,2.0881893634796143,0.014908452,472,-0.03560839876445243,0.2,3.013113879598677,-37.7872360322671,-0.12597835063934326,0.292236328125
-441.5,2627,31232,45.0,0,1,0.0001,-0.7406467539258301,0.8346602916717529,0.013919399,480,-0.027863079449161887,0.2,2.9965028753504157,-38.87299296457786,0.03401082754135132,0.16650390625
-419.0,2657,31744,45.0,0,1,0.0001,-0.7298872615210712,1.1871395111083984,0.021183342,488,-0.045692754749325104,0.2,3.106946112588048,-41.9349445532402,0.5617736279964447,0.451416015625
-400.0,2629,32256,45.0,0,1,0.0001,-0.6969229690730572,1.8520761728286743,0.014710585,496,-0.025080537059693597,0.2,3.8758992003276944,-44.87144888131414,-0.42046964168548584,0.20947265625
-396.5,2699,32768,45.0,0,1,0.0001,-0.5931112659163773,0.8389047980308533,0.016643148,504,-0.0340285366110038,0.2,3.4601418869569898,-47.41295936149312,0.2758296728134155,0.28271484375
-402.5,2632,33280,45.0,0,1,0.0001,-0.5793887316249311,3.559427261352539,0.009339169,512,-0.017156649701064453,0.2,5.558052823878825,-49.516919456014875,0.35526084899902344,0.102783203125
-417.0,2569,33792,45.0,0,1,0.0001,-0.5414495056029409,1.645153522491455,0.006173009,520,-0.012753114075167105,0.2,6.8348141219466925,-51.388208863011094,0.49437105655670166,0.08056640625
-410.5,2523,34304,45.0,0,1,0.0001,-0.5124605931341648,6.018649578094482,0.0048334263,528,-0.006933865613973467,0.2,20.77737757563591,-53.25776821156731,0.38981688022613525,0.01416015625
-399.5,2696,34816,45.0,0,1,0.0001,-0.5116419119294733,15.177129745483398,0.002177075,536,-0.005847553780768067,0.2,47.909144416451454,-55.724697153244634,0.5301291644573212,0.01220703125
-346.0,2291,35328,45.0,0,1,0.0001,-0.5210743898060173,22.006181716918945,0.0045075403,544,-0.0061988112720428035,0.2,60.99575662612915,-58.966764039371625,0.38240987062454224,0.012451171875
-342.0,1851,35840,45.0,0,1,0.0001,-0.6051323064602911,26.887956619262695,0.000556813,552,-0.003165224403346656,0.2,102.86919885873795,-60.24452959691407,0.49276548624038696,0.002197265625
-358.0,2796,36352,45.0,0,1,0.0001,-0.5929152956232429,21.793920516967773,0.002326725,560,-0.00638669046384166,0.2,117.74850979447365,-63.08193183400901,0.4829924702644348,0.002685546875
-354.0,2425,36864,45.0,0,1,0.0001,-0.6025058752857149,4.767102241516113,0.0041333316,568,-0.00534272994264029,0.2,32.32462828606367,-67.02835442335578,-0.6073659658432007,0.005859375
-365.5,1936,37376,45.0,0,1,0.0001,-0.7191388141363859,9.188970565795898,0.011951241,576,-0.013310584174178075,0.2,23.786906696856022,-69.57430108265486,0.3035324215888977,0.124755859375
-339.5,2155,37888,45.0,0,1,0.0001,-0.7014256562106311,3.05625319480896,0.013708521,584,-0.020652775423513958,0.2,12.255771523341537,-71.7087652718369,0.47723573446273804,0.19384765625
-340.5,2050,38400,45.0,0,1,0.0001,-0.6620630347169936,4.624284744262695,0.006956934,592,-0.006538438319694251,0.2,48.6523561142385,-69.91968637285754,0.48302197456359863,0.0185546875
-357.0,2333,38912,45.0,0,1,0.0001,-0.7196522699669003,14.284467697143555,0.0075952476,600,-0.011424885866290424,0.2,59.91546255350113,-67.97578355380567,0.6454320251941681,0.03662109375
-387.5,2444,39424,45.0,0,1,0.0001,-0.688627780880779,19.179471969604492,0.018235676,608,-0.022291448498435784,0.2,37.20107699930668,-66.19194542003098,0.3202470541000366,0.216552734375
-387.0,1953,39936,45.0,0,1,0.0001,-0.6389847565442324,4.1080241203308105,0.026891727,616,-0.019923796906368807,0.2,13.255670895799994,-64.48793645792874,-0.6416555643081665,0.27197265625
-369.0,2033,40448,45.0,0,1,0.0001,-0.6892735795117915,9.312904357910156,0.0052912002,624,-0.008847395245538792,0.2,46.76096071302891,-63.87124754163669,0.17637616395950317,0.0361328125
-339.5,2063,40960,45.0,0,1,0.0001,-0.6085614892654121,7.657909870147705,0.031464193,632,-0.020125424925936386,0.2,17.988219019025564,-61.806746903315656,0.25553977489471436,0.122802734375
-329.0,2086,41472,45.0,0,1,0.0001,-0.6599720353260636,10.98318099975586,0.0057092467,640,-0.011328130236506695,0.2,32.28830184042454,-58.29639226988657,0.1773485541343689,0.0341796875
-335.0,2130,41984,45.0,0,1,0.0001,-0.6348121447954327,4.636073112487793,0.006025525,648,-0.009160869085462764,0.2,20.236724354326725,-56.12496804685565,-0.1893550157546997,0.02978515625
-344.0,1588,42496,45.0,0,1,0.0001,-0.6269463740754873,4.18034553527832,0.013008708,656,-0.017916430122568272,0.2,23.543984815478325,-53.344805385146756,0.14269202947616577,0.069580078125
-370.0,1904,43008,45.0,0,1,0.0001,-0.5583212492056191,5.592701435089111,0.017974786,664,-0.019795272484770976,0.2,15.304999062791467,-53.477938470591326,0.5945358276367188,0.0908203125
-351.5,2097,43520,45.0,0,1,0.0001,-0.5376917843241245,5.218555450439453,0.0065361313,672,-0.011720526865246939,0.2,18.433935835957527,-53.85912659360795,0.35824066400527954,0.05322265625
-368.0,2165,44032,45.0,0,1,0.0001,-0.7081319708377123,8.769610404968262,0.011558639,680,-0.01939748294535093,0.2,24.943280458450317,-52.17407883859007,0.5418764352798462,0.08056640625
-404.0,2367,44544,45.0,0,1,0.0001,-0.5641225043218583,4.181962966918945,0.0039109727,688,-0.010227146805846132,0.2,19.53120119124651,-49.40326299628941,0.46684277057647705,0.030029296875
-425.0,2157,45056,45.0,0,1,0.0001,-0.5507954258937389,5.878472328186035,0.008200028,696,-0.015178351655777078,0.2,21.103865012526512,-46.99243868310703,0.618360847234726,0.046875
-446.0,2224,45568,45.0,0,1,0.0001,-0.6194362454116344,7.254583835601807,0.005261368,704,-0.009781083812413272,0.2,21.945431668311357,-44.21416027721716,0.7229564785957336,0.041015625
-472.5,2707,46080,45.0,0,1,0.0001,-0.6026834642980248,1.53668212890625,0.0066927257,712,-0.021075208162073977,0.2,12.418865261599422,-42.54456500747474,0.6758041679859161,0.06298828125
-467.5,2292,46592,45.0,0,1,0.0001,-0.32836494222283363,0.5809922218322754,0.011854916,720,-0.018613100743095856,0.2,3.1540761841461062,-40.98928356640274,0.042120158672332764,0.06787109375
-482.0,2361,47104,45.0,0,1,0.0001,-0.38515959796495736,0.9125010967254639,0.007053346,728,-0.01215219619916752,0.2,2.8635517177172005,-39.99567508496577,0.7560932785272598,0.047607421875
-468.0,2258,47616,45.0,0,1,0.0001,-0.3853536364622414,0.19872525334358215,0.008245086,736,-0.012829683539166581,0.2,1.5001306683989242,-40.26911935990909,0.6134868264198303,0.05810546875
-467.0,2449,48128,45.0,0,1,0.0001,-0.4040543281007558,0.5503007769584656,0.017286116,744,-0.013140758957888465,0.2,1.098021682817489,-40.627008578758684,0.5376367568969727,0.064697265625
-454.5,2222,48640,45.0,0,1,0.0001,-0.5333913480862975,0.2928953766822815,0.011365043,752,-0.011490732176753227,0.2,1.733847256633453,-40.47722280310467,0.4925345778465271,0.121826171875
-450.0,2543,49152,45.0,0,1,0.0001,-0.5905367094092071,0.22093597054481506,0.01983656,760,-0.01846169959026156,0.2,2.1885765390470624,-41.22579169468954,0.48875296115875244,0.06982421875
-474.0,2500,49664,45.0,0,1,0.0001,-0.6392353666014969,0.8531110286712646,0.012970959,768,-0.01287431551827467,0.2,1.7657195180654526,-42.96198206694797,0.7427844107151031,0.091064453125
-466.5,2549,50176,45.0,0,1,0.0001,-0.6582084721885622,0.5636019706726074,0.005996446,776,-0.014270902320276946,0.2,2.2705616923049092,-44.7170193025656,0.6866487860679626,0.09033203125
-468.5,2531,50688,45.0,0,1,0.0001,-0.7273656730540097,1.1590443849563599,0.007391819,784,-0.01743917459680233,0.2,3.951402879320085,-46.35884574389085,0.6205554604530334,0.08251953125
-484.5,2561,51200,45.0,0,1,0.0001,-0.7392083867453039,1.0001333951950073,0.016573958,792,-0.022950530234084,0.2,3.2674089409410954,-48.78820139979943,0.5343794822692871,0.1748046875
-495.5,2547,51712,45.0,0,1,0.0001,-0.75588613236323,1.792213797569275,0.013823131,800,-0.011276688481302699,0.2,4.447136437520385,-50.57184811575338,0.0969039797782898,0.091552734375
-512.5,2474,52224,45.0,0,1,0.0001,-0.765555645339191,1.8559852838516235,0.0108983265,808,-0.013891253591282293,0.2,5.536585385911167,-53.30021074257791,0.35856181383132935,0.12548828125
-504.5,2288,52736,45.0,0,1,0.0001,-0.7269094898365438,1.837103009223938,0.007030625,816,-0.008007083233678713,0.2,7.853520253673196,-56.23717082887888,0.37948310375213623,0.0205078125
