raw/gen/time/time_elapsed,raw/gen/time/total_timesteps,raw/gen/time/iterations,raw/gen/time/fps,raw/gen/train/entropy_loss,raw/gen/train/clip_range,raw/gen/train/loss,raw/gen/train/n_updates,raw/gen/train/value_loss,raw/gen/train/learning_rate,raw/gen/train/explained_variance,raw/gen/train/clip_fraction,raw/gen/train/policy_gradient_loss,raw/gen/train/approx_kl,raw/gen/rollout/ep_rew_wrapped_mean
1,2048,1,1712,,,,,,,,,,,
6,4096,2,630,-1.6094100594520568,0.2,-0.014186061918735504,5,0.021095583215355873,0.0001875,-0.23795652389526367,0.0,-0.00039090183563530447,7.25741e-05,-1.8813843845855445
11,6144,3,553,-1.6092868387699126,0.2,-0.013251877389848232,10,0.026535479724407195,0.00017500000000000003,0.06569945812225342,0.0,-1.9122171215713025e-05,3.641381e-05,-1.8777267451805528
16,8192,4,508,-1.6092180848121642,0.2,-0.01853497326374054,15,0.024154129531234504,0.0001625,0.12563300132751465,0.0,-0.0010137206874787808,0.00038919327,-1.8812559106930469
20,10240,5,492,-1.6077803373336792,0.2,-0.01466430351138115,20,0.016997860558331013,0.00015000000000000001,0.25964534282684326,0.0,-0.001435792981646955,0.0010686378,-1.8744056376069784
25,12288,6,483,-1.604741597175598,0.2,-0.015484435483813286,25,0.013710916345007717,0.0001375,0.25550878047943115,0.0,-0.0008190369000658393,0.0007775775,-1.8719789882749318
30,14336,7,474,-1.5982069492340087,0.2,-0.01937898062169552,30,0.010756637318991125,0.000125,0.39364415407180786,0.0,-0.0049343228107318286,0.004961097,-1.859639200940728
34,16384,8,469,-1.5724371016025542,0.2,-0.029642196372151375,35,0.008832042897120118,0.00011250000000000001,0.5608330368995667,0.0005859375,-0.005052288656588644,0.006457071,-1.8382141916267574
1,18432,1,1819,-1.5432374596595764,0.2,-0.024999061599373817,40,0.009502468293067067,0.0001,0.43726903200149536,0.0025390625,-0.004182658973149955,0.0041730846,-1.829860062096268
5,20480,2,707,-1.50744948387146,0.2,0.03266659006476402,45,0.7989828199148178,0.00014375,0.029774069786071777,0.0,7.682276191189885e-05,0.001671552,-3.645573190804571
10,22528,3,584,-1.5079957842826843,0.2,0.027971986681222916,50,0.5678101517260075,0.0001375,0.4253910183906555,0.00361328125,-0.0010769068030640483,0.00190209,-5.554438464604318
