raw/gen/rollout/ep_len_mean,raw/gen/time/total_timesteps,raw/gen/time/iterations,raw/gen/rollout/ep_rew_mean,raw/gen/time/time_elapsed,raw/gen/time/fps,raw/gen/train/n_updates,raw/gen/rollout/ep_rew_wrapped_mean,raw/gen/train/value_loss,raw/gen/train/learning_rate,raw/gen/train/approx_kl,raw/gen/train/explained_variance,raw/gen/train/entropy_loss,raw/gen/train/policy_gradient_loss,raw/gen/train/loss,raw/gen/train/clip_fraction,raw/gen/train/clip_range
27.470588235294116,512,1,-585.2941284179688,0,1430,,,,,,,,,,,
20.857142857142858,1024,1,-490.8163146972656,0,1376,8,-2.6488344697829556,0.1950264751794748,0.0001,0.010180639,-0.3892335891723633,-1.6058938894420862,-0.01573975796054583,-0.00498523935675621,0.02880859375,0.2
19.666666666666668,1536,1,-528.2051391601562,0,1489,16,-4.823655310410018,3.132829314097762,0.0001,0.008174688,0.017536401748657227,-1.5898785702884197,-0.020671549420512747,0.7588716745376587,0.09619140625,0.2
16.67,2048,1,-544.5,0,1093,24,-7.340348011837938,11.800182532519102,0.0001,0.008488279,0.18570560216903687,-1.5679229507222772,-0.016960303611995187,4.668942451477051,0.058837890625,0.2
12.67,2560,1,-543.5,0,1119,32,-10.684973365217447,29.421013794839382,0.0001,0.01240883,0.17912214994430542,-1.5184185756370425,-0.024079431910649873,13.601702690124512,0.13232421875,0.2
9.36,3072,1,-567.5,0,1256,40,-13.908305298388004,30.979299873113632,0.0001,0.010813725,0.18727314472198486,-1.465758005157113,-0.022163843335874844,13.940634727478027,0.125,0.2
8.16,3584,1,-547.5,0,1330,48,-15.051122347712516,35.89579173922539,0.0001,0.01462407,0.3086431622505188,-1.3529798779636621,-0.0356981920049293,12.560845375061035,0.229736328125,0.2
7.01,4096,1,-536.0,0,1292,56,-15.78282881617546,53.34769155085087,0.0001,0.012892903,0.26681357622146606,-1.2729385094717145,-0.025114996780757792,14.999460220336914,0.113037109375,0.2
6.44,4608,1,-510.5,0,931,64,-14.019231860637666,29.264947578310966,0.0001,0.016215082,0.34173446893692017,-1.1135945017449558,-0.029713687486946583,13.271684646606445,0.15576171875,0.2
6.6,5120,1,-497.0,0,1277,72,-11.898633130788802,21.171796716749668,0.0001,0.011164856,0.2967541813850403,-1.0248128664679825,-0.025394116593815852,5.752554893493652,0.101806640625,0.2
5.5,5632,1,-529.5,0,1214,80,-10.381306261718272,22.32832044363022,0.0001,0.009235047,0.26605403423309326,-0.9027569466270506,-0.02016167998954188,7.101994514465332,0.09521484375,0.2
5.87,6144,1,-532.5,0,1290,88,-7.321666625663638,7.8862364906817675,0.0001,0.008615464,0.14185255765914917,-0.7841811589896679,-0.014891202590661123,1.5003248453140259,0.072021484375,0.2
5.21,6656,1,-527.0,0,1252,96,-6.620171045847237,7.008398907259107,0.0001,0.009971535,0.32597559690475464,-0.7560957977548242,-0.020115489154704846,4.41456937789917,0.128662109375,0.2
5.45,7168,1,-487.5,0,1263,104,-4.963026630990207,4.0657891016453505,0.0001,0.010534559,0.3295309543609619,-0.5641980906948447,-0.02041954874584917,1.4668669700622559,0.138671875,0.2
5.35,7680,1,-516.5,0,1024,112,-4.997077588606626,4.280296262353659,0.0001,0.012105347,0.31606197357177734,-0.48922230838797987,-0.019849317672196776,2.220466375350952,0.118896484375,0.2
