raw/disc/n_expert,raw/disc/disc_acc_expert,raw/disc/n_generated,raw/disc/global_step,raw/disc/disc_proportion_expert_true,raw/disc/disc_acc,raw/disc/disc_loss,raw/disc/disc_entropy,raw/disc/disc_acc_gen,raw/disc/disc_proportion_expert_pred
256.0,0.53515625,256.0,25,0.5,0.517578125,0.1688491702079773,0.6458603143692017,0.5,0.517578125
256.0,0.52734375,256.0,26,0.5,0.4765625,0.17301692068576813,0.6419642567634583,0.42578125,0.55078125
256.0,0.5859375,256.0,26,0.5,0.591796875,0.16155771911144257,0.647969126701355,0.59765625,0.494140625
256.0,0.546875,256.0,27,0.5,0.548828125,0.16772833466529846,0.6444858312606812,0.55078125,0.498046875
256.0,0.48046875,256.0,27,0.5,0.517578125,0.1716877520084381,0.6499706506729126,0.5546875,0.462890625
256.0,0.51171875,256.0,28,0.5,0.54296875,0.16970312595367432,0.6479368209838867,0.57421875,0.46875
256.0,0.5390625,256.0,28,0.5,0.5859375,0.1666857749223709,0.6476819515228271,0.6328125,0.453125
256.0,0.5,256.0,29,0.5,0.56640625,0.16446566581726074,0.6519375443458557,0.6328125,0.43359375
256.0,0.453125,256.0,29,0.5,0.55078125,0.1693035513162613,0.6539573073387146,0.6484375,0.40234375
256.0,0.5546875,256.0,30,0.5,0.634765625,0.15913061797618866,0.6541342735290527,0.71484375,0.419921875
256.0,0.4609375,256.0,30,0.5,0.564453125,0.16293995082378387,0.6569226980209351,0.66796875,0.396484375
256.0,0.4609375,256.0,31,0.5,0.58984375,0.15838474035263062,0.6520296931266785,0.71875,0.37109375
256.0,0.44921875,256.0,31,0.5,0.533203125,0.16456350684165955,0.650810718536377,0.6171875,0.416015625
256.0,0.46484375,256.0,32,0.5,0.5546875,0.16199597716331482,0.6564493775367737,0.64453125,0.41015625
256.0,0.44140625,256.0,32,0.5,0.546875,0.16131962835788727,0.6547098159790039,0.65234375,0.39453125
256.0,0.69140625,256.0,33,0.5,0.64453125,0.15557602047920227,0.6618443727493286,0.59765625,0.546875
256.0,0.62109375,256.0,33,0.5,0.662109375,0.15176907181739807,0.6602945327758789,0.703125,0.458984375
256.0,0.44140625,256.0,34,0.5,0.611328125,0.1569216549396515,0.6616243124008179,0.78125,0.330078125
256.0,0.48046875,256.0,34,0.5,0.599609375,0.15833160281181335,0.6627494692802429,0.71875,0.380859375
256.0,0.515625,256.0,35,0.5,0.638671875,0.16127394139766693,0.675811231136322,0.76171875,0.376953125
256.0,0.5,256.0,35,0.5,0.615234375,0.16336992383003235,0.6752310991287231,0.73046875,0.384765625
256.0,0.49609375,256.0,36,0.5,0.58203125,0.16875368356704712,0.6832153797149658,0.66796875,0.4140625
256.0,0.60546875,256.0,36,0.5,0.6328125,0.1659984141588211,0.6832685470581055,0.66015625,0.47265625
256.0,0.50390625,256.0,37,0.5,0.513671875,0.1763838231563568,0.6842252016067505,0.5234375,0.490234375
256.0,0.46875,256.0,37,0.5,0.458984375,0.17971684038639069,0.6838927865028381,0.44921875,0.509765625
256.0,0.5,256.0,38,0.5,0.4609375,0.18415425717830658,0.681410551071167,0.421875,0.5390625
256.0,0.52734375,256.0,38,0.5,0.48046875,0.1830812394618988,0.6815572381019592,0.43359375,0.546875
256.0,0.5703125,256.0,39,0.5,0.544921875,0.18020012974739075,0.6770405769348145,0.51953125,0.525390625
256.0,0.5625,256.0,39,0.5,0.52734375,0.1839907318353653,0.6763159036636353,0.4921875,0.53515625
256.0,0.578125,256.0,40,0.5,0.568359375,0.1805455982685089,0.6714120507240295,0.55859375,0.509765625
256.0,0.61328125,256.0,40,0.5,0.5546875,0.18555064499378204,0.6715601682662964,0.49609375,0.55859375
256.0,0.5703125,256.0,41,0.5,0.515625,0.1836804747581482,0.6742981672286987,0.4609375,0.5546875
256.0,0.59375,256.0,41,0.5,0.537109375,0.18327702581882477,0.6744855642318726,0.48046875,0.556640625
256.0,0.50390625,256.0,42,0.5,0.47265625,0.18846628069877625,0.6724724173545837,0.44140625,0.53125
256.0,0.5234375,256.0,42,0.5,0.478515625,0.18862739205360413,0.6706165075302124,0.43359375,0.544921875
256.0,0.70703125,256.0,43,0.5,0.55078125,0.18409575521945953,0.6471222639083862,0.39453125,0.65625
256.0,0.7109375,256.0,43,0.5,0.568359375,0.17901623249053955,0.6506754159927368,0.42578125,0.642578125
256.0,0.546875,256.0,44,0.5,0.529296875,0.1799476444721222,0.6610108613967896,0.51171875,0.517578125
256.0,0.4921875,256.0,44,0.5,0.4921875,0.18134407699108124,0.6615883708000183,0.4921875,0.5
256.0,0.203125,256.0,45,0.5,0.4296875,0.1877288520336151,0.6544403433799744,0.65625,0.2734375
256.0,0.2421875,256.0,45,0.5,0.419921875,0.1921025514602661,0.6562726497650146,0.59765625,0.322265625
256.0,0.12890625,256.0,46,0.5,0.39453125,0.1977269947528839,0.6501396894454956,0.66015625,0.234375
256.0,0.21484375,256.0,46,0.5,0.451171875,0.18921533226966858,0.6536493301391602,0.6875,0.263671875
256.0,0.2890625,256.0,47,0.5,0.486328125,0.18572358787059784,0.6610546708106995,0.68359375,0.302734375
256.0,0.3671875,256.0,47,0.5,0.474609375,0.19122853875160217,0.6559450030326843,0.58203125,0.392578125
256.0,0.44140625,256.0,48,0.5,0.435546875,0.19361552596092224,0.63246089220047,0.4296875,0.505859375
256.0,0.38671875,256.0,48,0.5,0.38671875,0.20481513440608978,0.6325299143791199,0.38671875,0.5
256.0,0.43359375,256.0,49,0.5,0.462890625,0.20473849773406982,0.5796878337860107,0.4921875,0.470703125
256.0,0.40234375,256.0,49,0.5,0.419921875,0.21835269033908844,0.5762174725532532,0.4375,0.482421875
256.0,0.41796875,256.0,50,0.5,0.548828125,0.21465815603733063,0.4975653886795044,0.6796875,0.369140625
256.0,0.44140625,256.0,50,0.5,0.564453125,0.20817406475543976,0.4939499497413635,0.6875,0.376953125
