raw/disc/n_generated,raw/disc/disc_loss,raw/disc/disc_entropy,raw/disc/disc_acc_expert,raw/disc/disc_proportion_expert_pred,raw/disc/n_expert,raw/disc/disc_acc_gen,raw/disc/disc_proportion_expert_true,raw/disc/disc_acc,raw/disc/global_step
256.0,0.16478231549263,0.6608883142471313,0.65625,0.556640625,256.0,0.54296875,0.5,0.599609375,26
256.0,0.16779997944831848,0.6618919372558594,0.5703125,0.537109375,256.0,0.49609375,0.5,0.533203125,26
256.0,0.16584673523902893,0.6638609766960144,0.59375,0.5390625,256.0,0.515625,0.5,0.5546875,27
256.0,0.16930660605430603,0.66241455078125,0.59765625,0.54296875,256.0,0.51171875,0.5,0.5546875,27
256.0,0.16876164078712463,0.6627976894378662,0.52734375,0.48046875,256.0,0.56640625,0.5,0.546875,28
256.0,0.16546818614006042,0.6645622253417969,0.5859375,0.515625,256.0,0.5546875,0.5,0.5703125,28
256.0,0.16287128627300262,0.66749107837677,0.6015625,0.5234375,256.0,0.5546875,0.5,0.578125,29
256.0,0.16109642386436462,0.6681919097900391,0.59375,0.453125,256.0,0.6875,0.5,0.640625,29
256.0,0.1694294959306717,0.6666300296783447,0.5,0.43359375,256.0,0.6328125,0.5,0.56640625,30
256.0,0.16245776414871216,0.671558678150177,0.5625,0.451171875,256.0,0.66015625,0.5,0.611328125,30
256.0,0.16781185567378998,0.6716499924659729,0.53125,0.453125,256.0,0.625,0.5,0.578125,31
256.0,0.1662725806236267,0.6736733913421631,0.62109375,0.517578125,256.0,0.5859375,0.5,0.603515625,31
256.0,0.16312292218208313,0.675389289855957,0.6015625,0.484375,256.0,0.6328125,0.5,0.6171875,32
256.0,0.16160574555397034,0.6761661767959595,0.6171875,0.47265625,256.0,0.671875,0.5,0.64453125,32
256.0,0.16401170194149017,0.6762350797653198,0.59375,0.501953125,256.0,0.58984375,0.5,0.591796875,33
256.0,0.16219843924045563,0.6770836710929871,0.61328125,0.486328125,256.0,0.640625,0.5,0.626953125,33
256.0,0.16285580396652222,0.6778156161308289,0.6328125,0.533203125,256.0,0.56640625,0.5,0.599609375,34
256.0,0.16474120318889618,0.6791013479232788,0.6015625,0.482421875,256.0,0.63671875,0.5,0.619140625,34
256.0,0.16713722050189972,0.679228663444519,0.58984375,0.515625,256.0,0.55859375,0.5,0.57421875,35
256.0,0.16548727452754974,0.6801824569702148,0.54296875,0.482421875,256.0,0.578125,0.5,0.560546875,35
256.0,0.16489146649837494,0.6797575950622559,0.56640625,0.486328125,256.0,0.59375,0.5,0.580078125,36
256.0,0.16854408383369446,0.6814699769020081,0.50390625,0.453125,256.0,0.59765625,0.5,0.55078125,36
256.0,0.1669216752052307,0.681606650352478,0.5390625,0.458984375,256.0,0.62109375,0.5,0.580078125,37
256.0,0.16878452897071838,0.6819851398468018,0.49609375,0.4375,256.0,0.62109375,0.5,0.55859375,37
256.0,0.16428858041763306,0.6798427104949951,0.5390625,0.42578125,256.0,0.6875,0.5,0.61328125,38
256.0,0.16473351418972015,0.6800261735916138,0.57421875,0.482421875,256.0,0.609375,0.5,0.591796875,38
256.0,0.1668611466884613,0.6803417205810547,0.4921875,0.427734375,256.0,0.63671875,0.5,0.564453125,39
256.0,0.17027509212493896,0.6808170080184937,0.47265625,0.4296875,256.0,0.61328125,0.5,0.54296875,39
256.0,0.1684236228466034,0.6803208589553833,0.49609375,0.4375,256.0,0.62109375,0.5,0.55859375,40
256.0,0.1687711924314499,0.6802095174789429,0.5390625,0.482421875,256.0,0.57421875,0.5,0.556640625,40
256.0,0.17034906148910522,0.6821424961090088,0.52734375,0.49609375,256.0,0.53515625,0.5,0.53125,41
256.0,0.17034508287906647,0.6819629669189453,0.5625,0.4921875,256.0,0.578125,0.5,0.5703125,41
256.0,0.17243331670761108,0.6804152727127075,0.5234375,0.484375,256.0,0.5546875,0.5,0.5390625,42
256.0,0.17000597715377808,0.6793762445449829,0.52734375,0.47265625,256.0,0.58203125,0.5,0.5546875,42
256.0,0.1703401803970337,0.6798732280731201,0.56640625,0.5078125,256.0,0.55078125,0.5,0.55859375,43
256.0,0.16908462345600128,0.6790187358856201,0.52734375,0.482421875,256.0,0.5625,0.5,0.544921875,43
256.0,0.17089873552322388,0.6786211729049683,0.5234375,0.478515625,256.0,0.56640625,0.5,0.544921875,44
256.0,0.17851750552654266,0.6776609420776367,0.4375,0.443359375,256.0,0.55078125,0.5,0.494140625,44
256.0,0.17408475279808044,0.6776748895645142,0.5,0.46875,256.0,0.5625,0.5,0.53125,45
256.0,0.17407789826393127,0.6778872013092041,0.50390625,0.482421875,256.0,0.5390625,0.5,0.521484375,45
256.0,0.1727016121149063,0.6753649115562439,0.53125,0.46875,256.0,0.59375,0.5,0.5625,46
256.0,0.17402808368206024,0.6737185716629028,0.515625,0.484375,256.0,0.546875,0.5,0.53125,46
256.0,0.17264382541179657,0.6714143753051758,0.52734375,0.48046875,256.0,0.56640625,0.5,0.546875,47
256.0,0.17445234954357147,0.6718655824661255,0.47265625,0.431640625,256.0,0.609375,0.5,0.541015625,47
256.0,0.178012877702713,0.6655985116958618,0.4921875,0.455078125,256.0,0.58203125,0.5,0.537109375,48
256.0,0.18016597628593445,0.6623925566673279,0.48828125,0.44921875,256.0,0.58984375,0.5,0.5390625,48
256.0,0.18405967950820923,0.6539050340652466,0.4609375,0.43359375,256.0,0.59375,0.5,0.52734375,49
256.0,0.18046285212039948,0.6507852673530579,0.52734375,0.529296875,256.0,0.46875,0.5,0.498046875,49
256.0,0.17876127362251282,0.6503646373748779,0.515625,0.48828125,256.0,0.5390625,0.5,0.52734375,50
256.0,0.17552387714385986,0.6433426141738892,0.53125,0.458984375,256.0,0.61328125,0.5,0.572265625,50
