raw/gen/time/iterations,raw/gen/time/fps,raw/gen/time/time_elapsed,raw/gen/rollout/ep_rew_mean,raw/gen/time/total_timesteps,raw/gen/rollout/ep_len_mean,raw/gen/train/loss,raw/gen/train/approx_kl,raw/gen/rollout/ep_rew_wrapped_mean,raw/gen/train/entropy_loss,raw/gen/train/n_updates,raw/gen/train/clip_fraction,raw/gen/train/learning_rate,raw/gen/train/clip_range,raw/gen/train/value_loss,raw/gen/train/explained_variance,raw/gen/train/policy_gradient_loss
1,1930,0,-354.5454406738281,512,45.0,,,,,,,,,,,
1,1750,0,-325.0,1024,45.0,-0.02219664305448532,0.0073595033,2.1594875630160626,-1.6062862742692232,8,0.038818359375,0.0001,0.2,0.041843068531306926,0.35730433464050293,-0.014907086468156194
1,2040,0,-316.1764831542969,1536,45.0,0.04300545156002045,0.0042674784,-2.6123721257952806,-1.6008247379213572,16,0.001220703125,0.0001,0.2,0.6730123225133866,-0.37310612201690674,-0.00799915663083084
1,2482,0,-338.8888854980469,2048,45.0,0.6082467436790466,0.00723033,-7.495878182159847,-1.5985042937099934,24,0.029296875,0.0001,0.2,3.655751862563193,0.32760363817214966,-0.007657120433577802
1,2345,0,-372.3214416503906,2560,45.0,2.052881956100464,0.0011921428,-12.062348867311245,-1.5978445746004581,32,0.0,0.0001,0.2,9.008628773503006,0.3266422748565674,-0.00218376713746693
1,2160,0,-402.941162109375,3072,45.0,6.299302577972412,0.00021032686,-17.496726486449397,-1.593374602496624,40,0.0,0.0001,0.2,28.941611032932997,0.4109199643135071,-0.0011184582981513813
1,2229,0,-427.8481140136719,3584,45.0,30.141265869140625,3.1141448e-05,-24.619034425423973,-1.5896626058965921,48,0.0,0.0001,0.2,106.64148971438408,0.27630096673965454,-0.0006318834966805298
1,2294,0,-462.6373596191406,4096,45.0,54.14341735839844,8.195057e-06,-31.047725875272498,-1.590253695845604,56,0.0,0.0001,0.2,175.14516532421112,0.1049351692199707,-0.0003198326776328031
1,1966,0,-476.0,4608,45.0,91.47028350830078,3.5809353e-07,-37.71886819151773,-1.5937524437904358,64,0.0,0.0001,0.2,264.3474065065384,0.027658939361572266,-4.2716281313914806e-05
1,1434,0,-515.0,5120,45.0,160.11276245117188,1.252396e-06,-44.409997256686914,-1.5917418655008078,72,0.0,0.0001,0.2,350.54761493206024,0.010046243667602539,-6.753588240826502e-05
1,2186,0,-539.5,5632,45.0,182.20118713378906,2.6006019e-06,-55.11979850046337,-1.5937109310179949,80,0.0,0.0001,0.2,407.9402422904968,0.00483018159866333,-0.00012206121027702466
1,2101,0,-534.0,6144,45.0,202.63487243652344,1.364504e-06,-65.82672612830997,-1.5912416065111756,88,0.0,0.0001,0.2,453.04296350479126,-0.0005049705505371094,-0.00011379622446838766
1,1822,0,-540.0,6656,45.0,180.3502655029297,2.2123568e-06,-74.26326954552438,-1.5903261499479413,96,0.0,0.0001,0.2,475.5685203075409,-0.0024261474609375,-0.00017054822092177346
1,2188,0,-571.5,7168,45.0,139.48939514160156,4.541478e-06,-80.38677066668403,-1.5890657100826502,104,0.0,0.0001,0.2,445.5651307106018,-0.0020596981048583984,-0.000279077110462822
1,2261,0,-557.0,7680,45.0,315.6103515625,2.4945475e-06,-87.04639900130685,-1.5878539383411407,112,0.0,0.0001,0.2,684.2888870239258,-0.0010745525360107422,-0.00020309517276473343
1,2168,0,-526.5,8192,45.0,215.1770477294922,1.53773e-06,-92.91821915449108,-1.5908568855375051,120,0.0,0.0001,0.2,658.8240647315979,-0.00046122074127197266,-0.0001093264581868425
1,2145,0,-514.0,8704,45.0,299.6242370605469,1.5170081e-06,-97.29772753055673,-1.5895366817712784,128,0.0,0.0001,0.2,624.5365116596222,-0.000400543212890625,-0.00011269134847680107
1,1993,0,-484.5,9216,45.0,262.7926330566406,4.265574e-06,-99.74421419964638,-1.591195865534246,136,0.0,0.0001,0.2,593.1383986473083,-0.0006630420684814453,-0.0003338516762596555
1,2149,0,-449.0,9728,45.0,274.87457275390625,1.6770908e-05,-101.39828121241648,-1.5846126517280936,144,0.0,0.0001,0.2,556.0658264160156,-0.0003809928894042969,-0.0006955199060030282
1,2009,0,-425.5,10240,45.0,230.90713500976562,8.376432e-06,-104.21001615269576,-1.587261851876974,152,0.0,0.0001,0.2,624.3709599971771,-0.0003871917724609375,-0.00037413147219922394
1,2320,0,-459.5,10752,45.0,184.7345733642578,6.5743225e-06,-105.35233145578299,-1.58902249019593,160,0.0,0.0001,0.2,478.64656591415405,-0.00010120868682861328,-0.00030754849285585806
1,2180,0,-482.5,11264,45.0,236.68174743652344,8.983538e-06,-110.04167600678048,-1.5910944240167737,168,0.0,0.0001,0.2,582.4363496303558,0.00025457143783569336,-0.00024051623768173158
1,2278,0,-462.0,11776,45.0,219.174072265625,2.9025832e-05,-115.13138973214431,-1.588523623533547,176,0.0,0.0001,0.2,528.2230179309845,0.0001532435417175293,-0.0006558712484547868
1,2242,0,-445.0,12288,45.0,198.41336059570312,4.311523e-05,-115.67087344147963,-1.59091857355088,184,0.0,0.0001,0.2,416.06455540657043,0.00017815828323364258,-0.0006066666464903392
1,2225,0,-440.5,12800,45.0,184.42721557617188,1.562154e-05,-115.43036612585885,-1.5892837960273027,192,0.0,0.0001,0.2,393.27433586120605,0.00027382373809814453,-0.0005113936786074191
1,2332,0,-439.0,13312,45.0,138.78472900390625,8.155382e-05,-115.2631589463423,-1.585213577374816,200,0.0,0.0001,0.2,271.61304891109467,8.809566497802734e-05,-0.0014360272471094504
1,2364,0,-453.5,13824,45.0,133.09469604492188,5.7627563e-05,-114.36337671953021,-1.5866294652223587,208,0.0,0.0001,0.2,277.20299899578094,0.00010472536087036133,-0.0006730770619469695
1,2151,0,-493.5,14336,45.0,115.52391815185547,3.5021338e-05,-113.16694579105591,-1.5908022318035364,216,0.0,0.0001,0.2,295.08848547935486,-7.18832015991211e-05,-0.0007272976581589319
1,2192,0,-511.5,14848,45.0,107.52813720703125,0.000104395906,-111.52644918440609,-1.5841172663494945,224,0.0,0.0001,0.2,288.2415865659714,-0.00019824504852294922,-0.0016970836368273012
1,1650,0,-508.0,15360,45.0,151.0619354248047,0.00023497676,-110.61376188947587,-1.5844879308715463,232,0.0,0.0001,0.2,354.92918622493744,-7.331371307373047e-05,-0.002245699186460115
1,1789,0,-460.0,15872,45.0,196.93887329101562,4.5681023e-05,-111.08963512497954,-1.585548878647387,240,0.0,0.0001,0.2,506.09284567832947,-0.0001418590545654297,-0.0008975745622592513
1,2111,0,-454.5,16384,45.0,309.8783264160156,0.000119220815,-111.56266577735543,-1.5800366532057524,248,0.0,0.0001,0.2,644.8448367118835,-6.604194641113281e-05,-0.0012633874284802005
1,2253,0,-460.5,16896,45.0,443.4537658691406,4.841271e-05,-115.4729879520461,-1.5798189714550972,256,0.0,0.0001,0.2,802.3077697753906,-4.2438507080078125e-05,-0.0009168052602035459
1,2381,0,-479.5,17408,45.0,512.7611083984375,2.9363437e-05,-121.28657804824412,-1.5806165020912886,264,0.0,0.0001,0.2,1033.531482219696,-1.823902130126953e-05,-0.0006377254831022583
1,2220,0,-450.5,17920,45.0,453.2836608886719,1.982553e-05,-127.7959030151926,-1.5843727635219693,272,0.0,0.0001,0.2,1084.7413458824158,-6.222724914550781e-05,-0.0004877685641986318
