raw/disc/n_expert,raw/disc/disc_acc_gen,raw/disc/disc_acc_expert,raw/disc/disc_proportion_expert_true,raw/disc/global_step,raw/disc/disc_entropy,raw/disc/disc_proportion_expert_pred,raw/disc/n_generated,raw/disc/disc_acc,raw/disc/disc_loss
256.0,0.0,1.0,0.5,1,0.3864654302597046,1.0,256.0,0.5,0.22827938199043274
256.0,0.0,1.0,0.5,1,0.40067845582962036,1.0,256.0,0.5,0.21317614614963531
256.0,0.0,1.0,0.5,1,0.4034648537635803,1.0,256.0,0.5,0.20541170239448547
256.0,0.0,1.0,0.5,1,0.4177255630493164,1.0,256.0,0.5,0.20354673266410828
256.0,0.0,1.0,0.5,1,0.4129983186721802,1.0,256.0,0.5,0.2064584642648697
256.0,0.0,1.0,0.5,2,0.46468472480773926,1.0,256.0,0.5,0.1802125722169876
256.0,0.0234375,1.0,0.5,2,0.47164565324783325,0.98828125,256.0,0.51171875,0.17625974118709564
256.0,0.140625,1.0,0.5,2,0.4819102883338928,0.9296875,256.0,0.5703125,0.17267870903015137
256.0,0.27734375,0.99609375,0.5,2,0.5000532269477844,0.859375,256.0,0.63671875,0.16703662276268005
256.0,0.3828125,0.99609375,0.5,2,0.5244297981262207,0.806640625,256.0,0.689453125,0.1511950045824051
256.0,0.0390625,1.0,0.5,3,0.5973782539367676,0.98046875,256.0,0.51953125,0.1692579686641693
256.0,0.1171875,0.9921875,0.5,3,0.617682695388794,0.9375,256.0,0.5546875,0.16862742602825165
256.0,0.25390625,0.96484375,0.5,3,0.638356626033783,0.85546875,256.0,0.609375,0.1632208377122879
256.0,0.41796875,0.87109375,0.5,3,0.6462455987930298,0.7265625,256.0,0.64453125,0.15915149450302124
256.0,0.59375,0.62109375,0.5,3,0.6521613597869873,0.513671875,256.0,0.607421875,0.16028320789337158
256.0,0.5078125,0.4296875,0.5,4,0.6534051299095154,0.4609375,256.0,0.46875,0.1851487159729004
256.0,0.6484375,0.5078125,0.5,4,0.6524407863616943,0.4296875,256.0,0.578125,0.17868274450302124
256.0,0.7109375,0.41015625,0.5,4,0.6421473622322083,0.349609375,256.0,0.560546875,0.19234666228294373
256.0,0.78125,0.4296875,0.5,4,0.6408955454826355,0.32421875,256.0,0.60546875,0.183761864900589
256.0,0.78515625,0.4296875,0.5,4,0.6446332335472107,0.322265625,256.0,0.607421875,0.18287992477416992
256.0,0.7265625,0.42578125,0.5,5,0.6471431255340576,0.349609375,256.0,0.576171875,0.19179239869117737
256.0,0.66796875,0.44140625,0.5,5,0.6542727947235107,0.38671875,256.0,0.5546875,0.18491283059120178
256.0,0.55859375,0.40625,0.5,5,0.6595644354820251,0.423828125,256.0,0.482421875,0.19129179418087006
256.0,0.48828125,0.44921875,0.5,5,0.6699426174163818,0.48046875,256.0,0.46875,0.18383553624153137
256.0,0.4140625,0.55859375,0.5,5,0.6740118265151978,0.572265625,256.0,0.486328125,0.1767076551914215
256.0,0.28125,0.55859375,0.5,6,0.6715824604034424,0.638671875,256.0,0.419921875,0.18822331726551056
256.0,0.25,0.58203125,0.5,6,0.673076868057251,0.666015625,256.0,0.416015625,0.18300530314445496
256.0,0.234375,0.59375,0.5,6,0.6733080148696899,0.6796875,256.0,0.4140625,0.1823994666337967
256.0,0.16796875,0.66796875,0.5,6,0.6747569441795349,0.75,256.0,0.41796875,0.18028591573238373
256.0,0.171875,0.69921875,0.5,6,0.6751587986946106,0.763671875,256.0,0.435546875,0.17784233391284943
256.0,0.28515625,0.6796875,0.5,7,0.6728314757347107,0.697265625,256.0,0.482421875,0.18007606267929077
256.0,0.2578125,0.765625,0.5,7,0.6723277568817139,0.75390625,256.0,0.51171875,0.1766529083251953
256.0,0.265625,0.72265625,0.5,7,0.6738983392715454,0.728515625,256.0,0.494140625,0.17803889513015747
256.0,0.31640625,0.72265625,0.5,7,0.6752297878265381,0.703125,256.0,0.51953125,0.17531585693359375
256.0,0.328125,0.71484375,0.5,7,0.676421582698822,0.693359375,256.0,0.521484375,0.17330585420131683
256.0,0.41015625,0.88671875,0.5,8,0.6663365364074707,0.73828125,256.0,0.6484375,0.1588125228881836
256.0,0.43359375,0.8046875,0.5,8,0.6721740961074829,0.685546875,256.0,0.619140625,0.1639585942029953
256.0,0.5390625,0.7421875,0.5,8,0.6729615926742554,0.6015625,256.0,0.640625,0.16030117869377136
256.0,0.640625,0.67578125,0.5,8,0.6718339323997498,0.517578125,256.0,0.658203125,0.15885207056999207
256.0,0.640625,0.5625,0.5,8,0.6731811761856079,0.4609375,256.0,0.6015625,0.16516299545764923
256.0,0.60546875,0.58984375,0.5,9,0.6344180107116699,0.4921875,256.0,0.59765625,0.1553567498922348
256.0,0.6171875,0.52734375,0.5,9,0.6355398893356323,0.455078125,256.0,0.572265625,0.16257280111312866
256.0,0.6640625,0.5078125,0.5,9,0.6321922540664673,0.421875,256.0,0.5859375,0.16295619308948517
