raw/gen/time/total_timesteps,raw/gen/time/fps,raw/gen/rollout/ep_rew_mean,raw/gen/time/time_elapsed,raw/gen/time/iterations,raw/gen/rollout/ep_len_mean,raw/gen/train/loss,raw/gen/train/learning_rate,raw/gen/train/n_updates,raw/gen/train/policy_gradient_loss,raw/gen/train/entropy_loss,raw/gen/train/value_loss,raw/gen/train/explained_variance,raw/gen/train/clip_range,raw/gen/train/approx_kl,raw/gen/rollout/ep_rew_wrapped_mean,raw/gen/train/clip_fraction
512,2017,-495.4545593261719,0,1,45.0,,,,,,,,,,,
1024,2263,-534.0908813476562,0,1,45.0,-0.02938944846391678,0.0001,8,-0.015858577462495305,-1.6071301633492112,0.04097889017430134,0.12067681550979614,0.2,0.006618077,2.1918891448188913,0.019775390625
1536,1791,-398.5294189453125,0,1,45.0,0.03557200729846954,0.0001,16,-0.018029259117611218,-1.598172596655786,0.5602682130411267,-0.3416140079498291,0.2,0.013489276,-2.087386109527539,0.046630859375
2048,2124,-416.6666564941406,0,1,45.0,0.3929905891418457,0.0001,24,-0.0063424875916098244,-1.5836274549365044,3.291257237549871,0.21330589056015015,0.2,0.004910231,-6.894095653065426,0.001708984375
2560,1860,-450.8928527832031,0,1,45.0,1.64690101146698,0.0001,32,-0.002183542208513245,-1.5774914491921663,10.391067462041974,0.3676624894142151,0.2,0.00090450095,-12.067920245023238,0.0
3072,1788,-422.79412841796875,0,1,45.0,9.064756393432617,0.0001,40,-0.0014584118616767228,-1.5690164621919394,33.332889284938574,0.516296774148941,0.2,0.0001803973,-18.0066808099925,0.0
3584,1446,-429.746826171875,0,1,45.0,22.554933547973633,0.0001,48,-0.0008800391806289554,-1.5715383002534509,89.51428185403347,0.3952469825744629,0.2,5.2827178e-05,-24.878619735704405,0.0
4096,1969,-410.4395751953125,0,1,45.0,119.54058074951172,0.0001,56,-0.0005969418580207275,-1.573276435956359,247.04213225841522,0.1314905881881714,0.2,1.4990219e-05,-32.50722973932854,0.0
4608,1963,-435.0,0,1,45.0,124.26557159423828,0.0001,64,-0.00027381021209293976,-1.5707836225628853,375.962819814682,0.058010756969451904,0.2,8.888077e-06,-40.63819065262246,0.0
5120,2016,-440.0,0,1,45.0,207.0554962158203,0.0001,72,-0.00015696043192292564,-1.5742258476093411,456.2022531032562,0.02677386999130249,0.2,2.3114262e-06,-48.38416057366878,0.0
5632,2247,-451.5,0,1,45.0,208.70346069335938,0.0001,80,-9.692217281553894e-05,-1.5748584363609552,443.4308695793152,0.0175321102142334,0.2,1.2185192e-06,-60.21170316599309,0.0
6144,2120,-467.0,0,1,45.0,178.59329223632812,0.0001,88,-0.00021149772146600299,-1.580649352632463,409.79577898979187,0.0034216642379760742,0.2,4.3821055e-06,-71.24607844769955,0.0
6656,1968,-468.0,0,1,45.0,173.87493896484375,0.0001,96,-0.0002964733212138526,-1.5745856426656246,403.2354391813278,0.0006895065307617188,0.2,8.291798e-06,-80.3018366949074,0.0
7168,1961,-479.0,0,1,45.0,107.71708679199219,0.0001,104,-0.0006628659684793092,-1.572045967914164,314.2057526111603,-0.0016429424285888672,0.2,2.4222303e-05,-86.99782273283228,0.0
7680,2204,-480.0,0,1,45.0,147.83677673339844,0.0001,112,-0.0005890840257052332,-1.5737713929265738,363.99214029312134,-0.0017497539520263672,0.2,2.7929782e-05,-92.47883878483437,0.0
8192,1901,-479.0,0,1,45.0,194.1563720703125,0.0001,120,-0.0003556033843779005,-1.5801260201260448,378.2892361879349,-0.0010080337524414062,0.2,7.866067e-06,-96.69641465935857,0.0
8704,1858,-481.0,0,1,45.0,171.97523498535156,0.0001,128,-0.001562023717269767,-1.5717085199430585,383.1662836074829,-0.0012350082397460938,0.2,0.00011610112,-96.73328173458576,0.0
9216,1329,-448.0,0,1,45.0,90.94999694824219,0.0001,136,-0.002893082710215822,-1.5684218984097242,336.475035071373,-0.0012331008911132812,0.2,0.00034216838,-95.02634806171059,0.0
