raw/disc/disc_acc_gen,raw/disc/n_generated,raw/disc/disc_proportion_expert_true,raw/disc/disc_proportion_expert_pred,raw/disc/n_expert,raw/disc/global_step,raw/disc/disc_entropy,raw/disc/disc_loss,raw/disc/disc_acc_expert,raw/disc/disc_acc
0.0,256.0,0.5,1.0,256.0,1,0.44456374645233154,0.9819551110267639,1.0,0.5
0.0,256.0,0.5,1.0,256.0,2,0.47145360708236694,0.9565615653991699,1.0,0.5
0.0,256.0,0.5,1.0,256.0,3,0.4935306906700134,0.9328330159187317,1.0,0.5
0.0,256.0,0.5,1.0,256.0,4,0.5258437395095825,0.8950067758560181,1.0,0.5
0.0,256.0,0.5,1.0,256.0,5,0.5526375770568848,0.8875092267990112,1.0,0.5
0.0,256.0,0.5,1.0,256.0,6,0.5711307525634766,0.8623497486114502,1.0,0.5
0.0234375,256.0,0.5,0.978515625,256.0,7,0.6021145582199097,0.8295994997024536,0.98046875,0.501953125
0.0703125,256.0,0.5,0.884765625,256.0,8,0.6229211091995239,0.8229179382324219,0.83984375,0.455078125
0.11328125,256.0,0.5,0.833984375,256.0,9,0.6377582550048828,0.7904683351516724,0.78125,0.447265625
0.1015625,256.0,0.5,0.79296875,256.0,10,0.6529574990272522,0.7809476852416992,0.6875,0.39453125
0.0859375,256.0,0.5,0.814453125,256.0,11,0.6596697568893433,0.7718455195426941,0.71484375,0.400390625
0.078125,256.0,0.5,0.8046875,256.0,12,0.6676409244537354,0.7505558729171753,0.6875,0.3828125
0.55078125,256.0,0.5,0.3984375,256.0,13,0.6709756851196289,0.7120193243026733,0.34765625,0.44921875
0.55078125,256.0,0.5,0.40234375,256.0,14,0.6677709817886353,0.7153434753417969,0.35546875,0.453125
0.6484375,256.0,0.5,0.392578125,256.0,15,0.6609822511672974,0.6752352714538574,0.43359375,0.541015625
0.79296875,256.0,0.5,0.345703125,256.0,16,0.6512970924377441,0.6397401094436646,0.484375,0.638671875
0.78125,256.0,0.5,0.357421875,256.0,17,0.6376806497573853,0.6292114853858948,0.49609375,0.638671875
0.83203125,256.0,0.5,0.39453125,256.0,18,0.6133455038070679,0.594931423664093,0.62109375,0.7265625
0.8828125,256.0,0.5,0.345703125,256.0,19,0.5930991172790527,0.5809001922607422,0.57421875,0.728515625
0.890625,256.0,0.5,0.359375,256.0,20,0.5607602596282959,0.5531539916992188,0.609375,0.75
0.64453125,256.0,0.5,0.498046875,256.0,21,0.5080864429473877,0.7402046322822571,0.640625,0.642578125
0.8125,256.0,0.5,0.423828125,256.0,22,0.5149178504943848,0.5519403219223022,0.66015625,0.736328125
0.734375,256.0,0.5,0.455078125,256.0,23,0.49812161922454834,0.600861668586731,0.64453125,0.689453125
0.8828125,256.0,0.5,0.392578125,256.0,24,0.4735828936100006,0.49688103795051575,0.66796875,0.775390625
0.8359375,256.0,0.5,0.427734375,256.0,25,0.47325801849365234,0.4915110468864441,0.69140625,0.763671875
0.83984375,256.0,0.5,0.404296875,256.0,26,0.46712732315063477,0.5779829025268555,0.6484375,0.744140625
0.81640625,256.0,0.5,0.416015625,256.0,27,0.4677671790122986,0.5215387940406799,0.6484375,0.732421875
0.8046875,256.0,0.5,0.439453125,256.0,28,0.4863242506980896,0.4951642155647278,0.68359375,0.744140625
0.8828125,256.0,0.5,0.380859375,256.0,29,0.4986198842525482,0.47345393896102905,0.64453125,0.763671875
0.76171875,256.0,0.5,0.458984375,256.0,30,0.4811261296272278,0.5519884824752808,0.6796875,0.720703125
0.83984375,256.0,0.5,0.3828125,256.0,31,0.5053290128707886,0.5168038010597229,0.60546875,0.72265625
0.84765625,256.0,0.5,0.41796875,256.0,32,0.5158442854881287,0.4550201892852783,0.68359375,0.765625
0.828125,256.0,0.5,0.41015625,256.0,33,0.5154014825820923,0.4808027148246765,0.6484375,0.73828125
0.94140625,256.0,0.5,0.353515625,256.0,34,0.5341726541519165,0.4414435029029846,0.6484375,0.794921875
0.84375,256.0,0.5,0.419921875,256.0,35,0.5220379829406738,0.4901809096336365,0.68359375,0.763671875
0.90234375,256.0,0.5,0.35546875,256.0,36,0.5342960953712463,0.47086453437805176,0.61328125,0.7578125
0.953125,256.0,0.5,0.32421875,256.0,37,0.5397320985794067,0.447845995426178,0.6015625,0.77734375
0.9140625,256.0,0.5,0.3515625,256.0,38,0.5518589615821838,0.48209619522094727,0.6171875,0.765625
0.77734375,256.0,0.5,0.435546875,256.0,39,0.5286558270454407,0.6160181760787964,0.6484375,0.712890625
0.70703125,256.0,0.5,0.447265625,256.0,40,0.5376497507095337,0.6461915969848633,0.6015625,0.654296875
0.87890625,256.0,0.5,0.392578125,256.0,41,0.547179102897644,0.5104106664657593,0.6640625,0.771484375
0.87109375,256.0,0.5,0.390625,256.0,42,0.5572586059570312,0.539973795413971,0.65234375,0.76171875
0.8671875,256.0,0.5,0.3515625,256.0,43,0.5607889294624329,0.5699865818023682,0.5703125,0.71875
0.8359375,256.0,0.5,0.392578125,256.0,44,0.5339227318763733,0.5792132616043091,0.62109375,0.728515625
0.76171875,256.0,0.5,0.439453125,256.0,45,0.5202646255493164,0.6478672027587891,0.640625,0.701171875
0.8671875,256.0,0.5,0.353515625,256.0,46,0.5395846366882324,0.5710163116455078,0.57421875,0.720703125
0.73828125,256.0,0.5,0.462890625,256.0,47,0.48820632696151733,0.6654831171035767,0.6640625,0.701171875
0.78125,256.0,0.5,0.416015625,256.0,48,0.475446879863739,0.7236820459365845,0.61328125,0.697265625
0.73828125,256.0,0.5,0.43359375,256.0,49,0.4627242088317871,0.7068213820457458,0.60546875,0.671875
0.828125,256.0,0.5,0.36328125,256.0,50,0.47585242986679077,0.6705629825592041,0.5546875,0.69140625
0.84765625,256.0,0.5,0.36328125,256.0,51,0.49112820625305176,0.5808002948760986,0.57421875,0.7109375
0.8515625,256.0,0.5,0.365234375,256.0,52,0.5049561858177185,0.5505466461181641,0.58203125,0.716796875
0.8359375,256.0,0.5,0.388671875,256.0,53,0.4948216676712036,0.601864755153656,0.61328125,0.724609375
0.85546875,256.0,0.5,0.376953125,256.0,54,0.5183091759681702,0.5429346561431885,0.609375,0.732421875
0.859375,256.0,0.5,0.40625,256.0,55,0.5316232442855835,0.5080747604370117,0.671875,0.765625
0.81640625,256.0,0.5,0.38671875,256.0,56,0.5197192430496216,0.5716814994812012,0.58984375,0.703125
0.73046875,256.0,0.5,0.41015625,256.0,57,0.5234271287918091,0.6634423732757568,0.55078125,0.640625
0.671875,256.0,0.5,0.470703125,256.0,58,0.5125870108604431,0.5975872874259949,0.61328125,0.642578125
0.8125,256.0,0.5,0.396484375,256.0,59,0.5229724645614624,0.5547633171081543,0.60546875,0.708984375
0.85546875,256.0,0.5,0.328125,256.0,60,0.547179639339447,0.6058844923973083,0.51171875,0.68359375
0.96484375,256.0,0.5,0.279296875,256.0,61,0.5642240047454834,0.5252141952514648,0.5234375,0.744140625
0.95703125,256.0,0.5,0.27734375,256.0,62,0.5744436979293823,0.5402296781539917,0.51171875,0.734375
0.890625,256.0,0.5,0.330078125,256.0,63,0.553987443447113,0.5492598414421082,0.55078125,0.720703125
0.95703125,256.0,0.5,0.314453125,256.0,64,0.5746281147003174,0.533801257610321,0.5859375,0.771484375
0.828125,256.0,0.5,0.37890625,256.0,65,0.535904049873352,0.5195438861846924,0.5859375,0.70703125
0.87890625,256.0,0.5,0.361328125,256.0,66,0.5474969744682312,0.5484304428100586,0.6015625,0.740234375
0.828125,256.0,0.5,0.390625,256.0,67,0.5437774658203125,0.5626749396324158,0.609375,0.71875
0.8515625,256.0,0.5,0.3984375,256.0,68,0.5426565408706665,0.5149833559989929,0.6484375,0.75
0.87890625,256.0,0.5,0.365234375,256.0,69,0.5287092924118042,0.5089304447174072,0.609375,0.744140625
0.953125,256.0,0.5,0.361328125,256.0,70,0.5209092497825623,0.4397674798965454,0.67578125,0.814453125
0.87109375,256.0,0.5,0.404296875,256.0,71,0.49469393491744995,0.49764207005500793,0.6796875,0.775390625
0.796875,256.0,0.5,0.44140625,256.0,72,0.4988994896411896,0.5412036180496216,0.6796875,0.73828125
0.8359375,256.0,0.5,0.404296875,256.0,73,0.4878723919391632,0.557845950126648,0.64453125,0.740234375
0.83203125,256.0,0.5,0.41015625,256.0,74,0.4782983064651489,0.56757652759552,0.65234375,0.7421875
0.76171875,256.0,0.5,0.453125,256.0,75,0.47719621658325195,0.56397944688797,0.66796875,0.71484375
0.91015625,256.0,0.5,0.392578125,256.0,76,0.47754159569740295,0.45907318592071533,0.6953125,0.802734375
0.83984375,256.0,0.5,0.408203125,256.0,77,0.47979146242141724,0.5297209024429321,0.65625,0.748046875
0.88671875,256.0,0.5,0.3984375,256.0,78,0.48637789487838745,0.483961820602417,0.68359375,0.78515625
0.86328125,256.0,0.5,0.390625,256.0,79,0.4928337633609772,0.5049446225166321,0.64453125,0.75390625
0.890625,256.0,0.5,0.376953125,256.0,80,0.5043324828147888,0.5103233456611633,0.64453125,0.767578125
0.890625,256.0,0.5,0.37890625,256.0,81,0.5104144215583801,0.4883020520210266,0.6484375,0.76953125
0.8203125,256.0,0.5,0.41015625,256.0,82,0.5101705193519592,0.5400679111480713,0.640625,0.73046875
0.8828125,256.0,0.5,0.3984375,256.0,83,0.5205274820327759,0.4812726378440857,0.6796875,0.78125
0.7734375,256.0,0.5,0.47265625,256.0,84,0.5278013944625854,0.5145977139472961,0.71875,0.74609375
0.89453125,256.0,0.5,0.361328125,256.0,85,0.5298304557800293,0.5131523013114929,0.6171875,0.755859375
0.796875,256.0,0.5,0.44140625,256.0,86,0.5201441049575806,0.5163954496383667,0.6796875,0.73828125
0.8515625,256.0,0.5,0.396484375,256.0,87,0.5323758721351624,0.5119649171829224,0.64453125,0.748046875
0.92578125,256.0,0.5,0.34765625,256.0,88,0.5389450788497925,0.4983910620212555,0.62109375,0.7734375
0.875,256.0,0.5,0.390625,256.0,89,0.5339680314064026,0.5008313059806824,0.65625,0.765625
0.90625,256.0,0.5,0.3671875,256.0,90,0.5204976201057434,0.5173841714859009,0.640625,0.7734375
0.8125,256.0,0.5,0.419921875,256.0,91,0.5155295729637146,0.5310627222061157,0.65234375,0.732421875
0.79296875,256.0,0.5,0.41796875,256.0,92,0.5336264371871948,0.5402747988700867,0.62890625,0.7109375
0.734375,256.0,0.5,0.4375,256.0,93,0.51741623878479,0.5628877282142639,0.609375,0.671875
0.87890625,256.0,0.5,0.38671875,256.0,94,0.5056672096252441,0.49969980120658875,0.65234375,0.765625
0.828125,256.0,0.5,0.400390625,256.0,95,0.5313413143157959,0.5699706077575684,0.62890625,0.728515625
0.9453125,256.0,0.5,0.330078125,256.0,96,0.5354160666465759,0.4880499839782715,0.60546875,0.775390625
0.92578125,256.0,0.5,0.326171875,256.0,97,0.5320718884468079,0.5345568060874939,0.578125,0.751953125
0.890625,256.0,0.5,0.3828125,256.0,98,0.5259156823158264,0.5067166090011597,0.65625,0.7734375
0.859375,256.0,0.5,0.3984375,256.0,99,0.5200489163398743,0.5124031901359558,0.65625,0.7578125
0.83984375,256.0,0.5,0.388671875,256.0,100,0.5174917578697205,0.530514121055603,0.6171875,0.728515625
0.7265625,256.0,0.5,0.4375,256.0,101,0.5355871319770813,0.5575125217437744,0.6015625,0.6640625
0.57421875,256.0,0.5,0.517578125,256.0,102,0.5452865362167358,0.6222702264785767,0.609375,0.591796875
0.45703125,256.0,0.5,0.568359375,256.0,103,0.5498625040054321,0.5520214438438416,0.59375,0.525390625
0.84765625,256.0,0.5,0.40234375,256.0,104,0.5500903129577637,0.5244699120521545,0.65234375,0.75
