mean/disc/n_expert,mean/disc/disc_proportion_expert_pred,mean/gen/train/approx_kl,mean/gen/time/fps,mean/gen/train/n_updates,mean/disc/disc_proportion_expert_true,mean/gen/train/policy_gradient_loss,mean/disc/disc_acc_expert,mean/disc/disc_entropy,mean/gen/time/time_elapsed,mean/gen/train/explained_variance,mean/gen/time/iterations,mean/gen/time/total_timesteps,mean/gen/train/learning_rate,mean/disc/global_step,mean/gen/train/clip_range,mean/gen/train/value_loss,mean/disc/n_generated,mean/gen/train/clip_fraction,mean/disc/disc_acc,mean/gen/train/entropy_loss,mean/gen/rollout/ep_rew_mean,mean/gen/rollout/ep_len_mean,mean/disc/disc_acc_gen,mean/gen/train/loss,mean/disc/disc_loss,mean/gen/rollout/ep_rew_wrapped_mean
256.0,0.53515625,0.002079741097986698,2104.0,208.0,0.5,-0.005815429103677161,0.94921875,0.5185906887054443,0.0,0.4345713257789612,1.0,13312.0,0.0001,26.0,0.2,0.07932610099669546,256.0,0.035400390625,0.9140625,-0.35227044322527945,-523.5,45.0,0.87890625,0.027232054620981216,0.557842493057251,-3.6355590360611676
256.0,0.53515625,0.003546919208019972,3083.0,216.0,0.5,-0.006412253977032378,0.9453125,0.5021241903305054,0.0,0.3365206718444824,1.0,13824.0,0.0001,27.0,0.2,0.08424855013436172,256.0,0.037109375,0.91015625,-0.3639108643401414,-523.5,45.0,0.875,0.017284128814935684,0.5861620306968689,-3.9481920425966384
256.0,0.58984375,0.00466893520206213,2915.0,224.0,0.5,-0.010047400264738826,0.95703125,0.5156303644180298,0.0,0.5345820188522339,1.0,14336.0,0.0001,28.0,0.2,0.08765701446100138,256.0,0.0556640625,0.8671875,-0.42137983278371394,-529.5,45.0,0.77734375,-0.009640900418162346,0.6022264957427979,-4.299981109835207
256.0,0.56640625,0.004060289356857538,3032.0,232.0,0.5,-0.006852709979284555,0.95703125,0.5073363780975342,0.0,0.35669296979904175,1.0,14848.0,0.0001,29.0,0.2,0.08798796299379319,256.0,0.046142578125,0.890625,-0.44772414583712816,-527.5,45.0,0.82421875,0.02515910193324089,0.5960526466369629,-4.631595453135669
256.0,0.58984375,0.004578198306262493,2771.0,240.0,0.5,-0.006026924391335342,0.92578125,0.4803864359855652,0.0,0.40407049655914307,1.0,15360.0,0.0001,30.0,0.2,0.09034635254647583,256.0,0.034912109375,0.8359375,-0.5093915571924299,-514.0,45.0,0.74609375,0.008519330993294716,0.6358709335327148,-4.953626185134053
256.0,0.572265625,0.004073482006788254,2885.0,248.0,0.5,-0.005424691677035298,0.97265625,0.49627095460891724,0.0,0.3540780544281006,1.0,15872.0,0.0001,31.0,0.2,0.10126012022374198,256.0,0.04296875,0.900390625,-0.3982800985686481,-530.5,45.0,0.828125,-0.0009243972599506378,0.6120416522026062,-5.274248000867665
256.0,0.53515625,0.004414515569806099,2994.0,256.0,0.5,-0.009545298424200155,0.93359375,0.5033066272735596,0.0,0.1587868332862854,1.0,16384.0,0.0001,32.0,0.2,0.10659468054655008,256.0,0.047607421875,0.8984375,-0.3587482066359371,-519.0,45.0,0.86328125,0.02316056191921234,0.5502272844314575,-5.56414218917489
256.0,0.55078125,0.0027366369031369686,2989.0,264.0,0.5,-0.004842383230425185,0.921875,0.4872581958770752,0.0,0.14516937732696533,1.0,16896.0,0.0001,33.0,0.2,0.11343478786875494,256.0,0.02197265625,0.87109375,-0.37143134186044335,-516.5,45.0,0.8203125,0.04454758018255234,0.5410988330841064,-5.902368587180972
256.0,0.541015625,0.0015786326257511973,2109.0,272.0,0.5,-0.003691575868288055,0.94921875,0.5051019191741943,0.0,0.21178168058395386,1.0,17408.0,0.0001,34.0,0.2,0.11148578085703775,256.0,0.024169921875,0.908203125,-0.37419109698385,-527.5,45.0,0.8671875,0.03809252008795738,0.5272836089134216,-6.231691174134612
256.0,0.533203125,0.005254271440207958,2806.0,280.0,0.5,-0.0064838712132768705,0.91015625,0.4948270320892334,0.0,0.2994929552078247,1.0,17920.0,0.0001,35.0,0.2,0.13032497244421393,256.0,0.03857421875,0.876953125,-0.3744210333097726,-520.5,45.0,0.84375,0.04285721480846405,0.5797444581985474,-6.573485982827842
