mean/disc/disc_loss,mean/disc/disc_proportion_expert_pred,mean/disc/disc_acc,mean/gen/train/policy_gradient_loss,mean/disc/disc_acc_expert,mean/gen/train/value_loss,mean/disc/disc_proportion_expert_true,mean/disc/n_expert,mean/gen/time/time_elapsed,mean/gen/train/entropy_loss,mean/disc/disc_acc_gen,mean/disc/disc_entropy,mean/gen/train/learning_rate,mean/gen/train/n_updates,mean/gen/train/clip_fraction,mean/gen/train/clip_range,mean/gen/time/iterations,mean/gen/train/explained_variance,mean/gen/rollout/ep_len_mean,mean/gen/time/fps,mean/disc/n_generated,mean/gen/train/loss,mean/gen/time/total_timesteps,mean/gen/train/approx_kl,mean/disc/global_step,mean/gen/rollout/ep_rew_mean,mean/gen/rollout/ep_rew_wrapped_mean
0.9982070922851562,1.0,0.5,-0.014907086468156194,1.0,0.041843068531306926,0.5,256.0,0.0,-1.6062862742692232,0.0,0.4362274408340454,0.0001,8.0,0.038818359375,0.2,1.0,0.35730433464050293,45.0,1930.0,256.0,-0.02219664305448532,512.0,0.007359503302723169,1.0,-354.5454406738281,
0.9279529452323914,1.0,0.5,-0.00799915663083084,1.0,0.6730123225133866,0.5,256.0,0.0,-1.6008247379213572,0.0,0.4772818088531494,0.0001,16.0,0.001220703125,0.2,1.0,-0.37310612201690674,45.0,1750.0,256.0,0.04300545156002045,1024.0,0.004267478361725807,2.0,-325.0,2.1594875630160626
0.8726557493209839,1.0,0.5,-0.007657120433577802,1.0,3.655751862563193,0.5,256.0,0.0,-1.5985042937099934,0.0,0.5393929481506348,0.0001,24.0,0.029296875,0.2,1.0,0.32760363817214966,45.0,2040.0,256.0,0.6082467436790466,1536.0,0.007230329792946577,3.0,-316.1764831542969,-2.6123721257952806
0.8298231959342957,0.998046875,0.501953125,-0.00218376713746693,1.0,9.008628773503006,0.5,256.0,0.0,-1.5978445746004581,0.00390625,0.5884968042373657,0.0001,32.0,0.0,0.2,1.0,0.3266422748565674,45.0,2482.0,256.0,2.052881956100464,2048.0,0.0011921428376808763,4.0,-338.8888854980469,-7.495878182159847
0.7829641103744507,0.92578125,0.4609375,-0.0011184582981513813,0.88671875,28.941611032932997,0.5,256.0,0.0,-1.593374602496624,0.03515625,0.6313042640686035,0.0001,40.0,0.0,0.2,1.0,0.4109199643135071,45.0,2345.0,256.0,6.299302577972412,2560.0,0.00021032686345279217,5.0,-372.3214416503906,-12.062348867311245
0.7388899326324463,0.822265625,0.435546875,-0.0006318834966805298,0.7578125,106.64148971438408,0.5,256.0,0.0,-1.5896626058965921,0.11328125,0.663627028465271,0.0001,48.0,0.0,0.2,1.0,0.27630096673965454,45.0,2160.0,256.0,30.141265869140625,3072.0,3.1141447834670544e-05,6.0,-402.941162109375,-17.496726486449397
0.6934093236923218,0.6875,0.39453125,-0.0003198326776328031,0.58203125,175.14516532421112,0.5,256.0,0.0,-1.590253695845604,0.20703125,0.6797903776168823,0.0001,56.0,0.0,0.2,1.0,0.1049351692199707,45.0,2229.0,256.0,54.14341735839844,3584.0,8.195056580007076e-06,7.0,-427.8481140136719,-24.619034425423973
0.6544448137283325,0.390625,0.73046875,-4.2716281313914806e-05,0.62109375,264.3474065065384,0.5,256.0,0.0,-1.5937524437904358,0.83984375,0.6791222095489502,0.0001,64.0,0.0,0.2,1.0,0.027658939361572266,45.0,2294.0,256.0,91.47028350830078,4096.0,3.580935299396515e-07,8.0,-462.6373596191406,-31.047725875272498
0.6132607460021973,0.208984375,0.646484375,-6.753588240826502e-05,0.35546875,350.54761493206024,0.5,256.0,0.0,-1.5917418655008078,0.9375,0.6666684150695801,0.0001,72.0,0.0,0.2,1.0,0.010046243667602539,45.0,1966.0,256.0,160.11276245117188,4608.0,1.2523960322141647e-06,9.0,-476.0,-37.71886819151773
0.565205991268158,0.345703125,0.697265625,-0.00012206121027702466,0.54296875,407.9402422904968,0.5,256.0,0.0,-1.5937109310179949,0.8515625,0.642234206199646,0.0001,80.0,0.0,0.2,1.0,0.00483018159866333,45.0,1434.0,256.0,182.20118713378906,5120.0,2.600601874291897e-06,10.0,-515.0,-44.409997256686914
0.5506390333175659,0.435546875,0.701171875,-0.00011379622446838766,0.63671875,453.04296350479126,0.5,256.0,0.0,-1.5912416065111756,0.765625,0.603469967842102,0.0001,88.0,0.0,0.2,1.0,-0.0005049705505371094,45.0,2186.0,256.0,202.63487243652344,5632.0,1.364503987133503e-06,11.0,-539.5,-55.11979850046337
