raw/disc/n_expert,raw/disc/disc_acc_gen,raw/disc/disc_acc,raw/disc/disc_entropy,raw/disc/disc_acc_expert,raw/disc/disc_loss,raw/disc/n_generated,raw/disc/global_step,raw/disc/disc_proportion_expert_pred,raw/disc/disc_proportion_expert_true
256.0,0.0,0.5,0.48108232021331787,1.0,0.954674482345581,256.0,1,1.0,0.5
256.0,0.0,0.5,0.5462127923965454,1.0,0.8844164609909058,256.0,2,1.0,0.5
256.0,0.0,0.5,0.59797203540802,1.0,0.8293140530586243,256.0,3,1.0,0.5
256.0,0.125,0.462890625,0.6445155143737793,0.80078125,0.793545126914978,256.0,4,0.837890625,0.5
256.0,0.35546875,0.470703125,0.6563739776611328,0.5859375,0.7484667301177979,256.0,5,0.615234375,0.5
256.0,0.51953125,0.4296875,0.6262991428375244,0.33984375,0.7981334924697876,256.0,6,0.41015625,0.5
256.0,0.578125,0.455078125,0.6023056507110596,0.33203125,0.8179969191551208,256.0,7,0.376953125,0.5
256.0,0.56640625,0.5,0.5806472301483154,0.43359375,0.7937740087509155,256.0,8,0.43359375,0.5
256.0,0.59375,0.54296875,0.5595219731330872,0.4921875,0.7370122671127319,256.0,9,0.44921875,0.5
256.0,0.5390625,0.515625,0.5496081709861755,0.4921875,0.7758733034133911,256.0,10,0.4765625,0.5
256.0,0.60546875,0.61328125,0.5390396118164062,0.62109375,0.6530251502990723,256.0,11,0.5078125,0.5
256.0,0.6015625,0.630859375,0.514389157295227,0.66015625,0.6874315142631531,256.0,12,0.529296875,0.5
256.0,0.609375,0.677734375,0.5174204111099243,0.74609375,0.5627032518386841,256.0,13,0.568359375,0.5
256.0,0.6484375,0.6796875,0.5386165380477905,0.7109375,0.581764817237854,256.0,14,0.53125,0.5
256.0,0.70703125,0.705078125,0.5275336503982544,0.703125,0.5440709590911865,256.0,15,0.498046875,0.5
256.0,0.76953125,0.751953125,0.5232892036437988,0.734375,0.5142049193382263,256.0,16,0.482421875,0.5
256.0,0.8671875,0.767578125,0.5117523670196533,0.66796875,0.5047100782394409,256.0,17,0.400390625,0.5
256.0,0.87109375,0.78515625,0.4857485294342041,0.69921875,0.4459947645664215,256.0,18,0.4140625,0.5
256.0,0.890625,0.794921875,0.49345484375953674,0.69921875,0.4633878171443939,256.0,19,0.404296875,0.5
256.0,0.84375,0.77734375,0.4876648485660553,0.7109375,0.4354509711265564,256.0,20,0.43359375,0.5
256.0,0.82421875,0.8359375,0.4657379686832428,0.84765625,0.3650343418121338,256.0,21,0.51171875,0.5
256.0,0.77734375,0.81640625,0.47006410360336304,0.85546875,0.38901591300964355,256.0,22,0.5390625,0.5
256.0,0.7421875,0.818359375,0.4608575701713562,0.89453125,0.36844003200531006,256.0,23,0.576171875,0.5
256.0,0.87109375,0.8125,0.4571133852005005,0.75390625,0.41689836978912354,256.0,24,0.44140625,0.5
256.0,0.8515625,0.810546875,0.43327587842941284,0.76953125,0.3972921073436737,256.0,25,0.458984375,0.5
256.0,0.89453125,0.8671875,0.41296395659446716,0.83984375,0.3376535177230835,256.0,26,0.47265625,0.5
256.0,0.91015625,0.8671875,0.41246455907821655,0.82421875,0.3450171649456024,256.0,27,0.45703125,0.5
256.0,0.90234375,0.875,0.40997713804244995,0.84765625,0.3175867795944214,256.0,28,0.47265625,0.5
