raw/gen/time/time_elapsed,raw/gen/time/fps,raw/gen/time/total_timesteps,raw/gen/time/iterations,raw/gen/train/loss,raw/gen/train/n_updates,raw/gen/train/learning_rate,raw/gen/train/value_loss,raw/gen/rollout/ep_rew_wrapped_mean,raw/gen/train/policy_gradient_loss,raw/gen/train/approx_kl,raw/gen/train/clip_fraction,raw/gen/train/explained_variance,raw/gen/train/entropy_loss,raw/gen/train/clip_range
69,296,53248,5,214.1701202392578,120,4.75e-05,872.2026245117188,-148.74649996995925,0.0002126034814864397,8.335133e-05,0.0,-0.0005841255187988281,-1.6001247942447663,0.1
85,286,57344,6,212.2867889404297,130,4.3125000000000005e-05,873.506689453125,-149.1887643122673,-2.8557743644341826e-05,8.324641e-06,0.0,-3.802776336669922e-05,-1.6009154945611954,0.1
102,279,61440,7,213.36141967773438,140,3.875e-05,858.622917175293,-149.02978658914566,6.351585034281015e-06,1.3934186e-06,0.0,8.761882781982422e-05,-1.601132220029831,0.1
119,275,65536,8,210.26702880859375,150,3.4375e-05,859.04951171875,-148.82162194728852,-1.5644443919882179e-06,5.931797e-07,0.0,8.922815322875977e-05,-1.6012133061885834,0.1
2,1443,69632,1,214.60679626464844,160,3e-05,870.8521301269532,-148.9164540553093,-1.2947170762345195e-05,2.063607e-06,0.0,8.51750373840332e-05,-1.601313379406929,0.1
19,419,73728,2,46.18437576293945,170,5.041666666666667e-05,189.08332366943358,-97.8405345773697,-7.683441508561372e-05,2.2523105e-05,0.0,0.00013047456741333008,-1.6012211471796036,0.1
36,336,77824,3,46.33880615234375,180,4.75e-05,187.4159812927246,-69.57308708846568,-6.636862526647747e-05,2.3651883e-05,0.0,0.00021147727966308594,-1.6010567188262939,0.1
53,308,81920,4,45.57610321044922,190,4.458333333333334e-05,186.89703330993652,-69.48747268259525,-0.00018715266196522862,6.433077e-05,0.0,0.00011265277862548828,-1.6008405447006226,0.1
69,292,86016,5,47.31382369995117,200,4.1666666666666665e-05,186.49322166442872,-69.67895484924317,-3.750362084247172e-05,6.765418e-06,0.0,0.00010716915130615234,-1.6004279553890228,0.1
86,283,90112,6,46.99055862426758,210,3.875e-05,187.2136344909668,-69.73493878245354,-3.477024147287011e-05,9.448879e-06,0.0,7.49826431274414e-05,-1.6004341661930084,0.1
103,276,94208,7,46.865203857421875,220,3.5833333333333335e-05,186.4066192626953,-69.67018669962883,-3.3924862509593365e-05,3.882582e-06,0.0,7.724761962890625e-05,-1.6002699613571167,0.1
120,272,98304,8,45.8660888671875,230,3.291666666666666e-05,184.4094108581543,-69.49066593110561,-3.449373180046678e-05,6.147602e-06,0.0,7.420778274536133e-05,-1.6004318386316299,0.1
2,1400,102400,1,45.208839416503906,240,3e-05,184.43944854736327,-69.80964053928852,-2.2131716832518578e-05,3.1774543e-06,0.0,9.328126907348633e-05,-1.6005666196346282,0.1
19,414,106496,2,199.78125,250,4.5312500000000004e-05,795.6975173950195,-112.71454471826553,-1.608919119462371e-05,1.3868412e-06,0.0,3.653764724731445e-05,-1.600701665878296,0.1
36,337,110592,3,190.17779541015625,260,4.3125000000000005e-05,767.7232086181641,-135.12210728883744,-2.6844703825190663e-05,5.0304516e-06,0.0,4.380941390991211e-05,-1.6008577346801758,0.1
53,307,114688,4,191.59268188476562,270,4.09375e-05,777.8768280029296,-135.01394854426383,-0.00012699447979684918,2.07282e-05,0.0,2.956390380859375e-05,-1.6006457209587097,0.1
70,292,118784,5,197.5485382080078,280,3.875e-05,790.4338973999023,-135.90750065684318,-0.00016192932962439955,2.7798815e-05,0.0,2.1278858184814453e-05,-1.600182044506073,0.1
86,283,122880,6,193.613037109375,290,3.65625e-05,764.9759658813476,-135.35994312286377,-3.881438169628382e-05,7.775874e-06,0.0,4.2378902435302734e-05,-1.6000534057617188,0.1
103,277,126976,7,198.1458740234375,300,3.4375e-05,792.1302291870118,-136.33861114263536,-2.3130391491577028e-05,2.4091278e-06,0.0,1.627206802368164e-05,-1.5996936082839965,0.1
120,272,131072,8,196.77249145507812,310,3.21875e-05,790.216212463379,-136.61018545985223,-0.00013174555206205696,1.919418e-05,0.0,1.4185905456542969e-05,-1.5992794752120971,0.1
2,1400,135168,1,193.55918884277344,320,3e-05,771.650146484375,-136.20528109788896,-0.0001458236132748425,2.7470393e-05,0.0,2.1457672119140625e-05,-1.598856148123741,0.1
19,413,139264,2,104.54723358154297,330,4.2250000000000004e-05,428.65002593994143,-111.138025572896,-0.00023250359226949512,7.507675e-05,0.0,1.4126300811767578e-05,-1.597948643565178,0.1
36,337,143360,3,105.37897491455078,340,4.05e-05,423.44073486328125,-98.22520894229412,-2.526962198317051e-05,1.8086139e-06,0.0,1.0192394256591797e-05,-1.5971408098936082,0.1
53,308,147456,4,110.75438690185547,350,3.875e-05,448.676692199707,-98.98790041208267,-7.507919217459857e-05,1.794177e-05,0.0,6.794929504394531e-06,-1.5967107623815537,0.1
70,291,151552,5,97.54898834228516,360,3.7e-05,392.48186645507815,-96.16405088424682,-0.00017061426187865437,4.089075e-05,0.0,1.4185905456542969e-05,-1.5965211153030396,0.1
86,282,155648,6,93.30146026611328,370,3.5249999999999996e-05,381.2284767150879,-92.36015640437603,-1.58508715685457e-05,4.1880558e-06,0.0,8.821487426757812e-06,-1.59613037109375,0.1
103,276,159744,7,99.5335922241211,380,3.35e-05,406.0773590087891,-94.70118844687939,-5.362152005545795e-05,7.988943e-06,0.0,1.1682510375976562e-05,-1.5957075029611587,0.1
120,272,163840,8,107.20927429199219,390,3.175e-05,408.8795471191406,-96.35259130895138,-0.0001472911040764302,2.1983447e-05,0.0,6.67572021484375e-06,-1.595280221104622,0.1
2,1417,167936,1,104.28202056884766,400,3e-05,415.6565658569336,-97.82234068512916,-0.0002441805467242375,3.3008822e-05,0.0,1.0669231414794922e-05,-1.5944554209709167,0.1
19,414,172032,2,125.33496856689453,410,4.020833333333334e-05,498.23726119995115,-102.74161528587341,-0.00017064578132703901,2.6055932e-05,0.0,-1.1920928955078125e-07,-1.5933495312929153,0.1
36,334,176128,3,120.83740234375,420,3.875e-05,496.06775360107423,-107.32097553193569,-0.0001411999808624387,2.1201573e-05,0.0,1.0848045349121094e-05,-1.5923631101846696,0.1
53,305,180224,4,115.59730529785156,430,3.729166666666667e-05,456.91614685058596,-103.84492191314698,-8.31782235763967e-05,1.2989418e-05,0.0,9.953975677490234e-06,-1.5916744768619537,0.1
70,291,184320,5,114.37060546875,440,3.5833333333333335e-05,466.385302734375,-104.7809998112917,-6.0483720153570177e-05,6.996386e-06,0.0,6.556510925292969e-06,-1.5910230368375777,0.1
87,281,188416,6,120.35701751708984,450,3.4375e-05,483.1112823486328,-105.09832279324532,-6.548139499500394e-05,7.450595e-06,0.0,9.775161743164062e-06,-1.5904880464076996,0.1
104,275,192512,7,119.02159881591797,460,3.291666666666666e-05,482.89078216552736,-104.60125894665718,-7.188859162852169e-05,6.3010375e-06,0.0,8.225440979003906e-06,-1.5898984044790268,0.1
121,269,196608,8,110.7575912475586,470,3.145833333333334e-05,453.42435455322266,-101.28214632987977,-0.00011273248819634318,1.20012555e-05,0.0,1.537799835205078e-05,-1.5894088953733445,0.1
