mean/gen/time/fps,mean/gen/time/time_elapsed,mean/disc/n_expert,mean/disc/disc_loss,mean/gen/train/clip_fraction,mean/disc/disc_acc_expert,mean/gen/train/loss,mean/disc/disc_entropy,mean/disc/disc_acc,mean/gen/train/explained_variance,mean/disc/disc_acc_gen,mean/gen/train/approx_kl,eval/mean_reward,mean/gen/train/learning_rate,mean/gen/time/iterations,mean/disc/n_generated,mean/gen/train/n_updates,mean/gen/train/clip_range,eval/std_reward,mean/gen/train/value_loss,mean/gen/train/policy_gradient_loss,mean/gen/time/total_timesteps,mean/gen/train/entropy_loss,mean/gen/rollout/ep_rew_wrapped_mean,mean/disc/disc_proportion_expert_true,mean/disc/disc_proportion_expert_pred,mean/disc/global_step
665.125,17.875,256.0,0.24673713743686676,0.000390625,1.0,-0.018767736270092428,0.4264574497938156,0.5,0.23253453522920606,0.0,0.0022419561391870957,0.0,0.00014375000000000002,4.5,256.0,22.5,0.2,0.0,0.016448139735439328,-0.0022309806270641276,9216.0,-1.594289803504944,-1.8692292941297914,0.5,1.0,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,
705.125,17.0,256.0,0.23331402242183685,0.00230712890625,1.0,0.024636185262352228,0.47800014913082123,0.5,0.2462880983948708,0.0,0.0019351993541931731,0.0,0.00012187500000000004,4.5,256.0,62.5,0.2,0.0,0.4020961349830032,-0.001513401958800387,25600.0,-1.5554596029222012,-6.008480281285011,0.5,1.0,2.0
,,,,,,,,,,,,,,,,,,,,,,,,,,
731.625,16.375,256.0,0.22560284286737442,0.0,1.0,0.5585554763674736,0.5051146149635315,0.5,0.0015448257327079773,0.0,0.00020756963931489736,-605.0,0.00011458333333333334,4.5,256.0,102.5,0.2,402.7716474629266,2.566403667628765,-0.00026011722075054423,41984.0,-1.6011603012681008,-11.790975479753689,0.5,1.0,3.0
,,,,,,,,,,,,,,,,,,,,,,,,,,
768.625,16.125,256.0,0.21766285598278046,0.0,1.0,2.1967348903417587,0.5404205024242401,0.5,0.0002956762909889221,0.0,5.842061727889812e-05,-460.0,0.00011093750000000002,4.5,256.0,142.5,0.2,361.8010503025109,9.285989385843276,-0.00014591412618756292,58368.0,-1.5994694389402866,-19.454631667938084,0.5,1.0,4.0
,,,,,,,,,,,,,,,,,,,,,,,,,,
751.5,16.375,256.0,0.20767369866371155,0.0,1.0,6.397766351699829,0.5794447362422943,0.5,7.58245587348938e-05,0.0,3.7002992030465975e-05,-240.0,0.00010875000000000001,4.5,256.0,182.5,0.2,360.416425818802,26.375873255729676,-0.00013536492333514615,74752.0,-1.5961410827934743,-29.61861867450178,0.5,1.0,5.0
,,,,,,,,,,,,,,,,,,,,,,,,,,
705.0,17.125,256.0,0.19382286816835403,0.0,0.962890625,14.829654574394226,0.6191934049129486,0.490234375,2.6382505893707275e-05,0.017578125,9.396982932230458e-06,-60.0,0.00010729166666666668,4.5,256.0,222.5,0.2,798.060148109151,61.24592390060425,-5.056059017078951e-05,91136.0,-1.594217963516712,-43.13198179081082,0.5,0.97265625,6.0
,,,,,,,,,,,,,,,,,,,,,,,,,,
724.75,16.625,256.0,0.19575666636228561,0.0,0.68359375,31.157235145568848,0.6496171653270721,0.3994140625,1.0833144187927246e-05,0.115234375,4.086146873305552e-05,-200.0,0.00010625000000000002,4.5,256.0,262.5,0.2,396.8626966596886,124.82065167427062,-0.00011733565188478679,107520.0,-1.5934534333646295,-59.59516986660659,0.5,0.7841796875,7.0
,,,,,,,,,,,,,,,,,,,,,,,,,,
718.875,16.625,256.0,0.19002200663089752,0.0,0.56640625,54.762895584106445,0.6622052490711212,0.412109375,4.969537258148193e-06,0.2578125,2.2184314730111513e-05,-455.0,0.00010546875000000001,4.5,256.0,302.5,0.2,334.2528982671654,222.05577402114866,-8.185542901628652e-05,123904.0,-1.5928668320178987,-78.16405242174865,0.5,0.654296875,8.0
,,,,,,,,,,,,,,,,,,,,,,,,,,
723.0000000000001,16.5,256.0,0.1874397173523903,0.0,0.48046875,81.09095764160156,0.663800448179245,0.4970703125,2.7492642402648926e-06,0.513671875,1.9350056390976533e-05,-535.0,0.00010486111111111111,4.5,256.0,342.5,0.2,330.1893396219811,331.5529710769654,-8.035296923480928e-05,140288.0,-1.592941989004612,-95.94027864545582,0.5,0.4833984375,9.0
,,,,,,,,,,,,,,,,,,,,,,,,,,
770.625,16.0,256.0,0.19152920693159103,0.0,0.3828125,99.42691993713379,0.6647267937660217,0.482421875,1.5944242477416992e-06,0.58203125,1.2587246601469815e-05,-280.0,0.000104375,4.5,256.0,382.5,0.2,467.0117771534247,396.5815111160278,-5.951297498540953e-05,156672.0,-1.5924809254705905,-106.3974773709476,0.5,0.400390625,10.0
,,,,,,,,,,,,,,,,,,,,,,,,,,
741.625,16.625,256.0,0.1863524317741394,0.0,0.353515625,102.36267280578613,0.6681833565235138,0.5048828125,1.1846423149108887e-06,0.65625,6.716638017678633e-05,-600.0,0.00010397727272727273,4.5,256.0,422.5,0.2,467.43983570080974,408.30319728851316,-0.00011978040929534475,173056.0,-1.590219929069281,-110.24048723384739,0.5,0.3486328125,11.0
,,,,,,,,,,,,,,,,,,,,,,,,,,
706.0,17.0,256.0,0.1815771386027336,0.0,0.474609375,93.23605251312256,0.6773162186145782,0.509765625,8.121132850646973e-07,0.544921875,4.0484814235242084e-05,-395.0,0.00010364583333333336,4.5,256.0,462.5,0.2,385.64880396547323,377.24925003051754,-9.458219428779557e-05,189440.0,-1.5899498514831067,-107.51829659625888,0.5,0.46484375,12.0
,,,,,,,,,,,,,,,,,,,,,,,,,,
